Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Mariano Mores,Mariano Mores y su Orquesta,1956,En Esta Tarde Gris,,Tango,Mario Ponce De Leon,Odeón,,,,Mariano Mores,José María Contursi,,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,1956-06-06,La Calesita,,Tango,Carlos Acuña y coro,Odeón,,,,Mariano Mores,Cátulo Castillo,,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,1957,Cafetín de Buenos Aires,,Tango,Hugo del Carril,Odeón,,,,"Mariano Mores, Enrique Santos Discépolo","Mariano Mores, Enrique Santos Discépolo",,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,1957,Cuartito Azul,,Tango,Hugo del Carril,Odeón,,,,Mariano Mores,Mario Battistella,,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,1957,Gricel,,Tango,Hugo del Carril,Odeón,,,,Mariano Mores,José María Contursi,,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,1957-01-21,Cafetín de Buenos Aires,,Tango,Carlos Acuña,Odeón,,,,"Mariano Mores, Enrique Santos Discépolo","Mariano Mores, Enrique Santos Discépolo",,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,1957-01-25,Gricel,,Tango,Enrique Lucero,Odeón,,,,Mariano Mores,José María Contursi,,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,1957-01-25,Sin Palabras,,Tango,Enrique Lucero,Odeón,,,,Mariano Mores,Enrique Santos Discépolo,,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,1957-01-28,Cafetín de Buenos Aires,,Tango,Enrique Lucero,Odeón,,,,"Mariano Mores, Enrique Santos Discépolo","Mariano Mores, Enrique Santos Discépolo",,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,1957-01-28,Cuartito Azul,,Tango,Carlos Acuña,Odeón,,,,Mariano Mores,Mario Battistella,,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,1957-02-01,Cristal,,Tango,Enrique Lucero,Odeón,,,,Mariano Mores,José María Contursi,,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,1957-02-01,En Esta Tarde Gris,,Tango,Mario Ponce De Leon,Odeón,,,,Mariano Mores,José María Contursi,,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,1957-03-22,"Adiós, Pampa Mía",,Tango,Carlos Acuña,Odeón,,,,"Francisco Canaro, Mariano Mores, Ivo Pelay","Francisco Canaro, Mariano Mores, Ivo Pelay",,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,1957-03-22,Uno,,Tango,Carlos Acuña,Odeón,,,,Mariano Mores,Enrique Santos Discépolo,,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,1957-04-08,Cada Vez que Me Recuerdes,,Tango,Carlos Acuña,Odeón,,,,Mariano Mores,José María Contursi,,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,1957-04-08,El Patio de la Morocha,,Tango,Carlos Acuña,Odeón,,,,Mariano Mores,Cátulo Castillo,,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,1957-04-15,Taquito Militar,,Milonga,Instrumental,Odeón,,,,Mariano Mores,,,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,1957-04-15,Tu Piel de Jazmín,,Tango,Enrique Lucero,Odeón,,,,Mariano Mores,José María Contursi,,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,1957-04-29,Adiós,,Tango,Coro,Odeón,,,,Mariano Mores,"Alberto Laureano Martínez, Pierre Cour",,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,1957-04-29,Linda,,Tango,Carlos Acuña,Odeón,,,,Mariano Mores,Pierre Cour,,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,1957-04-30,Tanguera,,Tango,Instrumental,Odeón,,,,Mariano Mores,,,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,1957-04-30,Una Lágrima Tuya,,Tango,Enrique Lucero,Odeón,,,,Mariano Mores,Homero Manzi,,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,1957-09-24,Cuartito Azul,,Tango,Carlos Acuña,Odeón,,,,Mariano Mores,Mario Battistella,,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,1957-11-12,La Cumparsita,,Tango,Instrumental,Odeón,,,,Gerardo Matos Rodríguez,"Pascual Contursi, Enrique Maroni, Gerardo Matos Rodríguez",,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,1957-11-12,Vals de la Evocación,,Vals,Instrumental,Odeón,,,,Mariano Mores,,,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,1957-11-14,Mimí Pinsón,,Tango,Instrumental,Odeón,,,,Aquiles Roggero,José Rótulo,,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,1957-11-21,Bailonga,,Candombe,Instrumental,Odeón,,,,Mariano Mores,,,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,1957-11-21,El Irresistible,,Tango,Instrumental,Odeón,,,,Lorenzo Logatti,Carlos Pesce,,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,1957-11-29,Naipe Marcado,,Milonga Tangueada,Instrumental,Odeón,,,,,,,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,1958-01-05,Serenata Orillera,,Tango,Instrumental,Odeón,,,,Mariano Mores,,,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,1958-03-18,El Firulete,,Milonga,Instrumental,Odeón,,,,Mariano Mores,Rodolfo M. Taboada,,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,1958-05-06,Taquito Militar,,Milonga,Instrumental,Odeón,,,,Mariano Mores,,,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,1958-08-11,El Estrellero,,Tango,Aldo Campoamor,Odeón,,,,Mariano Mores,Francisco Amor,,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,1958-08-11,La Flor de la Canela,,Vals,Aldo Campoamor y Carlos Acuña,Odeón,,,,Isabel Granda,Isabel Granda,,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,1958-08-11,Mulatada,,Milonga,Aldo Campoamor y Carlos Acuña y coro,Odeón,,,,Mariano Mores,Cátulo Castillo,,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,1958-08-11,Yo Tengo un Pecado Nuevo,,Tango,Aldo Campoamor,Odeón,,,,Mariano Mores,Alberto Laureano Martínez,,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,1958-08-18,Anoche,,Tango,Aldo Campoamor,Odeón,,,,Armando Pontier,Cátulo Castillo,,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,1958-08-18,El Firulete,,Milonga,Instrumental,Odeón,,,,Mariano Mores,Rodolfo M. Taboada,,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,1958-09-11,Marinera,,Tango,Aldo Campoamor,Odeón,,,,Pedro Laurenz,Carlos Marín,,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,1960-01-16,La Canción,,Tango,Carlos Acuña y coro,Odeón,,,,Juan de Dios Filiberto,Lito Bayardo,,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,1960-01-16,Lejana Tierra Mía,,,Carlos Acuña,Odeón,,,,Carlos Gardel,Alfredo Le Pera,,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,1960-01-22,El Monito,,Tango,Instrumental,Odeón,,,,Julio De Caro,Juan Carlos Marambio Catán,,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,1960-01-22,Tan Solo un Loco Amor,,Tango,Sergio Cansino,Odeón,,,,Mariano Mores,Martin Darré,,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,1961-11-21,Por Qué la Quise Tanto,,Tango,Miguel Montero,Odeón,,,,Mariano Mores,Rodolfo M. Taboada,,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,1961-11-21,Viejo Madrid,,Tango,Nelly Vázquez,Odeón,,,,Mariano Mores,"Roberto Lambertucci, Rodolfo M. Taboada",,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,1963,Linda,,Tango,Néstor Fabián,Odeón,,,,Mariano Mores,Pierre Cour,,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,1963-06-05,Frente al Mar,,Tango,Susy Leiva,Odeón,,,,Mariano Mores,Rodolfo M. Taboada,,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,1964-07-31,"Selección de Tangos de Juan de Dios Filiberto (Amigazo, Clavel del Aire, Cuando Llora la Milonga)",,Potpourri,Instrumental,Odeón,,,,,,,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,1968-11-06,Sabor de Adiós,,Tango,Claudio Bergé,Odeón,,,,Mariano Mores,Silvio Soldán,,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,1970,Oro y Gris,,Tango,Instrumental,,,,,Mariano Mores,León Benarós,,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,1970-01-20,El Día que Me Quieras,,Tango,Carlos Acuña,,,,,Carlos Gardel,Alfredo Le Pera,,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,,A la Flauta,,,Instrumental,,,,,Mariano Mores,,,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,,Adiós,,Tango,Instrumental,,,,,Mariano Mores,"Alberto Laureano Martínez, Pierre Cour",,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,,Adiós,,Tango,Aldo Campoamor,,,,,Mariano Mores,"Alberto Laureano Martínez, Pierre Cour",,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,,"Adiós, Pampa Mía",,Tango,Instrumental,,,,,"Francisco Canaro, Mariano Mores, Ivo Pelay","Francisco Canaro, Mariano Mores, Ivo Pelay",,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,,Ahora Te Llaman Lulú,,Milonga,Tita Merello y Hugo del Carril,,,,,Mariano Mores,Rodolfo M. Taboada,,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,,Al Gran Pueblo Argentino Salud,,,Instrumental,,,,,Mariano Mores,,,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,,Alma de Bohemio,,Tango,Instrumental,,,,,Roberto Firpo,Juan Andrés Caruso,,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,,Amarraditos,,Vals,Instrumental,,,,,,,,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,,Amigazo,,Tango,Instrumental,,,,,Juan de Dios Filiberto,"Francisco Brancatti, Juan Miguel Velich",,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,,Baiango,,,Carlos Acuña,,,,,Mariano Mores,,,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,,Balada,,,Instrumental,,,,,Martin Darré,Martin Darré,,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,,Beguine,Toi Contre Moi,,Instrumental,,,,,Mariano Mores,,,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,,Cada Vez que Me Recuerdes,,Tango,Instrumental,,,,,Mariano Mores,José María Contursi,,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,,Cafetín de Buenos Aires,,Tango,Instrumental,,,,,"Mariano Mores, Enrique Santos Discépolo","Mariano Mores, Enrique Santos Discépolo",,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,,Canaro,,Tango,Instrumental,,,,,José Martínez,,,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,,Che Cuñao que Bronca Da,,,Instrumental,,,,,Mariano Mores,Rodolfo M. Taboada,,,,,,,,,,,
Mariano Mores,Mariano Mores y su Orquesta,,"Ché Cuñao, que Bronca Dá",,,Miguel Montero,,,,,Mariano Mores,Rodolfo M. Taboada,,,,,,,,,,,
