Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Mercedes Simone,Mercedes Simone con Guitarras,1927-12-15,Estampa Rea,,Tango,Mercedes Simone,Víctor,78rpm,BAVE 1610-2,79979-A,Eduardo de Labar,Alfredo Navarrine,,,,,,,,,,,
Mercedes Simone,Mercedes Simone con Guitarras,1927-12-15,El Morito,,Tango,Mercedes Simone,Víctor,78rpm,BAVE 1611-1,79979-B,Oscar Roma,Eugenio Cárdenas,,,,,,,,,,,
Mercedes Simone,Mercedes Simone con Guitarras,1928-02-01,"Oiga, Agente",,Tango,Mercedes Simone,Víctor,78rpm,BAVE 1630-2,79989-A,Mercedes Simone,,,,,,,,,,,,
Mercedes Simone,Mercedes Simone con Guitarras,1928-02-01,Mis Recuerdos,,Tango,Mercedes Simone,Víctor,78rpm,BAVE 1631-2,79989-B,"José Servidio, Luis Servidio",Alfredo Roldán,,,,,,,,,,,
Mercedes Simone,Mercedes Simone con Guitarras,1928-03-27,Zapateado Entrerriano,,Chacarera,Mercedes Simone,Víctor,78rpm,44020-2,80820-A,E. Escobio,J. B. Gallardo de Zalazar,,,,,,,,,,,
Mercedes Simone,Mercedes Simone con Guitarras,1928-03-27,Pelechaste...,,Tango,Mercedes Simone,Víctor,78rpm,44021-2,80820-B,Enrique Vendituoli,Pablo Rodríguez,,,,,,,,,,,
Mercedes Simone,Mercedes Simone con Guitarras,1928-05-03,Si Yo Tuviera,,Tango,Mercedes Simone,Víctor,78rpm,44064-2,80842-A,Bartolome M. Chapela,,,,,,,,,,,,
Mercedes Simone,Mercedes Simone con Guitarras,1928-05-03,Yo Soy la Milonguera,,Tango,Mercedes Simone,Víctor,78rpm,44065-2,80842-B,Gerardo Matos Rodríguez,Vicente Martínez Cuitiño,,,,,,,,,,,
Mercedes Simone,Mercedes Simone con Guitarras,1928-06-15,La Paisana,,Canción,Mercedes Simone,Víctor,78rpm,44164-2,80892-A,Reynaldo S. Baudino,,,,,,,,,,,,
Mercedes Simone,Mercedes Simone con Guitarras,1928-06-15,Noche de San Juan,,Tango,Mercedes Simone,Víctor,78rpm,44165-2,80892-B,"César Ginzo, Roberto Gaston Dolard",Celedonio Flores,,,,,,,,,,,
Mercedes Simone,Mercedes Simone con Guitarras,1928-06-26,Chorra,,Tango,Mercedes Simone,Víctor,78rpm,44186-2,80903-A,Enrique Santos Discépolo,,,,,,,,,,,,
Mercedes Simone,Mercedes Simone con Guitarras,1928-06-26,Tu Jardín,,Vals,Mercedes Simone,Víctor,78rpm,44187-2,80903-B,Pablo Rodríguez,,,,,,,,,,,,
Mercedes Simone,Mercedes Simone con Guitarras,1928-08-09,Recostao en un Farol,,Tango,Mercedes Simone,Víctor,78rpm,44256-1,80938-A,Luis Mottolesse,Ismael Aguilar,,,,,,,,,,,
Mercedes Simone,Mercedes Simone con Guitarras,1928-08-09,Angustias,,Triste,Mercedes Simone,Víctor,78rpm,44257-2,80938-B,Mercedes Simone,Enrique Gaudino,,,,,,,,,,,
Mercedes Simone,Mercedes Simone con Guitarras,1928-11-15,Stambul,,Foxtrot,Mercedes Simone,Víctor,78rpm,44372-1,80996-A,Fritz Fries,J. Gamba,,,,,,,,,,,
Mercedes Simone,Mercedes Simone con Guitarras,1928-11-15,Carretero,,Tango,Mercedes Simone,Víctor,78rpm,44373-1,80996-B,Emilio Vendittuoli,J. Garabelli,,,,,,,,,,,
Mercedes Simone,Mercedes Simone con Guitarras,1929-01-15,Remembranzas,,Vals,Mercedes Simone,Víctor,78rpm,44422-1,47021-A,Ángel Negri,Italo J. Bosio,,,,,,,,,,,
Mercedes Simone,Mercedes Simone con Guitarras,1929-01-15,Melenudo,,Tango,Mercedes Simone,Víctor,78rpm,44423-2,47021-B,Alberto Gambino,Pablo Rodríguez,,,,,,,,,,,
Mercedes Simone,Mercedes Simone con Orquesta,1929-03-21,Cuando Bronca el Temporal,,Tango,Mercedes Simone,Víctor,78rpm,44472-2,47046-A,Gerardo Matos Rodríguez,Ernesto Marsili,,,,,,,,,,,
Mercedes Simone,Mercedes Simone con Orquesta,1929-03-21,Rosas de Picardía,,Vals,Mercedes Simone,Víctor,78rpm,44473-2,47046-B,Haydn Wood,"F. E. Weatherly, José Nadal",,,,,,,,,,,
Mercedes Simone,Mercedes Simone con Guitarras,1929-04-24,Silenciosamente,,Vals,Mercedes Simone,Víctor,78rpm,44530-2,47075-A,Vicente Sipulla,Enrique Carrera Sotelo,,,,,,,,,,,
Mercedes Simone,Mercedes Simone con Guitarras,1929-04-24,Inocencia,,Tango,Mercedes Simone,Víctor,78rpm,44531-2,47075-B,Mercedes Simone,,,,,,,,,,,,
Mercedes Simone,Mercedes Simone con Guitarras,1929-05-22,Dominio,,Tango,Mercedes Simone,Víctor,78rpm,44564-1,47092-A,Elvino Vardaro,Luis Rubistein,,,,,,,,,,,
Mercedes Simone,Mercedes Simone con Guitarras,1929-05-22,La Nieta de Japonesita,,Foxtrot,Mercedes Simone,Víctor,78rpm,44565-2,47092-B,"Ramón Montes, O. Yadarola, Edelmiro Garrido",José Maria Pla,,,,,,,,,,,
Mercedes Simone,Mercedes Simone con Guitarras,1929-09-27,"¡Ríe, Payaso, Ríe!",,Vals,Mercedes Simone,Víctor,78rpm,44789-2,47211-A,Ted Fiorito,Mercedes Simone,,,,,,,,,,,
Mercedes Simone,Mercedes Simone con Guitarras,1929-09-27,Fotogénico,,Tango,Mercedes Simone,Víctor,78rpm,44790-1,47211-B,Alfredo Bigeschi,,,,,,,,,,,,
