Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup
Miguel Caló,Miguel Caló y su Orquesta Típica,1932,Amarguras,Abandono,Vals,Roman Prince,Splendid,78rpm,,1001,"Jaime Vinent, Miguel Nijensohn",Sapet Grasso,,33 Splendid,Luis Brighenti,Enzo Ricci,"Miguel Caló, Domingo Cuestas","Raúl Kaplún, Hugo Gutiérrez","Piano, Bass, 2 Bandoneons, 2 Violins"
Miguel Caló,Miguel Caló y su Orquesta Típica,1932,Milonga Porteña,,Tango,Roman Prince,Splendid,78rpm,,1001,"Luis Brighenti, Miguel Caló",Mario Gomila,,33 Splendid,Luis Brighenti,Enzo Ricci,"Miguel Caló, Domingo Cuestas","Raúl Kaplún, Hugo Gutiérrez","Piano, Bass, 2 Bandoneons, 2 Violins"
Miguel Caló,Miguel Caló y su Orquesta Típica,1934-10-05,No Vale la Pena,,Tango,Carlos Dante,Odeón,78rpm,7836,8350,Antonio Helú,Antonio Helú,,34-38 Calo Playing,Miguel Nijensohn,Enzo Ricci,"Miguel Caló, Domingo Cuestas","Raúl Kaplún, Hugo Gutiérrez","Piano, Bass, 2 Bandoneons, 2 Violins"
Miguel Caló,Miguel Caló y su Orquesta Típica,1934-10-05,Tú Eres Para Mí,,Vals,Carlos Dante,Odeón,78rpm,7835,8350,Armando Baliotti,Horacio Ginzo,,34-38 Calo Playing,Miguel Nijensohn,Alfredo Sciarretta,"Miguel Caló, Calixto Sallago, Américo Caggiano, Domingo Cuestas","Raúl Kaplún, Pedro Sapochnik, Pedro Pandolfi, Orestes Zungri","Piano, Bass, 4 Bandoneons, 4 Violins"
Miguel Caló,Miguel Caló y su Orquesta Típica,1934-11-26,Mentiras Piadosas,,Tango,Carlos Dante,Odeón,78rpm,7941,8351,"Pedro Pandolfi, Miguel Nijenshon",Carlos Marín,,34-38 Calo Playing,Miguel Nijensohn,Alfredo Sciarretta,"Miguel Caló, Calixto Sallago, Américo Caggiano, Domingo Cuestas","Raúl Kaplún, Pedro Sapochnik, Pedro Pandolfi, Orestes Zungri","Piano, Bass, 4 Bandoneons, 4 Violins"
Miguel Caló,Miguel Caló y su Orquesta Típica,1935-03-25,Allá en el Cielo,,Vals,Carlos Dante,Odeón,78rpm,8041,8352,"Miguel Caló, Miguel Nijensohn","Miguel Caló, Miguel Nijensohn",,34-38 Calo Playing,Miguel Nijensohn,Alfredo Sciarretta,"Miguel Caló, Calixto Sallago, Américo Caggiano, Domingo Cuestas","Raúl Kaplún, Pedro Sapochnik, Pedro Pandolfi, Orestes Zungri","Piano, Bass, 4 Bandoneons, 4 Violins"
Miguel Caló,Miguel Caló y su Orquesta Típica,1935-03-25,Los Años Pasan,,Tango,Carlos Dante,Odeón,78rpm,8040,8352,Armando Baliotti,Carlos Giampetruzzi,,34-38 Calo Playing,Miguel Nijensohn,Alfredo Sciarretta,"Miguel Caló, Calixto Sallago, Américo Caggiano, Domingo Cuestas","Raúl Kaplún, Pedro Sapochnik, Pedro Pandolfi, Orestes Zungri","Piano, Bass, 4 Bandoneons, 4 Violins"
Miguel Caló,Miguel Caló y su Orquesta Típica,1935-04-05,Serpentinas de Esperanza,,Tango,Carlos Dante,Odeón,78rpm,8061,8353,José Canet,Afner Gatti,,34-38 Calo Playing,Miguel Nijensohn,Alfredo Sciarretta,"Miguel Caló, Calixto Sallago, Américo Caggiano, Domingo Cuestas","Raúl Kaplún, Pedro Sapochnik, Pedro Pandolfi, Orestes Zungri","Piano, Bass, 4 Bandoneons, 4 Violins"
Miguel Caló,Miguel Caló y su Orquesta Típica,1935-06-10,Es una Santa Mamá,,Tango,Carlos Dante,Odeón,78rpm,8175,8354,Miguel Caló,Celedonio Flores,,34-38 Calo Playing,Miguel Nijensohn,Alfredo Sciarretta,"Miguel Caló, Calixto Sallago, Américo Caggiano, Domingo Cuestas","Raúl Kaplún, Pedro Sapochnik, Pedro Pandolfi, Orestes Zungri","Piano, Bass, 4 Bandoneons, 4 Violins"
Miguel Caló,Miguel Caló y su Orquesta Típica,1935-09-28,Si Volviera Jesús,,Tango,Carlos Dante,Odeón,78rpm,8339,8355,Joaquín Mora,Dante Linyera,,34-38 Calo Playing,Miguel Nijensohn,Alfredo Sciarretta,"Miguel Caló, Calixto Sallago, Américo Caggiano, Domingo Cuestas","Raúl Kaplún, Pedro Sapochnik, Pedro Pandolfi, Orestes Zungri","Piano, Bass, 4 Bandoneons, 4 Violins"
Miguel Caló,Miguel Caló y su Orquesta Típica,1935-09-28,Voluntad,,Tango,Carlos Dante,Odeón,78rpm,8340,8355,Enrique Delfino,Manuel Perales,,34-38 Calo Playing,Miguel Nijensohn,Alfredo Sciarretta,"Miguel Caló, Calixto Sallago, Américo Caggiano, Domingo Cuestas","Raúl Kaplún, Pedro Sapochnik, Pedro Pandolfi, Orestes Zungri","Piano, Bass, 4 Bandoneons, 4 Violins"
Miguel Caló,Miguel Caló y su Orquesta Típica,1935-12-17,Alma Mía,,Tango,Carlos Dante,Odeón,78rpm,8458,8356,Domingo Cuestas,Mario Gomila,,34-38 Calo Playing,Miguel Nijensohn,Alfredo Sciarretta,"Miguel Caló, Calixto Sallago, Américo Caggiano, Domingo Cuestas","Raúl Kaplún, Pedro Sapochnik, Pedro Pandolfi, Orestes Zungri","Piano, Bass, 4 Bandoneons, 4 Violins"
Miguel Caló,Miguel Caló y su Orquesta Típica,1936-03-14,Caballo de Calesita,,Tango,Carlos Dante,Odeón,78rpm,8483,8358,"Miguel Nijensohn, Pedro Pandolfi",Carlos Marín,,34-38 Calo Playing,Miguel Nijensohn,Alfredo Sciarretta,"Miguel Caló, Calixto Sallago, Américo Caggiano, Domingo Cuestas","Raúl Kaplún, Pedro Sapochnik, Pedro Pandolfi, Orestes Zungri","Piano, Bass, 4 Bandoneons, 4 Violins"
Miguel Caló,Miguel Caló y su Orquesta Típica,1936-03-14,Soy Milonguero,,Tango,Carlos Dante,Odeón,78rpm,8481,8357,Miguel Caló,Mario Gomila,,34-38 Calo Playing,Miguel Nijensohn,Alfredo Sciarretta,"Miguel Caló, Calixto Sallago, Américo Caggiano, Domingo Cuestas","Raúl Kaplún, Pedro Sapochnik, Pedro Pandolfi, Orestes Zungri","Piano, Bass, 4 Bandoneons, 4 Violins"
Miguel Caló,Miguel Caló y su Orquesta Típica,1936-07-13,Bailar Soñar,,Vals,Alberto Morel,Odeón,78rpm,8631,8359,M. Testa,Louis Raymond,,34-38 Calo Playing,Miguel Nijensohn,Alfredo Sciarretta,"Miguel Caló, Calixto Sallago, Américo Caggiano, Domingo Cuestas","Raúl Kaplún, Pedro Sapochnik, Pedro Pandolfi, Orestes Zungri","Piano, Bass, 4 Bandoneons, 4 Violins"
Miguel Caló,Miguel Caló y su Orquesta Típica,1936-07-13,Las Campanas,,Tango,Alberto Morel,Odeón,78rpm,8630,8359,Armando Acquarone,Juan Velich,,34-38 Calo Playing,Miguel Nijensohn,Alfredo Sciarretta,"Miguel Caló, Calixto Sallago, Américo Caggiano, Domingo Cuestas","Raúl Kaplún, Pedro Sapochnik, Pedro Pandolfi, Orestes Zungri","Piano, Bass, 4 Bandoneons, 4 Violins"
Miguel Caló,Miguel Caló y su Orquesta Típica,1936-10-23,La Pequeña Shirley,,Vals,Alberto Morel,Odeón,78rpm,8807,8360,Miguel Caló,Mario Gomila,,34-38 Calo Playing,Miguel Nijensohn,Alfredo Sciarretta,"Miguel Caló, Calixto Sallago, Américo Caggiano, Domingo Cuestas","Raúl Kaplún, Pedro Sapochnik, Pedro Pandolfi, Orestes Zungri","Piano, Bass, 4 Bandoneons, 4 Violins"
Miguel Caló,Miguel Caló y su Orquesta Típica,1936-10-23,Nostalgias,,Tango,Alberto Morel,Odeón,78rpm,8808,8360,Juan Cobián,Enrique Cadícamo,,34-38 Calo Playing,Miguel Nijensohn,Alfredo Sciarretta,"Miguel Caló, Calixto Sallago, Américo Caggiano, Domingo Cuestas","Raúl Kaplún, Pedro Sapochnik, Pedro Pandolfi, Orestes Zungri","Piano, Bass, 4 Bandoneons, 4 Violins"
Miguel Caló,Miguel Caló y su Orquesta Típica,1938-12-21,Dulce Amargura,,Tango,Roberto Caló,Odeón,78rpm,9763,8361,Virgilio Clemente,"Jorge Torres, Enrique Galperín",,34-38 Calo Playing,Miguel Nijensohn,Alfredo Sciarretta,"Miguel Caló, Calixto Sallago, Américo Caggiano, Domingo Cuestas","Raúl Kaplún, Pedro Sapochnik, Pedro Pandolfi, Orestes Zungri","Piano, Bass, 4 Bandoneons, 4 Violins"
Miguel Caló,Miguel Caló y su Orquesta Típica,1941-03-12,Bajo un Cielo de Estrellas,,Vals,Alberto Podestá,Odeón,78rpm,11088,8362,"Enrique Francini, Héctor Stamponi",José Contursi,,41-43 Las Estrellas,Osmar Maderna,Ariel Pedernera,"Domingo Federico, Armando Pontier, José Cambareri, Felipe Ricciardi","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas","Piano, Bass, 4 Bandoneons, 4 Violins"
Miguel Caló,Miguel Caló y su Orquesta Típica,1941-03-12,Yo Soy el Tango,,Tango,Alberto Podestá,Odeón,78rpm,11087,8362,Domingo Federico,Homero Expósito,,41-43 Las Estrellas,Osmar Maderna,Ariel Pedernera,"Domingo Federico, Armando Pontier, José Cambareri, Felipe Ricciardi","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas","Piano, Bass, 4 Bandoneons, 4 Violins"
Miguel Caló,Miguel Caló y su Orquesta Típica,1941-07-31,Dos Fracasos,,Tango,Alberto Podestá,Odeón,78rpm,11344,8363,Miguel Caló,Homero Expósito,,41-43 Las Estrellas,Osmar Maderna,Ariel Pedernera,"Domingo Federico, Armando Pontier, José Cambareri, Felipe Ricciardi","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas","Piano, Bass, 4 Bandoneons, 4 Violins"
Miguel Caló,Miguel Caló y su Orquesta Típica,1942-04-29,Al Compás del Corazón,Late un Corazón,Tango,Raúl Berón,Odeón,78rpm,11964,8364,Domingo Federico,Homero Expósito,,41-43 Las Estrellas,Osmar Maderna,Ariel Pedernera,"Domingo Federico, Armando Pontier, José Cambareri, Felipe Ricciardi","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas","Piano, Bass, 4 Bandoneons, 4 Violins"
Miguel Caló,Miguel Caló y su Orquesta Típica,1942-04-29,El Vals Soñador,,Vals,Raúl Berón,Odeón,78rpm,11963,8364,Armando Pontier,Oscar Rubens,,41-43 Las Estrellas,Osmar Maderna,Ariel Pedernera,"Domingo Federico, Armando Pontier, José Cambareri, Felipe Ricciardi","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas","Piano, Bass, 4 Bandoneons, 4 Violins"
Miguel Caló,Miguel Caló y su Orquesta Típica,1942-06-30,Qué Te Importa Que Te Llore,,Tango,Raúl Berón,Odeón,78rpm,12066,8365,Miguel Caló,Osmar Maderna,,41-43 Las Estrellas,Osmar Maderna,Ariel Pedernera,"Domingo Federico, Armando Pontier, José Cambareri, Felipe Ricciardi","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas","Piano, Bass, 4 Bandoneons, 4 Violins"
Miguel Caló,Miguel Caló y su Orquesta Típica,1942-06-30,Trasnochando,,Tango,Raúl Berón,Odeón,78rpm,12067,8365,Armando Baliotti,Santiago Adamini,,41-43 Las Estrellas,Osmar Maderna,Ariel Pedernera,"Domingo Federico, Armando Pontier, José Cambareri, Felipe Ricciardi","Enrique Francini, Aquiles Aguilar, Ariol Gessaghi, Ángel Bodas","Piano, Bass, 4 Bandoneons, 4 Violins"
