Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Minotto Di Cicco,Orquesta Tipica Alonso-Minotto,1917-05-08,22 (Toto),,Tango,Instrumental,Victor,Acoustic,G 1983-1,69721-A,Alberico Spatola,,,,,,,,,,,,
Minotto Di Cicco,Orquesta Tipica Alonso-Minotto,1917-05-08,Alma Gaucha,,Tango,Instrumental,Victor,Acoustic,G 1979-1,69812-B,Roberto Firpo,,,,,,,,,,,,
Minotto Di Cicco,Orquesta Tipica Alonso-Minotto,1917-05-08,El Entrevero,,Tango,Instrumental,Victor,Acoustic,G 1975-1,72148-A,Juan Lorenzo Labissier,,,,,,,,,,,,
Minotto Di Cicco,Orquesta Tipica Alonso-Minotto,1917-05-08,El Horizonte,,Tango,Instrumental,Victor,Acoustic,G 1984-1,69721-B,Roberto Firpo,,,,,,,,,,,,
Minotto Di Cicco,Orquesta Tipica Alonso-Minotto,1917-05-08,El Solitario,,Tango,Instrumental,Victor,Acoustic,G 1976-2,72149-A,Roberto Firpo,,,,,,,,,,,,
Minotto Di Cicco,Orquesta Tipica Alonso-Minotto,1917-05-08,En el Desierto,,Vals,Instrumental,Victor,Acoustic,G 1981-1,72148-B,Roberto Firpo,,,,,,,,,,,,
Minotto Di Cicco,Orquesta Tipica Alonso-Minotto,1917-05-08,Homero,,Tango,Instrumental,Victor,Acoustic,G 1982-1,72612-A,Roberto Firpo,,,,,,,,,,,,
Minotto Di Cicco,Orquesta Tipica Alonso-Minotto,1917-05-08,La Beba,,Tango,Instrumental,Victor,Acoustic,G 1985-1,69719-B,Alberto Alonso,Alberto Alonso,,,,,,,,,,,
Minotto Di Cicco,Orquesta Tipica Alonso-Minotto,1917-05-08,La Perla Roja,,Two Step,Instrumental,Victor,Acoustic,G 1973-1,72147-A,Henry Laurenz,,,,,,,,,,,,
Minotto Di Cicco,Orquesta Tipica Alonso-Minotto,1917-05-08,Lo que Esta Bien... Ta Bien!,,Tango,Instrumental,Victor,Acoustic,G 1974-1,69719-A,Roberto Firpo,,,,,,,,,,,,
Minotto Di Cicco,Orquesta Tipica Alonso-Minotto,1917-05-08,Que Salga el Toro,,Pasodoble,Instrumental,Victor,Acoustic,G 1980-1,69811-A,Roberto Firpo,,,,,,,,,,,,
Minotto Di Cicco,Orquesta Tipica Alonso-Minotto,1917-05-08,Sans Souci,,Tango,Instrumental,Victor,Acoustic,G 1978-1,69812-A,Enrique Pedro Delfino,,,,,,,,,,,,
Minotto Di Cicco,Orquesta Tipica Alonso-Minotto,1917-05-08,Sueño Florido,,Vals,Instrumental,Victor,Acoustic,G 1977-1,69720-B,Roberto Firpo,,,,,,,,,,,,
Minotto Di Cicco,Orquesta Tipica Alonso-Minotto,1917-05-10,Amelia,,Polca,Instrumental,Victor,Acoustic,G 1992-1,69811-B,Domingo Santa Cruz,,,,,,,,,,,,
Minotto Di Cicco,Orquesta Tipica Alonso-Minotto,1917-05-10,Anatomista,,Tango,Instrumental,Victor,Acoustic,G 1990-1,69579-B,Vicente Greco,,,,,,,,,,,,
Minotto Di Cicco,Orquesta Tipica Alonso-Minotto,1917-05-10,Corazon de Artista,,Vals,Instrumental,Victor,Acoustic,G 1991-1,Inedita,Pascual de Gullo,,,,,,,,,,,,
Minotto Di Cicco,Orquesta Tipica Alonso-Minotto,1917-05-10,De Raza,,Tango,Instrumental,Victor,Acoustic,G 1987-1,Inedita,Vicente Greco,,,,,,,,,,,,
Minotto Di Cicco,Orquesta Tipica Alonso-Minotto,1917-05-10,La Alborada,,Tango,Instrumental,Victor,Acoustic,G 1986-1,69720-A,Alberto Alonso,Alberto Alonso,,,,,,,,,,,
Minotto Di Cicco,Orquesta Tipica Alonso-Minotto,1917-05-10,La Cumparsita,,Tango,Instrumental,Victor,Acoustic,G 1989-1,69579-A,Gerardo Matos Rodriguez-.P Contursi-.E. Maroni,,,,,,,,,,,,
Minotto Di Cicco,Orquesta Tipica Alonso-Minotto,1917-05-10,Marquesita,,Tango,Instrumental,Victor,Acoustic,G 1988-1,72149-B,Minotto Di Cicco,,,,,,,,,,,,
Minotto Di Cicco,Orquesta Tipica Minotto,1922-06-28,O Jocoto,,Maxixa,Instrumental,Victor,Acoustic,BA 71-3,73510-A,Roque V. Vieira,,,,,,,,,,,,
Minotto Di Cicco,Orquesta Tipica Minotto,1922-06-28,San Sebastian,,Pasodoble,Instrumental,Victor,Acoustic,BA 84-2,73512-B,Angel Brieba,,,,,,,,,,,,
Minotto Di Cicco,Orquesta Tipica Minotto,1922-06-29,Claveles de Andalucia,,Pasodoble,Instrumental,Victor,Acoustic,BA 72-1,73512-A,Antonio Florencio Frizziani,,,,,,,,,,,,
Minotto Di Cicco,Orquesta Tipica Minotto,1922-06-29,Pembere,,Maxixa,Instrumental,Victor,Acoustic,BA 73-3,73515-A,E. Souto,,,,,,,,,,,,
Minotto Di Cicco,Orquesta Tipica Minotto,1922-06-30,Central 05,,Maxixa,Instrumental,Victor,Acoustic,BA 74-3,73515-B,Nino-Tupy,,,,,,,,,,,,
Minotto Di Cicco,Orquesta Tipica Minotto,1922-06-30,El Picaflor,,Tango,Instrumental,Victor,Acoustic,BA 76-3,73507-B,Pascual Mazzeo,,,,,,,,,,,,
Minotto Di Cicco,Orquesta Tipica Minotto,1922-06-30,Fruta Prohibida,,Tango,Instrumental,Victor,Acoustic,BA 77-2,73471-A,Enrique Pedro Delfino,,,,,,,,,,,,
Minotto Di Cicco,Orquesta Tipica Minotto,1922-06-30,Pura Espuma,,Tango,Instrumental,Victor,Acoustic,BA 80-1,73471-B,Emilio Ferrer,,,,,,,,,,,,
Minotto Di Cicco,Orquesta Tipica Minotto,1922-06-30,Quem Foi que Disse?,,Maxixa,Instrumental,Victor,Acoustic,BA 75-3,73510-B,A. Paraguassu,,,,,,,,,,,,
Minotto Di Cicco,Minotto Di Cicco,1923,Ave Maria,,Tango,Instrumental,Odeon,Acoustic,1716,6877-B,Francisco y Juan Canaro,,,,,,,,,,,,
Minotto Di Cicco,Minotto Di Cicco,1923,Buenos Aires,,Tango,Instrumental,Odeon,Acoustic,1706,6878-B,Manuel Joves,Manuel Romero,,,,,,,,,,,
Minotto Di Cicco,Minotto Di Cicco,1923,Camarada,,Tango,Instrumental,Odeon,Acoustic,1436,6875-A,Francisco y Juan Canaro,Juan Andres Caruso,,,,,,,,,,,
Minotto Di Cicco,Minotto Di Cicco,1923,Chicago,,Shimmy,Instrumental,Odeon,Acoustic,1437,6875-B,F. Fisher,,,,,,,,,,,,
Minotto Di Cicco,Minotto Di Cicco,1923,La Refalosa,,Polca,Instrumental,Odeon,Acoustic,1576,6876-B,Francisco Canaro,,,,,,,,,,,,
Minotto Di Cicco,Minotto Di Cicco,1923,Los Ojazos de Mi Negra,,Zamba,Instrumental,Odeon,Acoustic,1717,6877-A,Adolfo Rafael Aviles,,,,,,,,,,,,
Minotto Di Cicco,Minotto Di Cicco,1923,Ose Anna,,Shimmy,Instrumental,Odeon,Acoustic,1705,6878-A,Maurice Ivain,,,,,,,,,,,,
Minotto Di Cicco,Minotto Di Cicco,1923,Padre Nuestro!,,Tango,Instrumental,Odeon,Acoustic,1575,6876-A,Enrique Pedro Delfino,Alberto Vaccarezza,,,,,,,,,,,
Minotto Di Cicco,Minotto Di Cicco,1926-11-19,A Media Luz,,Tango,Instrumental,Odeon,78rpm,46-1e,6879-A,Edgardo Felipe Valerio Donato,Carlos Cesar Lenzi,,,,,,,,,,,
Minotto Di Cicco,Minotto Di Cicco,1926-11-19,Noches de Colon,,Tango,Instrumental,Odeon,78rpm,47-1e,6879-B,Raul de los Hoyos,Roberto Lino Cayol,,,,,,,,,,,
Minotto Di Cicco,Orquesta Tipica Minotto,1930,Amante Soñador,,Vals,Instrumental,Columbia Negro,78rpm,370119,5007-A,Victor Schertzinger,Alfredo Raul Marengo,,,,,,,,,,,
Minotto Di Cicco,Orquesta Tipica Minotto,1930,Amarguras del Pasado,,Vals,Instrumental,Columbia Negro,78rpm,370213-2,5016-B,B. E. Elli,P. Ciambastiani,,,,,,,,,,,
Minotto Di Cicco,Orquesta Tipica Minotto,1930,Amor Criollo,,Vals,Instrumental,Columbia Negro,78rpm,370085-1,5005-B,Pascual Hector Martinez,,,,,,,,,,,,
Minotto Di Cicco,Orquesta Tipica Minotto,1930,Barrabas,,Tango,Instrumental,Columbia Negro,78rpm,370040-1,5000-A,Fioravanti Di Cicco,Francisco Garcia Jimenez,,,,,,,,,,,
Minotto Di Cicco,Orquesta Tipica Minotto,1930,Cachito de Cielo,,Tango,Antonio Buglione,Columbia Negro,78rpm,370184-2,5016-A,Julio Fava Pollero,Manuel Arcos,,,,,,,,,,,
Minotto Di Cicco,Orquesta Tipica Minotto,1930,Como Aman las Mujeres,,Tango,Antonio Buglione,Columbia Negro,78rpm,370276,5018-B,Hugo E. Galli,Carlos L. Deamici,,,,,,,,,,,
Minotto Di Cicco,Orquesta Tipica Minotto,1930,Cuidado con el Baston,,Ranchera,Instrumental,Columbia Negro,78rpm,370???,5015-B,Miguel Ortega,,,,,,,,,,,,
Minotto Di Cicco,Orquesta Tipica Minotto,1930,Debes Ser Tu,,Vals,Instrumental,Columbia Negro,78rpm,370204-2,5013-B,Fred Albert,,,,,,,,,,,,
Minotto Di Cicco,Orquesta Tipica Minotto,1930,Don Atilio,,Tango,Instrumental,Columbia Negro,78rpm,370???,5014-B,Luis Bernstein,,,,,,,,,,,,
Minotto Di Cicco,Orquesta Tipica Minotto,1930,Don Segundo Sombra,,Tango,Antonio Buglione,Columbia Negro,78rpm,370046-2,5001-B,Enrique Pedro Delfino,Julio Romero,,,,,,,,,,,
Minotto Di Cicco,Orquesta Tipica Minotto,1930,Echale Maiz al Pavo,,Ranchera,Instrumental,Columbia Negro,78rpm,370140-2,5009-B,Nuncio Lafariña,,,,,,,,,,,,
Minotto Di Cicco,Orquesta Tipica Minotto,1930,El Unico Lunar,,Tango,Antonio Buglione,Columbia Negro,78rpm,370???,5015-A,Juan Carlos Cobian,Luis Sepulveda,,,,,,,,,,,
Minotto Di Cicco,Orquesta Tipica Minotto,1930,En la Tranquera,,Ranchera,Antonio Buglione,Columbia Negro,78rpm,370103-1,5010-A,Francisco Juan Lomuto,Pancho Laguna,,,,,,,,,,,
Minotto Di Cicco,Orquesta Tipica Minotto,1930,Eterno Amor,,Tango,Antonio Buglione,Columbia Negro,78rpm,370072-4,5007-B,Ernesto Di Cicco,Mario Brugni,,,,,,,,,,,
Minotto Di Cicco,Orquesta Tipica Minotto,1930,Fiesta Criolla,,Ranchera,Antonio Buglione,Columbia Negro,78rpm,370067-1,5004-B,Juan Maglio,Alfredo Bigeschi,,,,,,,,,,,
