Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Nelly Omar,Orquesta Típica Francisco Canaro,1946-10-08,El Morocho y el Oriental,Gardel-Razzano,Milonga,Nelly Omar,Odeón,78rpm,15861,5288 A,Ángel D'Agostino,Enrique Cadícamo,,,,,,,,,,,
Nelly Omar,Guitarras dir. Roberto Grela,1950-04-24,Miriñaque,,Milonga,Nelly Omar,Odeón,78rpm,,,Alberto Mastra,,,,,,,Roberto Grela,,,,,
Nelly Omar,Guitarras dir. Roberto Grela,1950-04-25,Mulita,,Canción,Nelly Omar,Odeón,78rpm,,,,,,,,,,Roberto Grela,,,,,
Nelly Omar,Guitarras dir. Roberto Grela,1950-07-28,Cornetín,,Tango,Nelly Omar,Odeón,78rpm,,,Pedro Maffía,"Homero Manzi, Cátulo Castillo",,,,,,Roberto Grela,,,,,
Nelly Omar,Guitarras dir. Roberto Grela,1950-07-28,Desde Entonces,Como Quiere la Madre a Sus Hijos,Vals,Nelly Omar,Odeón,78rpm,,,"José Betinotti, Juan Cianciarulo",,,,,,,Roberto Grela,,,,,
Nelly Omar,Orquesta dir. Domingo Marafioti,1951,Es el Pueblo,,Canción,Nelly Omar,RCA Victor,78rpm,,,,,,,,,,,,,,,
Nelly Omar,Orquesta dir. Domingo Marafioti,1951,La Descamisada,,Milonga,Nelly Omar,RCA Victor,78rpm,,,"Enrique Maroni, Antonio Helú",,,,,,,,,,,,
Nelly Omar,Guitarras dir. Roberto Grela,1951-08-29,Boyera,Tonada del Carretero,Canción,Nelly Omar,Odeón,78rpm,,,,,,,,,,Roberto Grela,,,,,
Nelly Omar,Guitarras dir. Roberto Grela,1951-08-29,Tata No Quiere,,Milonga,Nelly Omar,Odeón,78rpm,,,René Ruiz,Charrúa,,,,,,Roberto Grela,,,,,
Nelly Omar,Guitarras dir. Roberto Grela,1951-10-16,El Mismo Dolor,,Vals,Nelly Omar,Odeón,78rpm,,,Enrique Francini,Carlos Bahr,,,,,,Roberto Grela,,,,,
Nelly Omar,Guitarras dir. Roberto Grela,1951-10-16,Pacencia,,Canción,Nelly Omar,Odeón,78rpm,,,,,,,,,,Roberto Grela,,,,,
Nelly Omar,Guitarras dir. Roberto Grela,1952-09-24,Misterio,,Canción,Nelly Omar,Odeón,78rpm,,,Américo Chiriff,"José Alonso, Trelles",,,,,,Roberto Grela,,,,,
Nelly Omar,Guitarras dir. Roberto Grela,1952-09-24,Tu Vuelta,,Milonga,Nelly Omar,Odeón,78rpm,,,Alberto Hilarion Acuña,Aníbal González Casalla,,,,,,Roberto Grela,,,,,
Nelly Omar,Guitarras dir. Roberto Grela,1953-01-23,Chúmbale los Perros,,Canción,Nelly Omar,Odeón,78rpm,,,,,,,,,,Roberto Grela,,,,,
Nelly Omar,Guitarras dir. Roberto Grela,1953-01-23,Farol de los Gauchos,,Zamba,Nelly Omar,Odeón,78rpm,,,,,,,,,,Roberto Grela,,,,,
Nelly Omar,Guitarras dir. Roberto Grela,1953-11-20,Agüelita Qué Hora Son,,Tango,Nelly Omar,Odeón,78rpm,,,Roberto Díaz,Cayetano Oreste,,,,,,Roberto Grela,,,,,
Nelly Omar,Guitarras dir. Roberto Grela,1953-11-20,Suena Guitarra Querida,,Estilo,Nelly Omar,Odeón,78rpm,,,,,,,,,,Roberto Grela,,,,,
Nelly Omar,Guitarras dir. Roberto Grela,1955-05-27,Pa' Dumesnil,,Milonga,Nelly Omar,Odeón,78rpm,,,Nelly Omar,Aníbal Honorio Cufre,,,,,,Roberto Grela,,,,,
Nelly Omar,Guitarras dir. Roberto Grela,1955-05-27,Que el Cielo Te Proteja,,Vals,Nelly Omar,Odeón,78rpm,,,Domingo Moranese,Aníbal Honorio Cufre,,,,,,Roberto Grela,,,,,
Nelly Omar,Guitarras dir. José Canet,1969,Alma en Pena,,Estilo,Nelly Omar,Magenta,LP,,5.053,Anselmo Aieta,Francisco García Jiménez,,,,,,José Canet,,,,,
Nelly Omar,Guitarras dir. José Canet,1969,Callejón,,Tango,Nelly Omar,Magenta,LP,,5.053,Roberto Grela,Héctor Marcó,,,,,,José Canet,,,,,
Nelly Omar,Guitarras dir. José Canet,1969,Che Bandoneón,,Tango,Nelly Omar,Magenta,LP,,5.053,Aníbal Troilo,Homero Manzi,,,,,,José Canet,,,,,
