Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Orquesta Romántica Milonguera,Orquesta Romántica Milonguera,2017-04-24,Todo Es Amor,,Tango,Marisol Martínez y Roberto Minondi,,Digital,,,,,,2017 Romántica Milonguera,Tomás Regolo,Juan Miguens,Oscar Yemha; Ricardo Badaracco; Roberta Maegli,Lucas Furno; Sara Ryan; Luli Christe,,,,,
Orquesta Romántica Milonguera,Orquesta Romántica Milonguera,2017-04-24,Poema,,Tango,Marisol Martínez y Roberto Minondi,,Digital,,,Mario Melfi,Eduardo Bianco,,2017 Romántica Milonguera,Tomás Regolo,Juan Miguens,Oscar Yemha; Ricardo Badaracco; Roberta Maegli,Lucas Furno; Sara Ryan; Luli Christe,,,,,
Orquesta Romántica Milonguera,Orquesta Romántica Milonguera,2017-04-24,Buscándote,,Tango,Marisol Martínez y Roberto Minondi,,Digital,,,Lalo Scalise,Lalo Scalise,,2017 Romántica Milonguera,Tomás Regolo,Juan Miguens,Oscar Yemha; Ricardo Badaracco; Roberta Maegli,Lucas Furno; Sara Ryan; Luli Christe,,,,,
Orquesta Romántica Milonguera,Orquesta Romántica Milonguera,2017-04-24,Oigo Tu Voz,,Tango,Marisol Martínez y Roberto Minondi,,Digital,,,Mario Canaro,Francisco García Jiménez,,2017 Romántica Milonguera,Tomás Regolo,Juan Miguens,Oscar Yemha; Ricardo Badaracco; Roberta Maegli,Lucas Furno; Sara Ryan; Luli Christe,,,,,
Orquesta Romántica Milonguera,Orquesta Romántica Milonguera,2017-04-24,Bomboncito,,Tango,Marisol Martínez y Roberto Minondi,,Digital,,,,,,2017 Romántica Milonguera,Tomás Regolo,Juan Miguens,Oscar Yemha; Ricardo Badaracco; Roberta Maegli,Lucas Furno; Sara Ryan; Luli Christe,,,,,
Orquesta Romántica Milonguera,Orquesta Romántica Milonguera,2017-04-24,Solamente Ella,,Tango,Marisol Martínez y Roberto Minondi,,Digital,,,Lucio Demare,Homero Manzi,,2017 Romántica Milonguera,Tomás Regolo,Juan Miguens,Oscar Yemha; Ricardo Badaracco; Roberta Maegli,Lucas Furno; Sara Ryan; Luli Christe,,,,,
Orquesta Romántica Milonguera,Orquesta Romántica Milonguera,2017-04-24,Adiós Corazón,,Tango,Marisol Martínez y Roberto Minondi,,Digital,,,,,,2017 Romántica Milonguera,Tomás Regolo,Juan Miguens,Oscar Yemha; Ricardo Badaracco; Roberta Maegli,Lucas Furno; Sara Ryan; Luli Christe,,,,,
Orquesta Romántica Milonguera,Orquesta Romántica Milonguera,2017-04-24,En Esta Noche de Luna,,Tango,Marisol Martínez y Roberto Minondi,,Digital,,,Graciano Gómez; José García,Homero Manzi,,2017 Romántica Milonguera,Tomás Regolo,Juan Miguens,Oscar Yemha; Ricardo Badaracco; Roberta Maegli,Lucas Furno; Sara Ryan; Luli Christe,,,,,
Orquesta Romántica Milonguera,Orquesta Romántica Milonguera,2017-04-24,Fueron Tres Años,,Tango,Marisol Martínez y Roberto Minondi,,Digital,,,Juan Pablo Marín,Juan Pablo Marín,,2017 Romántica Milonguera,Tomás Regolo,Juan Miguens,Oscar Yemha; Ricardo Badaracco; Roberta Maegli,Lucas Furno; Sara Ryan; Luli Christe,,,,,
Orquesta Romántica Milonguera,Orquesta Romántica Milonguera,2017-04-24,Tú,,,Marisol Martínez y Roberto Minondi,,Digital,,,,,,2017 Romántica Milonguera,Tomás Regolo,Juan Miguens,Oscar Yemha; Ricardo Badaracco; Roberta Maegli,Lucas Furno; Sara Ryan; Luli Christe,,,,,
Orquesta Romántica Milonguera,Orquesta Romántica Milonguera,2017-10-23,Invierno,,Tango,Marisol Martínez y Roberto Minondi,,Digital,,,Horacio Pettorossi,Enrique Cadícamo,,2017 Dúos,,,,,,,,,
Orquesta Romántica Milonguera,Orquesta Romántica Milonguera,2017-10-23,Mi Serenata,,Tango,Marisol Martínez y Roberto Minondi,,Digital,,,,,,2017 Dúos,,,,,,,,,
Orquesta Romántica Milonguera,Orquesta Romántica Milonguera,2017-10-23,Sueño Azul,,,Marisol Martínez y Roberto Minondi,,Digital,,,,,,2017 Dúos,,,,,,,,,
Orquesta Romántica Milonguera,Orquesta Romántica Milonguera,2017-10-23,Sin Sabor,,Tango,Marisol Martínez y Roberto Minondi,,Digital,,,,,,2017 Dúos,,,,,,,,,
Orquesta Romántica Milonguera,Orquesta Romántica Milonguera,2018-03-28,Perfidia,,Bolero,Marisol Martínez y Roberto Minondi,,Digital,,,Alberto Domínguez,Alberto Domínguez,,2018 Boleros,,,,,,,,,
Orquesta Romántica Milonguera,Orquesta Romántica Milonguera,2018-03-28,Bésame Mucho,,Bolero,Marisol Martínez y Roberto Minondi,,Digital,,,Consuelo Velázquez,Consuelo Velázquez,,2018 Boleros,,,,,,,,,
Orquesta Romántica Milonguera,Orquesta Romántica Milonguera,2018-03-28,Duerme Mi Amor,,Bolero,Marisol Martínez y Roberto Minondi,,Digital,,,,,,2018 Boleros,,,,,,,,,
Orquesta Romántica Milonguera,Orquesta Romántica Milonguera,2018-03-28,"Quizás, Quizás, Quizás",,Bolero,Marisol Martínez y Roberto Minondi,,Digital,,,Osvaldo Farrés,Osvaldo Farrés,,2018 Boleros,,,,,,,,,
Orquesta Romántica Milonguera,Orquesta Romántica Milonguera,2018-11-06,Porteñísimo,,Tango,,,Digital,,,,,,2018 Besos Brujos,,,,,,,,,
Orquesta Romántica Milonguera,Orquesta Romántica Milonguera,2018-11-06,Besos Brujos,,Tango,Marisol Martínez y Roberto Minondi,,Digital,,,Alfredo Malerba,Rodolfo Sciammarella,,2018 Besos Brujos,,,,,,,,,
Orquesta Romántica Milonguera,Orquesta Romántica Milonguera,2018-11-06,Qué Te Importa Que Te Llore,,Tango,Marisol Martínez y Roberto Minondi,,Digital,,,,,,2018 Besos Brujos,,,,,,,,,
