Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Ciriaco Ortiz,Orquesta Típica Los Provincianos,1931-02-07,La Cachila,,Tango,Instrumental,Victor,,,,Eduardo Arolas,,,,Orlando Carabelli,Benjamín Holgado Barrio,"Ciriaco Ortiz, Aníbal Troilo, Enrique Arriyuelo, Nicolás Peppe","Elvino Vardaro, Adolfo Cassano, Manuel Muñoz","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Ciriaco Ortiz,Orquesta Típica Los Provincianos,1931-02-07,Trapitos al Sol,,Ranchera,Teófilo Ibañez,Victor,,,,Nervu,Ivo Pelay,,,Orlando Carabelli,Benjamín Holgado Barrio,"Ciriaco Ortiz, Aníbal Troilo, Enrique Arriyuelo, Nicolás Peppe","Elvino Vardaro, Adolfo Cassano, Manuel Muñoz","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Ciriaco Ortiz,Orquesta Típica Los Provincianos,1931-03-07,Se Han Sentado las Carretas,,Canción,Alberto Gómez y Tito Vila,Victor,,,,,,,,Orlando Carabelli,Benjamín Holgado Barrio,"Ciriaco Ortiz, Aníbal Troilo, Enrique Arriyuelo, Nicolás Peppe","Elvino Vardaro, Adolfo Cassano, Manuel Muñoz","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Ciriaco Ortiz,Orquesta Típica Los Provincianos,1931-03-07,La Cumparsita,,Tango,Roberto Díaz,Victor,,,,Gerardo Matos Rodríguez,"Pascual Contursi, Enrique Pedro Maroni",,,Orlando Carabelli,Benjamín Holgado Barrio,"Ciriaco Ortiz, Aníbal Troilo, Enrique Arriyuelo, Nicolás Peppe","Elvino Vardaro, Adolfo Cassano, Manuel Muñoz","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Ciriaco Ortiz,Orquesta Típica Los Provincianos,1931-04-29,Sabalaje,,Tango,Carlos Lafuente,Victor,,,,Udelino Toranzo,,,,Orlando Carabelli,Benjamín Holgado Barrio,"Ciriaco Ortiz, Aníbal Troilo, Enrique Arriyuelo, Nicolás Peppe","Elvino Vardaro, Adolfo Cassano, Manuel Muñoz","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Ciriaco Ortiz,Orquesta Típica Los Provincianos,1931-04-29,Dolores,,Vals,Instrumental,Victor,,,,Emil Waldteufel,,,,Orlando Carabelli,Benjamín Holgado Barrio,"Ciriaco Ortiz, Aníbal Troilo, Enrique Arriyuelo, Nicolás Peppe","Elvino Vardaro, Adolfo Cassano, Manuel Muñoz","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Ciriaco Ortiz,Orquesta Típica Los Provincianos,1931-05-11,De Güelta Pa' Mis Pagos,,Ranchera,Roberto Díaz,Victor,,,,J. Gandolfi,M. Güiraldes,,,Orlando Carabelli,Benjamín Holgado Barrio,"Ciriaco Ortiz, Aníbal Troilo, Enrique Arriyuelo, Nicolás Peppe","Elvino Vardaro, Adolfo Cassano, Manuel Muñoz","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Ciriaco Ortiz,Orquesta Típica Los Provincianos,1931-05-11,El Viejo Vizcacha,,Ranchera,Roberto Díaz,Victor,,,,Juan Cauri,,,,Orlando Carabelli,Benjamín Holgado Barrio,"Ciriaco Ortiz, Aníbal Troilo, Enrique Arriyuelo, Nicolás Peppe","Elvino Vardaro, Adolfo Cassano, Manuel Muñoz","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Ciriaco Ortiz,Orquesta Típica Los Provincianos,1931-07-08,Hijo del Fango,,Tango,Carlos Lafuente,Victor,,,,Francisco Pracánico,,,,Orlando Carabelli,Benjamín Holgado Barrio,"Ciriaco Ortiz, Aníbal Troilo, Enrique Arriyuelo, Nicolás Peppe","Elvino Vardaro, Adolfo Cassano, Manuel Muñoz","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Ciriaco Ortiz,Orquesta Típica Los Provincianos,1931-07-08,Lágrimas y Flores,,Vals,Carlos Lafuente,Victor,,,,V. Cipolla,,,,Orlando Carabelli,Benjamín Holgado Barrio,"Ciriaco Ortiz, Aníbal Troilo, Enrique Arriyuelo, Nicolás Peppe","Elvino Vardaro, Adolfo Cassano, Manuel Muñoz","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Ciriaco Ortiz,Orquesta Típica Los Provincianos,1931-07-14,Te lo Juro,,Tango,Carlos Lafuente,Victor,,,,Luis Martin,,,,Orlando Carabelli,Benjamín Holgado Barrio,"Ciriaco Ortiz, Aníbal Troilo, Enrique Arriyuelo, Nicolás Peppe","Elvino Vardaro, Adolfo Cassano, Manuel Muñoz","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Ciriaco Ortiz,Orquesta Típica Los Provincianos,1931-07-14,Fiesta Campera,,Ranchera,Carlos Lafuente,Victor,,,,Juan A. Boutureira,,,,Orlando Carabelli,Benjamín Holgado Barrio,"Ciriaco Ortiz, Aníbal Troilo, Enrique Arriyuelo, Nicolás Peppe","Elvino Vardaro, Adolfo Cassano, Manuel Muñoz","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Ciriaco Ortiz,Orquesta Típica Los Provincianos,1931-08-22,Gran Señor,,Tango,Roberto Díaz,Victor,,,,"E. Saavedra, Máximo Orsi",,,,Orlando Carabelli,Benjamín Holgado Barrio,"Ciriaco Ortiz, Aníbal Troilo, Enrique Arriyuelo, Nicolás Peppe","Elvino Vardaro, Adolfo Cassano, Manuel Muñoz","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Ciriaco Ortiz,Orquesta Típica Los Provincianos,1932-01-05,1900,,Tango,Carlos Lafuente,Victor,,,,Edgardo Donato,,,,Orlando Carabelli,Benjamín Holgado Barrio,"Ciriaco Ortiz, Aníbal Troilo, Enrique Arriyuelo, Nicolás Peppe","Elvino Vardaro, Adolfo Cassano, Manuel Muñoz","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Ciriaco Ortiz,Orquesta Típica Los Provincianos,1932-01-05,Sueño Imaginado,,Vals,Carlos Lafuente,Victor,,,,Carlos Minochio,,,,Orlando Carabelli,Benjamín Holgado Barrio,"Ciriaco Ortiz, Aníbal Troilo, Enrique Arriyuelo, Nicolás Peppe","Elvino Vardaro, Adolfo Cassano, Manuel Muñoz","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Ciriaco Ortiz,Orquesta Típica Los Provincianos,1932-03-23,Volvió la Princesita,,Vals,Luis Díaz,Victor,,,,Antonio Sureda,Gerónimo Sureda,,,Orlando Carabelli,Benjamín Holgado Barrio,"Ciriaco Ortiz, Aníbal Troilo, Enrique Arriyuelo, Nicolás Peppe","Elvino Vardaro, Adolfo Cassano, Manuel Muñoz","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Ciriaco Ortiz,Orquesta Típica Los Provincianos,1932-04-05,Lazos de Amor,,Ranchera,Alberto Gómez,Victor,,,,"Roselli, Víctor Braña",,,,Orlando Carabelli,Benjamín Holgado Barrio,"Ciriaco Ortiz, Aníbal Troilo, Enrique Arriyuelo, Nicolás Peppe","Elvino Vardaro, Adolfo Cassano, Manuel Muñoz","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Ciriaco Ortiz,Orquesta Típica Los Provincianos,1932-05-18,Queja Gaucha,,Tango,Luis Díaz,Victor,,,,Enrique Saborido,,,,Orlando Carabelli,Benjamín Holgado Barrio,"Ciriaco Ortiz, Aníbal Troilo, Enrique Arriyuelo, Nicolás Peppe","Elvino Vardaro, Adolfo Cassano, Manuel Muñoz","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Ciriaco Ortiz,Orquesta Típica Los Provincianos,1932-05-18,Junto al Mar,,Vals,Luis Díaz,Victor,,,,L. D'Agostino,V. P. Del Campo,,,Orlando Carabelli,Benjamín Holgado Barrio,"Ciriaco Ortiz, Aníbal Troilo, Enrique Arriyuelo, Nicolás Peppe","Elvino Vardaro, Adolfo Cassano, Manuel Muñoz","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Ciriaco Ortiz,Orquesta Típica Los Provincianos,1932-07-27,El Distinguido Ciudadano,,Tango,Instrumental,Victor,,,,Peregrino Paulos (h),,,,Orlando Carabelli,Benjamín Holgado Barrio,"Ciriaco Ortiz, Aníbal Troilo, Enrique Arriyuelo, Nicolás Peppe","Elvino Vardaro, Adolfo Cassano, Manuel Muñoz","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
