Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Orquesta Típica Misteriosa Buenos Aires,Orquesta Típica Misteriosa Buenos Aires,2010-04-01,9 de Julio,,Tango,Instrumental,,Digital,,,José Luis Padula,,,2010 De Salón,Javier Arias,Ariel Obregón,Emiliano Bonfiglio; Diego Benbassat; Santiago Arias,Ernesto Gómez; Damián González Gantes; Esteban Carbonella,Marisol Martínez y Marcelo Rey (h) (voz),,,,
Orquesta Típica Misteriosa Buenos Aires,Orquesta Típica Misteriosa Buenos Aires,2010-04-01,La Catrera,,Tango,,,Digital,,,Arturo De Bassi,,,2010 De Salón,Javier Arias,Ariel Obregón,Emiliano Bonfiglio; Diego Benbassat; Santiago Arias,Ernesto Gómez; Damián González Gantes; Esteban Carbonella,Marisol Martínez y Marcelo Rey (h) (voz),,,,
Orquesta Típica Misteriosa Buenos Aires,Orquesta Típica Misteriosa Buenos Aires,2010-04-01,En Esta Tarde Gris,,Tango,,,Digital,,,Mariano Mores,José María Contursi,,2010 De Salón,Javier Arias,Ariel Obregón,Emiliano Bonfiglio; Diego Benbassat; Santiago Arias,Ernesto Gómez; Damián González Gantes; Esteban Carbonella,Marisol Martínez y Marcelo Rey (h) (voz),,,,
Orquesta Típica Misteriosa Buenos Aires,Orquesta Típica Misteriosa Buenos Aires,2010-04-01,La Guitarrita,,Tango,Instrumental,,Digital,,,Eduardo Arolas,,,2010 De Salón,Javier Arias,Ariel Obregón,Emiliano Bonfiglio; Diego Benbassat; Santiago Arias,Ernesto Gómez; Damián González Gantes; Esteban Carbonella,Marisol Martínez y Marcelo Rey (h) (voz),,,,
Orquesta Típica Misteriosa Buenos Aires,Orquesta Típica Misteriosa Buenos Aires,2010-04-01,Niebla del Riachuelo,,Tango,,,Digital,,,Juan Carlos Cobián,Enrique Cadícamo,,2010 De Salón,Javier Arias,Ariel Obregón,Emiliano Bonfiglio; Diego Benbassat; Santiago Arias,Ernesto Gómez; Damián González Gantes; Esteban Carbonella,Marisol Martínez y Marcelo Rey (h) (voz),,,,
Orquesta Típica Misteriosa Buenos Aires,Orquesta Típica Misteriosa Buenos Aires,2010-04-01,Loca,,Tango,,,Digital,,,Manuel Jovés,Antonio Martínez Viérgol,,2010 De Salón,Javier Arias,Ariel Obregón,Emiliano Bonfiglio; Diego Benbassat; Santiago Arias,Ernesto Gómez; Damián González Gantes; Esteban Carbonella,Marisol Martínez y Marcelo Rey (h) (voz),,,,
Orquesta Típica Misteriosa Buenos Aires,Orquesta Típica Misteriosa Buenos Aires,2010-04-01,Betinotti,,Milonga,,,Digital,,,Sebastián Piana,Homero Manzi,,2010 De Salón,Javier Arias,Ariel Obregón,Emiliano Bonfiglio; Diego Benbassat; Santiago Arias,Ernesto Gómez; Damián González Gantes; Esteban Carbonella,Marisol Martínez y Marcelo Rey (h) (voz),,,,
Orquesta Típica Misteriosa Buenos Aires,Orquesta Típica Misteriosa Buenos Aires,2010-04-01,Meditación,,,,,Digital,,,,,,2010 De Salón,Javier Arias,Ariel Obregón,Emiliano Bonfiglio; Diego Benbassat; Santiago Arias,Ernesto Gómez; Damián González Gantes; Esteban Carbonella,Marisol Martínez y Marcelo Rey (h) (voz),,,,
Orquesta Típica Misteriosa Buenos Aires,Orquesta Típica Misteriosa Buenos Aires,2010-04-01,Recuerdo,,Tango,,,Digital,,,Osvaldo Pugliese,Eduardo Moreno,,2010 De Salón,Javier Arias,Ariel Obregón,Emiliano Bonfiglio; Diego Benbassat; Santiago Arias,Ernesto Gómez; Damián González Gantes; Esteban Carbonella,Marisol Martínez y Marcelo Rey (h) (voz),,,,
Orquesta Típica Misteriosa Buenos Aires,Orquesta Típica Misteriosa Buenos Aires,2010-04-01,Nostalgias,,Tango,,,Digital,,,Juan Carlos Cobián,Enrique Cadícamo,,2010 De Salón,Javier Arias,Ariel Obregón,Emiliano Bonfiglio; Diego Benbassat; Santiago Arias,Ernesto Gómez; Damián González Gantes; Esteban Carbonella,Marisol Martínez y Marcelo Rey (h) (voz),,,,
Orquesta Típica Misteriosa Buenos Aires,Orquesta Típica Misteriosa Buenos Aires,2010-04-01,Será una Noche,,,,,Digital,,,,,,2010 De Salón,Javier Arias,Ariel Obregón,Emiliano Bonfiglio; Diego Benbassat; Santiago Arias,Ernesto Gómez; Damián González Gantes; Esteban Carbonella,Marisol Martínez y Marcelo Rey (h) (voz),,,,
Orquesta Típica Misteriosa Buenos Aires,Orquesta Típica Misteriosa Buenos Aires,2010-04-01,Felicia,,Tango,Instrumental,,Digital,,,Enrique Saborido,,,2010 De Salón,Javier Arias,Ariel Obregón,Emiliano Bonfiglio; Diego Benbassat; Santiago Arias,Ernesto Gómez; Damián González Gantes; Esteban Carbonella,Marisol Martínez y Marcelo Rey (h) (voz),,,,
Orquesta Típica Misteriosa Buenos Aires,Orquesta Típica Misteriosa Buenos Aires,2010-04-01,Perdóname,,,,,Digital,,,,,,2010 De Salón,Javier Arias,Ariel Obregón,Emiliano Bonfiglio; Diego Benbassat; Santiago Arias,Ernesto Gómez; Damián González Gantes; Esteban Carbonella,Marisol Martínez y Marcelo Rey (h) (voz),,,,
Orquesta Típica Misteriosa Buenos Aires,Orquesta Típica Misteriosa Buenos Aires,2010-04-01,De Vuelta y Media,,,,,Digital,,,,,,2010 De Salón,Javier Arias,Ariel Obregón,Emiliano Bonfiglio; Diego Benbassat; Santiago Arias,Ernesto Gómez; Damián González Gantes; Esteban Carbonella,Marisol Martínez y Marcelo Rey (h) (voz),,,,
Orquesta Típica Misteriosa Buenos Aires,Orquesta Típica Misteriosa Buenos Aires,2013-03-01,Sábado Inglés,,Tango,Instrumental,,Digital,,,Juan Maglio,,,2013 Una Noche en la Milonga,Javier Arias,Ariel Obregón; Patricio Peralta,Emiliano Bonfiglio; Diego Benbassat; Santiago Arias,Damián González Gantes; Esteban Carbonella; Pablo Martínez Lammer; Julián Laquidara,,,,,
