Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Orquesta Típica Sans Souci,Orquesta Típica Sans Souci,2004,Saludos,,Tango,,,Digital,,,,,,2004 Al Estilo del 40,,,,,,,,,
Orquesta Típica Sans Souci,Orquesta Típica Sans Souci,2004,Después,,Tango,,,Digital,,,Hugo Gutiérrez,Homero Manzi,,2004 Al Estilo del 40,,,,,,,,,
Orquesta Típica Sans Souci,Orquesta Típica Sans Souci,2004,Inspiración,,Tango,,,Digital,,,Peregrino Paulos,Luis Rubistein,,2004 Al Estilo del 40,,,,,,,,,
Orquesta Típica Sans Souci,Orquesta Típica Sans Souci,2004,Marión,Marion,Tango,,,Digital,,,Luis Rubistein,Luis Rubistein,,2004 Al Estilo del 40,,,,,,,,,
Orquesta Típica Sans Souci,Orquesta Típica Sans Souci,2004,Elegante Papirusa,,Tango,,,Digital,,,Tito Roccatagliata,,,2004 Al Estilo del 40,,,,,,,,,
Orquesta Típica Sans Souci,Orquesta Típica Sans Souci,2004,Yo,,Tango,,,Digital,,,,,,2004 Al Estilo del 40,,,,,,,,,
Orquesta Típica Sans Souci,Orquesta Típica Sans Souci,2004,Tierra Querida,,Tango,,,Digital,,,Julio De Caro,,,2004 Al Estilo del 40,,,,,,,,,
Orquesta Típica Sans Souci,Orquesta Típica Sans Souci,2004,Bajo un Cielo de Estrellas,,Vals,,,Digital,,,Enrique Mario Francini; Héctor Stamponi,José María Contursi,,2004 Al Estilo del 40,,,,,,,,,
Orquesta Típica Sans Souci,Orquesta Típica Sans Souci,2004,La Maleva,,Tango,,,Digital,,,Antonio Buglione,Mario Pardo,,2004 Al Estilo del 40,,,,,,,,,
Orquesta Típica Sans Souci,Orquesta Típica Sans Souci,2004,Qué Te Importa Que Te Llore,,Tango,,,Digital,,,Miguel Caló; Osmar Maderna,,,2004 Al Estilo del 40,,,,,,,,,
Orquesta Típica Sans Souci,Orquesta Típica Sans Souci,2013,Unión Cívica,,Tango,,,Digital,,,Domingo Santa Cruz,,,2013 Acústico y Monoaural,,,,,,,,,
Orquesta Típica Sans Souci,Orquesta Típica Sans Souci,2013,Es en Vano Llorar,,Tango,,,Digital,,,,,,2013 Acústico y Monoaural,,,,,,,,,
Orquesta Típica Sans Souci,Orquesta Típica Sans Souci,2013,Dos Fracasos,,Tango,,,Digital,,,,,,2013 Acústico y Monoaural,,,,,,,,,
Orquesta Típica Sans Souci,Orquesta Típica Sans Souci,2013,El Rodeo,,Tango,,,Digital,,,Agustín Bardi,,,2013 Acústico y Monoaural,,,,,,,,,
Orquesta Típica Sans Souci,Orquesta Típica Sans Souci,2013,Fantasma,,Tango,,,Digital,,,,,,2013 Acústico y Monoaural,,,,,,,,,
Orquesta Típica Sans Souci,Orquesta Típica Sans Souci,2013,Loca Bohemia,,Tango,,,Digital,,,Francisco De Caro,,,2013 Acústico y Monoaural,,,,,,,,,
Orquesta Típica Sans Souci,Orquesta Típica Sans Souci,2013,Pequeña,,Tango,,,Digital,,,Osmar Maderna,Homero Expósito,,2013 Acústico y Monoaural,,,,,,,,,
Orquesta Típica Sans Souci,Orquesta Típica Sans Souci,2013,Tú,,Tango,,,Digital,,,,,,2013 Acústico y Monoaural,,,,,,,,,
Orquesta Típica Sans Souci,Orquesta Típica Sans Souci,2013,Don Juan,,Tango,,,Digital,,,Ernesto Ponzio,Ricardo Podestá,,2013 Acústico y Monoaural,,,,,,,,,
Orquesta Típica Sans Souci,Orquesta Típica Sans Souci,2013,La Noche Que Te Fuiste,,Tango,,,Digital,,,Osmar Maderna,José María Contursi,,2013 Acústico y Monoaural,,,,,,,,,
Orquesta Típica Sans Souci,Orquesta Típica Sans Souci,2013,Sol,,Tango,,,Digital,,,,,,2013 Acústico y Monoaural,,,,,,,,,
Orquesta Típica Sans Souci,Orquesta Típica Sans Souci,2013,Garras,,Tango,,,Digital,,,,,,2013 Acústico y Monoaural,,,,,,,,,
Orquesta Típica Sans Souci,Orquesta Típica Sans Souci,2013,El Bajel,,Tango,,,Digital,,,Osmar Maderna,,,2013 Acústico y Monoaural,,,,,,,,,
Orquesta Típica Sans Souci,Orquesta Típica Sans Souci,2013,Jamás Retornarás,,Tango,,,Digital,,,Miguel Caló; Osmar Maderna,,,2013 Acústico y Monoaural,,,,,,,,,
Orquesta Típica Sans Souci,Orquesta Típica Sans Souci,2013,Los Despojos,,Tango,,,Digital,,,,,,2013 Acústico y Monoaural,,,,,,,,,
Orquesta Típica Sans Souci,Orquesta Típica Sans Souci,2021-07-28,Porteñísimo,,Tango,,,Digital,,,,,,2021 Porteñísimo,,,,,,,,,
Orquesta Típica Sans Souci,Orquesta Típica Sans Souci,2021-07-28,Si Yo Pudiera Comprender,,Tango,,,Digital,,,,,,2021 Porteñísimo,,,,,,,,,
Orquesta Típica Sans Souci,Orquesta Típica Sans Souci,2021-07-28,Remolino,,Tango,,,Digital,,,Alfredo De Angelis,José Rótulo,,2021 Porteñísimo,,,,,,,,,
Orquesta Típica Sans Souci,Orquesta Típica Sans Souci,2021-07-28,Chiqué,Chique,Tango,,,Digital,,,Ricardo Luis Brignolo,,,2021 Porteñísimo,,,,,,,,,
Orquesta Típica Sans Souci,Orquesta Típica Sans Souci,2021-07-28,Luna de Plata,,,,,Digital,,,,,,2021 Porteñísimo,,,,,,,,,
Orquesta Típica Sans Souci,Orquesta Típica Sans Souci,2021-07-28,Trenzas,,Tango,,,Digital,,,Armando Pontier,Homero Expósito,,2021 Porteñísimo,,,,,,,,,
Orquesta Típica Sans Souci,Orquesta Típica Sans Souci,2021-07-28,Fantasía en Tiempo de Tango,,Tango,,,Digital,,,,,,2021 Porteñísimo,,,,,,,,,
Orquesta Típica Sans Souci,Orquesta Típica Sans Souci,2021-07-28,Ausencia,,,,,Digital,,,,,,2021 Porteñísimo,,,,,,,,,
Orquesta Típica Sans Souci,Orquesta Típica Sans Souci,2021-07-28,Lluvia de Abril,,Tango,,,Digital,,,,,,2021 Porteñísimo,,,,,,,,,
Orquesta Típica Sans Souci,Orquesta Típica Sans Souci,2021-07-28,La Cautiva,,Tango,,,Digital,,,,,,2021 Porteñísimo,,,,,,,,,
Orquesta Típica Sans Souci,Orquesta Típica Sans Souci,2024-01-17,Ahí Va el Dulce,,Milonga,,,Digital,,,Juan Canaro,Osvaldo Sosa Cordero,,2024 Para Osmar Maderna,,,,,,,,,
Orquesta Típica Sans Souci,Orquesta Típica Sans Souci,2024-01-17,Cristal,,Tango,,,Digital,,,Mariano Mores,José María Contursi,,2024 Para Osmar Maderna,,,,,,,,,
Orquesta Típica Sans Souci,Orquesta Típica Sans Souci,2024-01-17,Gime el Viento,,Tango,,,Digital,,,Bruni,Rubens,,2024 Para Osmar Maderna,,,,,,,,,
Orquesta Típica Sans Souci,Orquesta Típica Sans Souci,2024-01-17,Para Osmar Maderna,,Tango,,,Digital,,,Miguel Caló; Trípodi,,,2024 Para Osmar Maderna,,,,,,,,,
Orquesta Típica Sans Souci,Orquesta Típica Sans Souci,2025-04-18,Vals Soñador,,Vals,,,Digital,,,,,,2025 Para Osmar Maderna (Tanda de Valses),Leonardo Fernández,Mariano Néstor Benede,Rodrigo Avalos; Oscar Yemha; Ignacio Martínez Lalis; Alejandro Pereyra,Paula García Presas; Carolina Rodriguez; Amanda Burgos; Estefania Corsini; Claudia Sereni,Cantores: Walter Chino Laborde; Emiliano Castignola,,,,
Orquesta Típica Sans Souci,Orquesta Típica Sans Souci,2025-04-18,No Te Olvides de Mi Corazón,,Vals,,,Digital,,,,,,2025 Para Osmar Maderna (Tanda de Valses),Leonardo Fernández,Mariano Néstor Benede,Rodrigo Avalos; Oscar Yemha; Ignacio Martínez Lalis; Alejandro Pereyra,Paula García Presas; Carolina Rodriguez; Amanda Burgos; Estefania Corsini; Claudia Sereni,Cantores: Walter Chino Laborde; Emiliano Castignola,,,,
Orquesta Típica Sans Souci,Orquesta Típica Sans Souci,2025-04-18,¿Quién Eres Tú?,,Vals,,,Digital,,,,,,2025 Para Osmar Maderna (Tanda de Valses),Leonardo Fernández,Mariano Néstor Benede,Rodrigo Avalos; Oscar Yemha; Ignacio Martínez Lalis; Alejandro Pereyra,Paula García Presas; Carolina Rodriguez; Amanda Burgos; Estefania Corsini; Claudia Sereni,Cantores: Walter Chino Laborde; Emiliano Castignola,,,,
