Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Orquesta Típica Brunswick,Orquesta Típica Brunswick,1929-06-22,No Vuelvas Más,,Tango,Instrumental,Brunswick,78rpm,49,1802-A,Luis Brizzio,,,,Juan Polito,Francisco De Lorenzo,"Fernando Martín, Ángel Martín, Armando Blasco, Félix Verdi","Salvador Polito, N. Salvador, Eugenio Nobile","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Orquesta Típica Brunswick,Orquesta Típica Brunswick,1929-06-22,Aguantalo Si Podés,,Tango,Instrumental,Brunswick,78rpm,51,1802-B,Anselmo Aieta,,,,Juan Polito,Francisco De Lorenzo,"Fernando Martín, Ángel Martín, Armando Blasco, Félix Verdi","Salvador Polito, N. Salvador, Eugenio Nobile","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Orquesta Típica Brunswick,Orquesta Típica Brunswick,1929,Mujer Alegre,,Tango,Instrumental,Brunswick,78rpm,29,1801-A,Antonio Scatasso,Edelmiro Garrido,,,Juan Polito,Francisco De Lorenzo,"Fernando Martín, Ángel Martín, Armando Blasco, Félix Verdi","Salvador Polito, N. Salvador, Eugenio Nobile","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Orquesta Típica Brunswick,Orquesta Típica Brunswick,1929,Suspirando,,Tango,Instrumental,Brunswick,78rpm,53,1801-B,Elvino Vardaro,,,,Juan Polito,Francisco De Lorenzo,"Fernando Martín, Ángel Martín, Armando Blasco, Félix Verdi","Salvador Polito, N. Salvador, Eugenio Nobile","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Orquesta Típica Brunswick,Orquesta Típica Brunswick,1930-07-10,Chamuyando,,Tango,Luis Díaz,Brunswick,78rpm,872,1804-B,Adolfo Pérez,Enrique Cadícamo,,,Juan Polito,Francisco De Lorenzo,"Fernando Martín, Ángel Martín, Armando Blasco, Félix Verdi","Salvador Polito, N. Salvador, Eugenio Nobile","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Orquesta Típica Brunswick,Orquesta Típica Brunswick,1930-07-10,Siempre Te Amaré,,Vals,Luis Díaz,Brunswick,78rpm,874,1803-A,Severo Lujan Junnissi,Juan Sarcione (h),,,Juan Polito,Francisco De Lorenzo,"Fernando Martín, Ángel Martín, Armando Blasco, Félix Verdi","Salvador Polito, N. Salvador, Eugenio Nobile","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Orquesta Típica Brunswick,Orquesta Típica Brunswick,1930-07-10,La Hija de Ña Ramona,,Ranchera,Luis Díaz,Brunswick,78rpm,876,1803-B,Agustín Minotti,Francisco Guerino Cozzitorti,,,Juan Polito,Francisco De Lorenzo,"Fernando Martín, Ángel Martín, Armando Blasco, Félix Verdi","Salvador Polito, N. Salvador, Eugenio Nobile","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Orquesta Típica Brunswick,Orquesta Típica Brunswick,1930-07-28,¡Qué Bomboncito!,,Tango,Instrumental,Brunswick,78rpm,919,1805-B,Ricardo Brignolo,,,,Juan Polito,Francisco De Lorenzo,"Fernando Martín, Ángel Martín, Armando Blasco, Félix Verdi","Salvador Polito, N. Salvador, Eugenio Nobile","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Orquesta Típica Brunswick,Orquesta Típica Brunswick,1930-07-28,"Dejame, por Favor",,Tango,Instrumental,Brunswick,78rpm,947,1806-A,Mariuch,,,,Juan Polito,Francisco De Lorenzo,"Fernando Martín, Ángel Martín, Armando Blasco, Félix Verdi","Salvador Polito, N. Salvador, Eugenio Nobile","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Orquesta Típica Brunswick,Orquesta Típica Brunswick,1930-07-28,Metele que Son Pasteles,,Ranchera,Luis Díaz,Brunswick,78rpm,948,1805-A,Antonio Bonavena,,,,Juan Polito,Francisco De Lorenzo,"Fernando Martín, Ángel Martín, Armando Blasco, Félix Verdi","Salvador Polito, N. Salvador, Eugenio Nobile","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Orquesta Típica Brunswick,Orquesta Típica Brunswick,1930-07-31,Chamuyando,,Tango,Luis Díaz,Brunswick,78rpm,872,1809-B,Adolfo Pérez,Enrique Cadícamo,,,Juan Polito,Francisco De Lorenzo,"Fernando Martín, Ángel Martín, Armando Blasco, Félix Verdi","Salvador Polito, N. Salvador, Eugenio Nobile","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Orquesta Típica Brunswick,Orquesta Típica Brunswick,1930-07-31,La Canción del Pirata,,Tango,Coro,Brunswick,78rpm,954,1804-A,Gabriel Pietrafesa,,,,Juan Polito,Francisco De Lorenzo,"Fernando Martín, Ángel Martín, Armando Blasco, Félix Verdi","Salvador Polito, N. Salvador, Eugenio Nobile","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Orquesta Típica Brunswick,Orquesta Típica Brunswick,1930-07-31,La Canción del Pirata,,Tango,Instrumental,Brunswick,78rpm,954,1809-A,Gabriel Pietrafesa,,,,Juan Polito,Francisco De Lorenzo,"Fernando Martín, Ángel Martín, Armando Blasco, Félix Verdi","Salvador Polito, N. Salvador, Eugenio Nobile","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Orquesta Típica Brunswick,Orquesta Típica Brunswick,1930-07-31,Junto al Rancho,,Ranchera,Instrumental,Brunswick,78rpm,956,1808-B,A. Nicoin,,,,Juan Polito,Francisco De Lorenzo,"Fernando Martín, Ángel Martín, Armando Blasco, Félix Verdi","Salvador Polito, N. Salvador, Eugenio Nobile","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Orquesta Típica Brunswick,Orquesta Típica Brunswick,1930-08-05,Como una Bendición,,Vals,Instrumental,Brunswick,78rpm,974,1808-A,F. Campon,,,,Juan Polito,Francisco De Lorenzo,"Fernando Martín, Ángel Martín, Armando Blasco, Félix Verdi","Salvador Polito, N. Salvador, Eugenio Nobile","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Orquesta Típica Brunswick,Orquesta Típica Brunswick,1930-08-05,Fruta Prohibida,,Tango,Instrumental,Brunswick,78rpm,977,1807-B,B. Nortoni,,,,Juan Polito,Francisco De Lorenzo,"Fernando Martín, Ángel Martín, Armando Blasco, Félix Verdi","Salvador Polito, N. Salvador, Eugenio Nobile","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Orquesta Típica Brunswick,Orquesta Típica Brunswick,1930-08-05,Carne y Uña,,Tango,Instrumental,Brunswick,78rpm,1015,1807-A,Diego Centeno,Francisco García Jiménez,,,Juan Polito,Francisco De Lorenzo,"Fernando Martín, Ángel Martín, Armando Blasco, Félix Verdi","Salvador Polito, N. Salvador, Eugenio Nobile","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Orquesta Típica Brunswick,Orquesta Típica Brunswick,1930-09-04,Larga Ausencia,,Tango,Instrumental,Brunswick,78rpm,1019,1813-B,Juan Spera,,,,Juan Polito,Francisco De Lorenzo,"Fernando Martín, Ángel Martín, Armando Blasco, Félix Verdi","Salvador Polito, N. Salvador, Eugenio Nobile","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
