Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Orquesta Típica Select,Orquesta Típica Select,1920-08-24,Curupayti,,Tango,Instrumental,Victor,Acoustic,B-24402-1,72804,Augusto Pedro Berto,,,,Enrique Delfino,,Osvaldo Fresedo,"Tito Delfino, Alfred Lennartz",,,,,
Orquesta Típica Select,Orquesta Típica Select,1920-08-24,Don Esteban,,Tango,Instrumental,Victor,Acoustic,B-24401-2,72804,Augusto Pedro Berto,,,,Enrique Delfino,,Osvaldo Fresedo,"Tito Delfino, Alfred Lennartz",,,,,
Orquesta Típica Select,Orquesta Típica Select,1920-08-25,A la Gran Muñeca,,Tango,Instrumental,Victor,Acoustic,B-24403-2,72805,Jesus Ventura,Miguel F. Oses,,,Enrique Delfino,,Osvaldo Fresedo,"Tito Delfino, Alfred Lennartz",,,,,
Orquesta Típica Select,Orquesta Típica Select,1920-08-25,Milonguita,,Tango,Instrumental,Victor,Acoustic,B-24407-1,72811,Enrique Delfino,,,,Enrique Delfino,,Osvaldo Fresedo,"Tito Delfino, Alfred Lennartz",,,,,
Orquesta Típica Select,Orquesta Típica Select,1920-08-25,Pablo,,Tango,Instrumental,Victor,Acoustic,B-24405-1,72807,José Martínez,,,,Enrique Delfino,,Osvaldo Fresedo,"Tito Delfino, Alfred Lennartz",,,,,
Orquesta Típica Select,Orquesta Típica Select,1920-08-25,Sabádo Inglés,,Tango,Instrumental,Victor,Acoustic,B-24406-1,72808,Juan Maglio,,,,Enrique Delfino,,Osvaldo Fresedo,"Tito Delfino, Alfred Lennartz",,,,,
Orquesta Típica Select,Orquesta Típica Select,1920-08-26,Corrientes y Esmeralda,,Tango,Instrumental,Victor,Acoustic,B-24411-1,72896,Enrique Delfino,,,,Enrique Delfino,,Osvaldo Fresedo,"Luis Alberto Infantas, Tito Delfino, Alfred Lennartz",,,,,
Orquesta Típica Select,Orquesta Típica Select,1920-08-26,Mala Sangre,,Tango,Instrumental,Victor,Acoustic,B-24415-1,72805,Osvaldo Fresedo,,,,Enrique Delfino,,Osvaldo Fresedo,"Luis Alberto Infantas, Tito Delfino, Alfred Lennartz",,,,,
Orquesta Típica Select,Orquesta Típica Select,1920-08-26,Melgarejo,,Tango,Instrumental,Victor,Acoustic,B-24414-1,72832,Antonio Scatasso,,,,Enrique Delfino,,Osvaldo Fresedo,"Luis Alberto Infantas, Tito Delfino, Alfred Lennartz",,,,,
Orquesta Típica Select,Orquesta Típica Select,1920-08-26,Nobleza de Arrabal,,Tango,Instrumental,Victor,Acoustic,B-24408-2,72810,Francisco Canaro,,,,Enrique Delfino,,Osvaldo Fresedo,"Luis Alberto Infantas, Tito Delfino, Alfred Lennartz",,,,,
