Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup
Orquesta Típica Victor,Orquesta Argentina Victor,1927,Don Juan,Mozos Guapos,Tango,Instrumental,Víctor,78rpm,,,Ernesto Ponzio,Ricardo Podestá,,26-28 Instrumentals,,,,,
Orquesta Típica Victor,Orquesta Argentina Victor,1927,Viejo Amor,,Tango,Instrumental,Víctor,78rpm,,,Isaías Pittaluga,Horacio Mansilla,,26-28 Instrumentals,,,,,
Orquesta Típica Victor,Orquesta Argentina Victor,1928,Arrullos de Bandoneón,,Tango,Instrumental,Víctor,78rpm,,,Eduardo Pereyra,,,26-28 Instrumentals,,,,,
Orquesta Típica Victor,Orquesta Argentina Victor,1928,Letargo,,Tango,Instrumental,Víctor,78rpm,,,Miguel Massini,,,26-28 Instrumentals,,,,,
Orquesta Típica Victor,Orquesta Victor Popular,1930,Por Favor,,Vals,Instrumental,Víctor,78rpm,,,Julián Alarcón,,,28-30 Pre Lafuente,,,,,
Orquesta Típica Victor,Orquesta Argentina Victor,1930,Reve Des Roses,,Vals,Instrumental,Víctor,78rpm,,,María De Gaona,,,28-30 Pre Lafuente,,,,,
Orquesta Típica Victor,Orquesta Típica Victor,1925-11-09,Olvido,,Tango,Instrumental,Víctor,Acoustic,BA 702-2,79608-A,Angel D'Agostino,,,25-26 Acoustic,,,,,
Orquesta Típica Victor,Orquesta Típica Victor,1925-11-09,Sarandí,,Tango,Instrumental,Víctor,Acoustic,BA 703-2,79608-B,Juan Baüer,Víctor Soliño,,25-26 Acoustic,,,,,
Orquesta Típica Victor,Orquesta Típica Victor,1925-11-16,La Monjita,,Tango,Instrumental,Víctor,Acoustic,BA 706-3,79610-A,Nicolás Di Masi,,,25-26 Acoustic,,,,,
Orquesta Típica Victor,Orquesta Típica Victor,1925-11-30,Mimosa,,Tango,Instrumental,Víctor,Acoustic,BA 707-4,79610-B,Anselmo Aieta,,,25-26 Acoustic,,,,,
Orquesta Típica Victor,Orquesta Típica Victor,1925-11-30,La Pueblera,,Tango,Instrumental,Víctor,Acoustic,BA 713-3,79613-A,José Rizzuti,,,25-26 Acoustic,,,,,
Orquesta Típica Victor,Orquesta Típica Victor,1925-11-30,Tesorito,,Tango,Instrumental,Víctor,Acoustic,BA 714-1,79613-B,Juan Cruz,,,25-26 Acoustic,,,,,
Orquesta Típica Victor,Orquesta Típica Victor,1925-12-15,Y Te Dejé Llorando,,Tango,Instrumental,Víctor,Acoustic,BA 725-1,79618-B,José Laina,,,25-26 Acoustic,,,,,
Orquesta Típica Victor,Orquesta Típica Victor,1926-01-05,Alma,,Tango,Instrumental,Víctor,Acoustic,BA-742,79627,Domingo Vivas,Gerónimo Gradito,,25-26 Acoustic,,,,,
Orquesta Típica Victor,Orquesta Típica Victor,1926-01-05,Beso Divino,,Tango,Instrumental,Víctor,Acoustic,BA-741,79627,José Di Clemente,Benjamín Fernández,,25-26 Acoustic,,,,,
Orquesta Típica Victor,Orquesta Típica Victor,1926-01-19,Charlatanes,,Tango,Instrumental,Víctor,Acoustic,BA 749-2,79630-B,Ángel Mori,,,25-26 Acoustic,,,,,
Orquesta Típica Victor,Orquesta Típica Victor,1926-01-19,Cholita,,Tango,Instrumental,Víctor,Acoustic,BA 750-3,79630-A,José Rizzuti,,,25-26 Acoustic,,,,,
Orquesta Típica Victor,Orquesta Típica Victor,1926-05-12,La Cumparsita,Si Supieras,Tango,Instrumental,Víctor,78rpm,BAVE 798-1,79657-B,Gerardo Matos Rodríguez,"Pascual Contursi, Enrique Maroni, Gerardo Rodríguez",,26-28 Instrumentals,,,,,
Orquesta Típica Victor,Orquesta Típica Victor,1926-05-26,Palomita,,Tango,Instrumental,Víctor,78rpm,BAVE 812-1,79662-A,Manuel Moreno,,,26-28 Instrumentals,,,,,
Orquesta Típica Victor,Orquesta Típica Victor,1926-05-26,Rencorosa,,Tango,Instrumental,Víctor,78rpm,BAVE 811-1,79662-B,Juan Baüer,,,26-28 Instrumentals,,,,,
Orquesta Típica Victor,Orquesta Típica Victor,1926-06-07,Negro,,Tango,Instrumental,Víctor,78rpm,BAVE 828-2,79670-B,Adolfo Mondino,Víctor Soliño,,26-28 Instrumentals,,,,,
Orquesta Típica Victor,Orquesta Típica Victor,1926-06-07,Retintín,,Tango,Instrumental,Víctor,78rpm,BAVE 827-3,79670-A,Eduardo Arolas,Gabriel Clausi,,26-28 Instrumentals,,,,,
Orquesta Típica Victor,Orquesta Típica Victor,1926-06-17,Ojos Que Brillan,,Tango,Instrumental,Víctor,78rpm,BAVE 849-2,79681-B,Luis Petrucelli,,,26-28 Instrumentals,,,,,
