Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup
Osmar Maderna,Orquesta Osmar Maderna,1946-02-19,Chiqué,El Elegante,Tango,Instrumental,Víctor,,,,Ricardo Brignolo,Ricardo Brignolo,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1946-02-19,Margó,,Tango,Orlando Verri,Víctor,,,,Armando Pontier,Homero Expósito,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1946-02-21,Sólo Cerrazón,,Tango,Orlando Verri,Víctor,,,,Antonio Varela,Mariano Carlés,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1946-02-21,Viejito Calavera,,Milonga,Luis Tolosa,Víctor,,,,Héctor Marcó,Héctor Marcó,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1946-05-13,El Vuelo del Moscardón,,Tango,Instrumental,Víctor,,,,"Nikolai Rimsky-Korsakov, Arr. Maderna",,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1946-05-13,Mientras Duerme la Ciudad,,Tango,Luis Tolosa,Víctor,,,,Alberto Villanueva,Oscar Rubens,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1946-06-19,Chiqué,El Elegante,Tango,Instrumental,Víctor,,,,Ricardo Brignolo,Ricardo Brignolo,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1946-06-19,Malva,,Tango,Orlando Verri,Víctor,,,,Enrique Delfino,Cátulo Castillo,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1946-09-24,Concierta en la Luna,,Tango,Instrumental,Víctor,,,,Osmar Maderna,,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1946-09-24,Concierto en la Luna,,Tango,Instrumental,Víctor,,,,Osmar Maderna,,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1946-09-24,Don Juan,Mozos Guapos,Tango,Instrumental,Víctor,,,,Ernesto Ponzio,Ricardo Podestá,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1946-10-31,Gracias,,Tango,Orlando Verri,Víctor,,,,Elías Randal,Carlos Bahr,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1946-10-31,Pajarito Viajero,,Vals,Orlando Verri,Víctor,,,,Arturo Gallucci,Roberto Lambertucci,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1946-10-31,Una Vez,,Tango,Pedro Dátila,Víctor,,,,Osvaldo Pugliese,Cátulo Castillo,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1946-11-23,Tarde Gris,,Tango,Pedro Dátila,Víctor,,,,Juan Guido,Luis Rubistein,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1947,El Marne,,Tango,Instrumental,Víctor,,,,Eduardo Arolas,Gabriel Clausi,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1947,El Rey del Compás,,Tango,Instrumental,Víctor,,,,Príncipe Cubano,,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1947,El Rodeo,,Tango,Instrumental,Víctor,,,,Agustín Bardi,,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1947-01-09,Ojos Negros,Dark Eyes,Tango,Instrumental,Víctor,,,,Vicente Greco,Pedro Córdoba,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1947-01-09,Rebeldía,,Tango,Pedro Dátila,Víctor,,,,Roberto Blanco,Oscar Rubens,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1947-02-20,Inútil,,Tango,Orlando Verri,Víctor,,,,Tito Ribero,"Reinaldo Yiso, Félix Lipesker",,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1947-02-20,Margarita Gauthier,,Tango,Pedro Dátila,Víctor,,,,Joaquín Mora,Julio Nelson,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1947-03-20,Loca Bohemia,,Tango,Instrumental,Víctor,,,,Francisco De Caro,Dante Linyera,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1947-03-20,Tiempo,,Tango,Orlando Verri,Víctor,,,,Osvaldo Ruggiero,Francisco Jiménez,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1947-04-25,Alelí,,Tango,Pedro Dátila,Víctor,,,,Alfredo De Angelis,José Rótulo,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1947-04-25,Fantasía en Tiempo de Tango,,Tango,Instrumental,Víctor,,,,Victorio Monti,,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1947-05-30,Plomo,,Tango,Orlando Verri,Víctor,,,,Luis Rubistein,Luis Rubistein,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1947-05-30,Volviendo,,Tango,Pedro Dátila,Víctor,,,,Ariol Gessaghi,Horacio Sanguinetti,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1947-07-02,Quién Eres Tú,,Vals,Pedro Dátila,Víctor,,,,Agustín Magaldi,Mario Battistella,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1947-07-02,Volvió a Llover,,Tango,Orlando Verri,Víctor,,,,Osmar Maderna,Cátulo Castillo,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1947-07-31,Felicia,,Tango,Instrumental,Víctor,,,,Enrique Saborido,Carlos Pacheco,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1947-07-31,Más Allá Todavía,,Tango,Orlando Verri,Víctor,,,,Juan Larenza,Cátulo Castillo,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1947-09-18,El Marne,,Tango,Instrumental,Víctor,,,,Eduardo Arolas,Gabriel Clausi,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1947-09-18,Se Perdió el Amor,,Tango,Pedro Dátila,Víctor,,,,Antonio Varela,Mariano De La Torre,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1947-11-20,Ausencia,,Tango,Mario Corrales,Víctor,,,,Alberto Castellano,Mario Gomila,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1947-11-20,El Baquiano,El Baqueano,Tango,Instrumental,Víctor,,,,Agustín Bardi,,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1947-12-16,El Rodeo,,Tango,Instrumental,Víctor,,,,Agustín Bardi,,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1947-12-16,Rincones de París,,Tango,Mario Corrales,Víctor,,,,Osmar Maderna,Cátulo Castillo,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1948-04-05,Pastora,La Pastora,Tango,Pedro Dátila y Mario Corrales,Víctor,,,,Alfredo De Angelis,José Rótulo,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1948-04-05,Títere,,Tango,Mario Corrales,Víctor,,,,Venancio Clauso,Venancio Clauso,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1948-06-24,El Bajel,El Bayel,Tango,Instrumental,Víctor,,,,"Francisco De Caro, Julio De Caro",,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1948-06-24,Lluvia de Estrellas,,Tango,Instrumental,Víctor,,,,Osmar Maderna,,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1949-01-26,El Pillete,,Tango,Instrumental,Víctor,,,,Graciano De Leone,,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1949-01-26,Para Ti Madre,Para Ti Madre,Vals,Pedro Dátila y Mario Corrales,Víctor,,,,José Mocciola,Venancio Clauso,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1949-07-21,Charamusca,,Tango,Instrumental,Víctor,,,,Francisco Canaro,,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1949-07-21,Pequeña,,Vals,Héctor De Rosas,Víctor,,,,Osmar Maderna,Homero Expósito,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1949-09-29,Cuando No Te Quiere Nadie,,Tango,Pedro Dátila,Víctor,,,,Eduardo Parula,Venancio Clauso,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1949-09-29,Qué Noche,,Tango,Instrumental,Víctor,,,,Agustín Bardi,,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1949-12-14,Divina,,Tango,Héctor De Rosas,Víctor,,,,Joaquín Mora,Juan De La Calle,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1949-12-14,Nube Gris,,Vals,Pedro Dátila,Víctor,,,,Eduardo Talledo,Eduardo Talledo,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1950-02-02,Al Compás de Tu Mentira,,Tango,Pedro Dátila,Víctor,,,,Rodolfo Sciammarella,Héctor Canziani,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1950-02-02,Inspiración,Inspiración,Tango,Instrumental,Víctor,,,,Peregrino Paulos,Luis Rubistein,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1950-05-17,Escalas en Azul,,Tango,Instrumental,Víctor,,,,Osmar Maderna,,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1950-05-17,La Cumparsita,Si Supieras,Tango,Instrumental,Víctor,,,,Gerardo Rodríguez,"Pascual Contursi, Enrique Maroni, Gerardo Rodríguez",,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1950-11-08,La Cautiva,,Tango,Instrumental,Víctor,,,,Alejandro Flores,Claudio Frollo,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1950-11-08,La Huella,,Tango,Instrumental,Víctor,,,,Manuel Villanueva,Enrique Cadícamo,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1950-11-28,Ahí Va el Dulce,,Tango,Instrumental,Víctor,,,,Juan Canaro,Osvaldo Cordero,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1950-11-28,Aromas,,Tango,Instrumental,Víctor,,,,Osvaldo Fresedo,Emilio Fresedo,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1951-03-29,Los Mareados,,Tango,Adolfo Rivas,Víctor,,,,Juan Cobián,Enrique Cadícamo,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Osmar Maderna,1951-03-29,Mimí Pinsón,Mimí Pinzón,Tango,Adolfo Rivas,Víctor,,,,Aquiles Roggero,José Rótulo,,46-52 Alive,,,,,
Osmar Maderna,Orquesta Símbolo Osmar Maderna,1952-09-30,Lluvia de Estrellas,,Tango,Instrumental,Víctor,,,,Osmar Maderna,,,52-68 Postumous,,,,,
Osmar Maderna,Orquesta Símbolo Osmar Maderna,1952-09-30,Pequeña,,Vals,Adolfo Rivas,Víctor,,,,Osmar Maderna,Homero Expósito,,52-68 Postumous,,,,,
Osmar Maderna,Orquesta Símbolo Osmar Maderna,1953-01-12,Cenizas,,Tango,Instrumental,Víctor,,,,José Rizzuti,Emilio Fresedo,,52-68 Postumous,,,,,
Osmar Maderna,Orquesta Símbolo Osmar Maderna,1953-01-12,Flor de Té,,Tango,Adolfo Rivas y Orlando Verri,Víctor,,,,Francisco Amor,Rufino Arriola,,52-68 Postumous,,,,,
Osmar Maderna,Orquesta Símbolo Osmar Maderna,1953-04-09,Del Suburbio,,Tango,Orlando Verri,Víctor,,,,Oscar Sabino,Víctor Lamanna,,52-68 Postumous,,,,,
Osmar Maderna,Orquesta Símbolo Osmar Maderna,1953-04-09,Quién Hubiera Dicho,,Tango,Adolfo Rivas,Víctor,,,,Rodolfo Sciammarella,Luis Amadori,,52-68 Postumous,,,,,
Osmar Maderna,Orquesta Símbolo Osmar Maderna,1953-08-07,Altivez,,Tango,Adolfo Rivas,Víctor,,,,Edmundo Baya,Carlos Bahr,,52-68 Postumous,,,,,
Osmar Maderna,Orquesta Símbolo Osmar Maderna,1953-08-07,Notas Para el Cielo,,Tango,Instrumental,Víctor,,,,Orlando Trípodi,,,52-68 Postumous,,,,,
Osmar Maderna,Orquesta Símbolo Osmar Maderna,1953-10-13,Adiós Maestro,,Tango,Adolfo Rivas,Víctor,,,,Aquiles Roggero,José Rótulo,,52-68 Postumous,,,,,
Osmar Maderna,Orquesta Símbolo Osmar Maderna,1953-10-13,Guardia Vieja,,Tango,Instrumental,Víctor,,,,Julio De Caro,José De Grandis,,52-68 Postumous,,,,,
Osmar Maderna,Orquesta Símbolo Osmar Maderna,1954-10-14,Pordioseros,,Tango,Jorge Durán,Víctor,,,,Guillermo Barbieri,Guillermo Barbieri,,52-68 Postumous,,,,,
Osmar Maderna,Orquesta Símbolo Osmar Maderna,1954-10-14,Re Fa Si,,Tango,Instrumental,Víctor,,,,Enrique Delfino,,,52-68 Postumous,,,,,
Osmar Maderna,Orquesta Símbolo Osmar Maderna,1954-11-23,El Vuelo del Moscardón,,Tango,Instrumental,Víctor,,,,"Nikolai Rimsky-Korsakov, Arr. Maderna",,,52-68 Postumous,,,,,
Osmar Maderna,Orquesta Símbolo Osmar Maderna,1954-11-23,Te Odio y Te Quiero,,Tango,Horacio Casares,Víctor,,,,Enrique Alessio,Reinaldo Yiso,,52-68 Postumous,,,,,
Osmar Maderna,Orquesta Símbolo Osmar Maderna,1955-04-04,Argentina Campeón,,Tango,Horacio Casares,Víctor,,,,Osmar Maderna,,,52-68 Postumous,,,,,
Osmar Maderna,Orquesta Símbolo Osmar Maderna,1955-04-04,Rapsodía de Arrabal,,Tango,Instrumental,Víctor,,,,José Libertella,,,52-68 Postumous,,,,,
Osmar Maderna,Orquesta Símbolo Osmar Maderna,1955-06-13,Mi Mariquita,,Vals,Horacio Casares,Víctor,,,,Aquiles Roggero,José Rótulo,,52-68 Postumous,,,,,
Osmar Maderna,Orquesta Símbolo Osmar Maderna,1955-06-13,Por Unos Ojos Negros,,Tango,Horacio Casares,Víctor,,,,José Dames,Horacio Sanguinetti,,52-68 Postumous,,,,,
Osmar Maderna,Orquesta Símbolo Osmar Maderna,1955-11-14,Matizando,,Tango,Instrumental,Víctor,,,,"Edmundo Baya, Orlando Trípodi",,,52-68 Postumous,,,,,
Osmar Maderna,Orquesta Símbolo Osmar Maderna,1955-11-14,Soledad,,Tango,Tito Dávila,Víctor,,,,Carlos Gardel,Alfredo Le Pera,,52-68 Postumous,,,,,
Osmar Maderna,Orquesta Símbolo Osmar Maderna,1956-01-05,Canaro,,Tango,Instrumental,Víctor,,,,José Martínez,,,52-68 Postumous,,,,,
Osmar Maderna,Orquesta Símbolo Osmar Maderna,1956-01-05,Cromáticas,,Tango,Instrumental,Víctor,,,,Aquiles Roggero,,,52-68 Postumous,,,,,
