Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup
Osvaldo Fresedo,Trio Fresedo-Tito-Cobián,1917,Amoníaco,,Tango,Instrumental,Tele-phone,Acoustic,44,3066,Osvaldo Fresedo,,,17-26 Acoustic,,,Osvaldo Fresedo,"David ""Tito"" Roccatagliata, Juan Carlos Cobián (Guitar)","Bandoneon, Violin, Guitar"
Osvaldo Fresedo,Trio Fresedo-Tito-Cobián,1917,Buenos Aires Tenebroso,,Tango,Instrumental,Tele-phone,Acoustic,47,3066,David Roccatagliata,,,17-26 Acoustic,,,Osvaldo Fresedo,"David ""Tito"" Roccatagliata, Juan Carlos Cobián (Guitar)","Bandoneon, Violin, Guitar"
Osvaldo Fresedo,Trio Fresedo-Tito-Cobián,1917,Don Pancho,,Tango,Instrumental,Tele-phone,Acoustic,79,3082,Osvaldo Fresedo,,,17-26 Acoustic,,,Osvaldo Fresedo,"David ""Tito"" Roccatagliata, Juan Carlos Cobián (Guitar)","Bandoneon, Violin, Guitar"
Osvaldo Fresedo,Trio Fresedo-Tito-Cobián,1917,La Cumparsita,Si Supieras,Tango,Instrumental,Tele-phone,Acoustic,78,3082,Gerardo Rodríguez,,,17-26 Acoustic,,,Osvaldo Fresedo,"David ""Tito"" Roccatagliata, Juan Carlos Cobián (Guitar)","Bandoneon, Violin, Guitar"
Osvaldo Fresedo,Osvaldo Fresedo,1920-09-03,Bélgica,,Tango,Instrumental,Víctor,Acoustic,B 24455/2,72966 A,Enrique Delfino,,,17-26 Acoustic,,,Osvaldo Fresedo,,Bandoneon
Osvaldo Fresedo,Osvaldo Fresedo,1920-09-03,Nueva York,,Tango,Instrumental,Víctor,Acoustic,B 24456/2,72966 B,Enrique Delfino,,,17-26 Acoustic,,,Osvaldo Fresedo,,Bandoneon
Osvaldo Fresedo,Orquesta Típica Fresedo,1922-04-20,Firulete,,Tango,Instrumental,Víctor,Acoustic,BA 43/5,73368 B,Raúl Galmarini,,,17-26 Acoustic,Juan Carlos Cobián,R. Leopoldo Thompson,"Osvaldo Fresedo, Alberto Rodríguez","David ""Tito"" Roccatagliata, Manlio Francia","Piano, Bass, 2 Bandoneons, 2 Violins"
Osvaldo Fresedo,Orquesta Típica Fresedo,1922-04-24,Mi Refugio,,Tango,Instrumental,Víctor,Acoustic,BA 44/9,73368 A,Juan Cobián,,,17-26 Acoustic,Juan Carlos Cobián,R. Leopoldo Thompson,"Osvaldo Fresedo, Alberto Rodríguez","Agesilao Ferrazzano, David ""Tito"" Roccatagliata, Manlio Francia","Piano, Bass, 2 Bandoneons, 3 Violins"
Osvaldo Fresedo,Orquesta Típica Fresedo,1922-04-26,Siete Pelos,7 Pelos,Tango,Instrumental,Víctor,Acoustic,BA 45/9,73367 A,Osvaldo Fresedo,,,17-26 Acoustic,Juan Carlos Cobián,"R. Leopoldo Thompson, Francisco Ortega (saxophone)","Osvaldo Fresedo, Alberto Rodríguez","David ""Tito"" Roccatagliata, Manlio Francia","Piano, Bass, 2 Bandoneons, 2 Violins, Saxophone"
Osvaldo Fresedo,Orquesta Típica Fresedo,1922-05-08,Biscuit,,Tango,Instrumental,Víctor,Acoustic,BA 54/4,73410 A,Juan Cobián,,,17-26 Acoustic,Juan Carlos Cobián,R. Leopoldo Thompson,"Osvaldo Fresedo, Alberto Rodríguez","David ""Tito"" Roccatagliata, Manlio Francia","Piano, Bass, 2 Bandoneons, 2 Violins"
Osvaldo Fresedo,Orquesta Típica Fresedo,1922-05-08,Sangre Azul,Pelona,Tango,Instrumental,Víctor,Acoustic,BA 57/1,73410 B,Manlio Francia,,,17-26 Acoustic,Juan Carlos Cobián,R. Leopoldo Thompson,"Osvaldo Fresedo, Alberto Rodríguez","David ""Tito"" Roccatagliata, Manlio Francia","Piano, Bass, 2 Bandoneons, 2 Violins"
