Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica,1943-07-15,El Rodeo,,Tango,Instrumental,Odeón,78rpm,12926,,Agustín Bardi,,,43-46 Pre Yumba,Osvaldo Pugliese,Aniceto Rossi,"Enrique Alessio, Osvaldo Ruggiero, Esteban Gilardi, Alberto Armengol","Enrique Camerano, Julio Carrasco, Jaime Tursky","Piano, Bass, 4 Bandoneons, 3 Violins",LP,Edición Aniversario 1905-2005,,Edicion Aniversario
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica,1943-07-15,Farol,,Tango,Roberto Chanel,Odeón,78rpm,12925,,Virgilio Expósito,Homero Expósito,,43-46 Pre Yumba,Osvaldo Pugliese,Aniceto Rossi,"Enrique Alessio, Osvaldo Ruggiero, Esteban Gilardi, Alberto Armengol","Enrique Camerano, Julio Carrasco, Jaime Tursky","Piano, Bass, 4 Bandoneons, 3 Violins",LP,Edición Aniversario 1905-2005,,Edicion Aniversario
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica,1943-08-27,Mala Junta,,Tango,Instrumental,Odeón,78rpm,13082,,"Julio De Caro, Pedro Laurenz",Juan Velich,,43-46 Pre Yumba,Osvaldo Pugliese,Aniceto Rossi,"Enrique Alessio, Osvaldo Ruggiero, Esteban Gilardi, Alberto Armengol","Enrique Camerano, Julio Carrasco, Jaime Tursky","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica,1943-08-27,Muchachos Comienza la Ronda,,Tango,Roberto Chanel,Odeón,78rpm,13081,,Luis Porcell,Leopoldo Vélez,,43-46 Pre Yumba,Osvaldo Pugliese,Aniceto Rossi,"Enrique Alessio, Osvaldo Ruggiero, Esteban Gilardi, Alberto Armengol","Enrique Camerano, Julio Carrasco, Jaime Tursky","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica,1943-10-21,Milonga de Mi Tierra,,Milonga,Jorge Rubino,Odeón,78rpm,13288,,Alberto Pugliese,José Sassone,,43-46 Pre Yumba,Osvaldo Pugliese,Aniceto Rossi,"Enrique Alessio, Osvaldo Ruggiero, Esteban Gilardi, Alberto Armengol","Enrique Camerano, Julio Carrasco, Jaime Tursky","Piano, Bass, 4 Bandoneons, 3 Violins",LP,Edición Aniversario 1905-2005,,Edicion Aniversario
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica,1943-10-21,Qué Bien Te Queda,Cómo Has Cambiado,Tango,Roberto Chanel,Odeón,78rpm,13289,,Vicente Salerno,Juan Mazzaroni,,43-46 Pre Yumba,Osvaldo Pugliese,Aniceto Rossi,"Enrique Alessio, Osvaldo Ruggiero, Esteban Gilardi, Alberto Armengol","Enrique Camerano, Julio Carrasco, Jaime Tursky","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica,1944-03-31,Recuerdo,,Tango,Instrumental,Odeón,78rpm,13685,,Osvaldo Pugliese,Eduardo Moreno,,43-46 Pre Yumba,Osvaldo Pugliese,Aniceto Rossi,"Enrique Alessio, Osvaldo Ruggiero, Esteban Gilardi, Alberto Armengol","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky","Piano, Bass, 4 Bandoneons, 4 Violins",LP,Recuerdo,A,Recuerdo
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica,1944-03-31,Silbar de Boyero,,Tango,Roberto Chanel,Odeón,78rpm,13680,,David Barberis,José Bazán,,43-46 Pre Yumba,Osvaldo Pugliese,Aniceto Rossi,"Enrique Alessio, Osvaldo Ruggiero, Esteban Gilardi, Alberto Armengol","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky","Piano, Bass, 4 Bandoneons, 4 Violins",,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica,1944-06-01,El Remate,,Tango,Instrumental,Odeón,78rpm,13819,,Alberto Pugliese,,,43-46 Pre Yumba,Osvaldo Pugliese,Aniceto Rossi,"Enrique Alessio, Osvaldo Ruggiero, Esteban Gilardi, Alberto Armengol","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky","Piano, Bass, 4 Bandoneons, 4 Violins",,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica,1944-06-01,Tortazos,,Milonga,Roberto Chanel,Odeón,78rpm,13818,,José Razzano,Enrique Maroni,,43-46 Pre Yumba,Osvaldo Pugliese,Aniceto Rossi,"Enrique Alessio, Osvaldo Ruggiero, Esteban Gilardi, Alberto Armengol","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky","Piano, Bass, 4 Bandoneons, 4 Violins",LP,Noches de San Telmo,A,Noches De San Telmo
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica,1944-07-06,Tierra Querida,,Tango,Instrumental,Odeón,78rpm,13924,,Julio De Caro,Luis Díaz,,43-46 Pre Yumba,Osvaldo Pugliese,Aniceto Rossi,"Enrique Alessio, Osvaldo Ruggiero, Esteban Gilardi, Alberto Armengol","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky","Piano, Bass, 4 Bandoneons, 4 Violins",,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica,1944-07-06,El Día de Tu Ausencia,,Tango,Roberto Chanel,Odeón,78rpm,13923,,Argentino Galván,Manuel Arcos,,43-46 Pre Yumba,Osvaldo Pugliese,Aniceto Rossi,"Enrique Alessio, Osvaldo Ruggiero, Esteban Gilardi, Alberto Armengol","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky","Piano, Bass, 4 Bandoneons, 4 Violins",,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica,1944-07-20,La Abandoné y No Sabía,,Tango,Roberto Chanel,Odeón,78rpm,13958,,José Canet,José Canet,,43-46 Pre Yumba,Osvaldo Pugliese,Aniceto Rossi,"Enrique Alessio, Osvaldo Ruggiero, Esteban Gilardi, Alberto Armengol","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky","Piano, Bass, 4 Bandoneons, 4 Violins",,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica,1944-07-20,Tu Casa Ya No Está,,Vals,Roberto Chanel,Odeón,78rpm,13957,,Virgilio Expósito,Homero Expósito,,43-46 Pre Yumba,Osvaldo Pugliese,Aniceto Rossi,"Enrique Alessio, Osvaldo Ruggiero, Esteban Gilardi, Alberto Armengol","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky","Piano, Bass, 4 Bandoneons, 4 Violins",,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica,1944-08-22,El Arranque,,Tango,Instrumental,Odeón,78rpm,14040,,Julio De Caro,Mario Gomila,,43-46 Pre Yumba,Osvaldo Pugliese,Aniceto Rossi,"Enrique Alessio, Osvaldo Ruggiero, Esteban Gilardi, Alberto Armengol","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky","Piano, Bass, 4 Bandoneons, 4 Violins",,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica,1944-08-22,El Tango Es una Historia,,Tango,Roberto Chanel,Odeón,78rpm,14039,,Roberto Chanel,Reinaldo Yiso,,43-46 Pre Yumba,Osvaldo Pugliese,Aniceto Rossi,"Enrique Alessio, Osvaldo Ruggiero, Esteban Gilardi, Alberto Armengol","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky","Piano, Bass, 4 Bandoneons, 4 Violins",LP,Edición Aniversario 1905-2005,,Edicion Aniversario
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica,1944-10-17,Adiós Bardi,,Tango,Instrumental,Odeón,78rpm,14165,,Osvaldo Pugliese,,,43-46 Pre Yumba,Osvaldo Pugliese,Aniceto Rossi,"Osvaldo Ruggiero, Jose Caldara, Esteban Gilardi, Oscar Castagniaro","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky","Piano, Bass, 4 Bandoneons, 4 Violins",LP,Edición Aniversario 1905-2005,,Edicion Aniversario
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica,1944-10-17,Corrientes y Esmeralda,,Tango,Roberto Chanel,Odeón,78rpm,14166,,Francisco Pracánico,Celedonio Flores,,43-46 Pre Yumba,Osvaldo Pugliese,Aniceto Rossi,"Osvaldo Ruggiero, Jose Caldara, Esteban Gilardi, Oscar Castagniaro","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky","Piano, Bass, 4 Bandoneons, 4 Violins",LP,Noches de San Telmo,A,Noches De San Telmo
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica,1944-11-24,Amurado,,Tango,Instrumental,Odeón,78rpm,14240,,"Pedro Maffía, Pedro Laurenz",José De Grandis,,43-46 Pre Yumba,Osvaldo Pugliese,Aniceto Rossi,"Osvaldo Ruggiero, Jose Caldara, Esteban Gilardi, Oscar Castagniaro","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky","Piano, Bass, 4 Bandoneons, 4 Violins",LP,Edición Aniversario 1905-2005,,Edicion Aniversario
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica,1944-11-24,Nada Más Que un Corazón,,Tango,Roberto Chanel,Odeón,78rpm,14241,,Manuel Sucher,Carlos Bahr,,43-46 Pre Yumba,Osvaldo Pugliese,Aniceto Rossi,"Osvaldo Ruggiero, Jose Caldara, Esteban Gilardi, Oscar Castagniaro","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky","Piano, Bass, 4 Bandoneons, 4 Violins",LP,Noches de San Telmo,B,Noches De San Telmo
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica,1944-12-21,Mala Pinta,Mala Estampa,Tango,Instrumental,Odeón,78rpm,14332,,"Francisco De Caro, Julio De Caro",,,43-46 Pre Yumba,Osvaldo Pugliese,Aniceto Rossi,"Osvaldo Ruggiero, Jose Caldara, Esteban Gilardi, Oscar Castagniaro","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky","Piano, Bass, 4 Bandoneons, 4 Violins",,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica,1944-12-21,Puentecito de Mi Río,,Vals,Roberto Chanel,Odeón,78rpm,14331,,"Antonio Tormo, Manuel Canales",Buenaventura Luna,,43-46 Pre Yumba,Osvaldo Pugliese,Aniceto Rossi,"Osvaldo Ruggiero, Jose Caldara, Esteban Gilardi, Oscar Castagniaro","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky","Piano, Bass, 4 Bandoneons, 4 Violins",,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica,1945-01-25,Raza Criolla,El Taita,Tango,Instrumental,Odeón,78rpm,14416,,Salvador Grupillo,,,43-46 Pre Yumba,Osvaldo Pugliese,Aniceto Rossi,"Osvaldo Ruggiero, Jose Caldara, Esteban Gilardi, Oscar Castagniaro","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky","Piano, Bass, 4 Bandoneons, 4 Violins",,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica,1945-01-25,Yuyo Verde,Callejón,Tango,Alberto Morán,Odeón,78rpm,14415,,Domingo Federico,Homero Expósito,,43-46 Pre Yumba,Osvaldo Pugliese,Aniceto Rossi,"Osvaldo Ruggiero, Jose Caldara, Esteban Gilardi, Oscar Castagniaro","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky","Piano, Bass, 4 Bandoneons, 4 Violins",LP,Edición Aniversario 1905-2005,,Edicion Aniversario
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica,1945-03-20,El Paladín,,Tango,Instrumental,Odeón,78rpm,14490,,Agustín Bardi,,,43-46 Pre Yumba,Osvaldo Pugliese,Aniceto Rossi,"Osvaldo Ruggiero, Jose Caldara, Esteban Gilardi, Oscar Castagniaro","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky","Piano, Bass, 4 Bandoneons, 4 Violins",,,,
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica,1945-03-22,El Sueño del Pibe,,Tango,Roberto Chanel,Odeón,78rpm,14498,,Juan Puey,Reinaldo Yiso,,43-46 Pre Yumba,Osvaldo Pugliese,Aniceto Rossi,"Osvaldo Ruggiero, Jose Caldara, Esteban Gilardi, Oscar Castagniaro","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky","Piano, Bass, 4 Bandoneons, 4 Violins",LP,Noches de San Telmo,B,Noches De San Telmo
Osvaldo Pugliese,Osvaldo Pugliese y su Orquesta Típica,1945-05-28,Derecho Viejo,,Tango,Instrumental,Odeón,78rpm,14647,,Eduardo Arolas,Gabriel Clausi,,43-46 Pre Yumba,Osvaldo Pugliese,Aniceto Rossi,"Osvaldo Ruggiero, Jose Caldara, Esteban Gilardi, Oscar Castagniaro","Enrique Camerano, Julio Carrasco, Oscar Herrero, Jaime Tursky","Piano, Bass, 4 Bandoneons, 4 Violins",LP,Edición Aniversario 1905-2005,,Edicion Aniversario
