Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Otros Aires,Otros Aires,2004,Sin Rumbo,,Tango,Miguel Di Génova,Unión de Músicos Independientes,Digital,,,Miguel Di Génova,Miguel Di Génova,,2004 Otros Aires,,,,,,,,,
Otros Aires,Otros Aires,2004,Percanta,,Tango,Miguel Di Génova,Unión de Músicos Independientes,Digital,,,Miguel Di Génova,Miguel Di Génova,,2004 Otros Aires,,,,,,,,,
Otros Aires,Otros Aires,2004,La Pampa Seca,,Tango,Miguel Di Génova,Unión de Músicos Independientes,Digital,,,Miguel Di Génova,Miguel Di Génova,,2004 Otros Aires,,,,,,,,,
Otros Aires,Otros Aires,2004,Barrio de Tango,,Tango,Miguel Di Génova,Unión de Músicos Independientes,Digital,,,Aníbal Troilo,Homero Manzi,,2004 Otros Aires,,,,,,,,,
Otros Aires,Otros Aires,2004,Milonga Sentimental,,Milonga,Miguel Di Génova,Unión de Músicos Independientes,Digital,,,Sebastián Piana,Homero Manzi,,2004 Otros Aires,,,,,,,,,
Otros Aires,Otros Aires,2004,Aquel Muchacho Bueno,,Tango,Miguel Di Génova,Unión de Músicos Independientes,Digital,,,Miguel Di Génova,Miguel Di Génova,,2004 Otros Aires,,,,,,,,,
Otros Aires,Otros Aires,2004,Rotos en el Raval,,Tango,Miguel Di Génova,Unión de Músicos Independientes,Digital,,,Miguel Di Génova,Miguel Di Génova,,2004 Otros Aires,,,,,,,,,
Otros Aires,Otros Aires,2004,De Puro Curda,,Tango,Miguel Di Génova,Unión de Músicos Independientes,Digital,,,Carlos Olmedo,Abel Aznar,,2004 Otros Aires,,,,,,,,,
Otros Aires,Otros Aires,2004,Amor Que Se Baila,,Tango,Miguel Di Génova,Unión de Músicos Independientes,Digital,,,Miguel Di Génova,Miguel Di Génova,,2004 Otros Aires,,,,,,,,,
Otros Aires,Otros Aires,2004,En Dirección a Mi Casa,,Tango,Miguel Di Génova,Unión de Músicos Independientes,Digital,,,Miguel Di Génova,Miguel Di Génova,,2004 Otros Aires,,,,,,,,,
Otros Aires,Otros Aires,2007,Allerdings Otros Aires,,Tango,Miguel Di Génova,Unión de Músicos Independientes,Digital,,,Miguel Di Génova; Diego Ramos; Omar Massa,,,2007 Dos,,,,,,,,,
Otros Aires,Otros Aires,2007,Otro Puente Alsina,,Tango,Miguel Di Génova,Unión de Músicos Independientes,Digital,,,Miguel Di Génova,Miguel Di Génova,,2007 Dos,,,,,,,,,
