Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Pedro Laurenz,Pedro Laurenz y Pedro Maffia,1925-07-03,Buen Amigo,,Tango,Instrumental,Víctor,Acoustic,,,Julio De Caro,Juan Catán,,25-26 Duos,,,"Pedro Laurenz, Pedro Maffia",,2 Bandoneons,,,,
Pedro Laurenz,Pedro Laurenz y Pedro Maffia,1925-07-03,Julián,,Tango,Instrumental,Víctor,Acoustic,,,Edgardo Donato,José Panizza,,25-26 Duos,,,"Pedro Laurenz, Pedro Maffia",,2 Bandoneons,,,,
Pedro Laurenz,Pedro Laurenz y Pedro Maffia,1925-07-03,Sonsa,,Tango,Instrumental,Víctor,Acoustic,,,Raúl De Los Hoyos,Emilio Fresedo,,25-26 Duos,,,"Pedro Laurenz, Pedro Maffia",,2 Bandoneons,,,,
Pedro Laurenz,Pedro Laurenz y Pedro Maffia,1926-07-07,La Cumparsita,Si Supieras,Tango,Instrumental,Víctor,Acoustic,,,Gerardo Rodríguez,"Pascual Contursi, Enrique Maroni, Gerardo Rodríguez",,25-26 Duos,,,"Pedro Laurenz, Pedro Maffia",,2 Bandoneons,LP,¿Te Acuerdas ... Que Tangos Aquellos! - Vol. 1,A,¿Te Acuerdas ... Que Tangos Aquellos! - Vol. 1
Pedro Laurenz,Pedro Laurenz y Pedro Maffia,1926-07-07,Pura Maña,,Tango,Instrumental,Víctor,Acoustic,,,Pedro Maffía,,,25-26 Duos,,,"Pedro Laurenz, Pedro Maffia",,2 Bandoneons,,,,
Pedro Laurenz,Pedro Laurenz y Pedro Maffia,1926-11-24,Allá en el Bajo,,Tango,Instrumental,Víctor,78rpm,,,"Agustín Magaldi, Pedro Noda","Ismael Aguilar, Gerónimo Massa",,25-26 Duos,,,"Pedro Laurenz, Pedro Maffia",,2 Bandoneons,,,,
Pedro Laurenz,Pedro Laurenz y Pedro Maffia,1926-11-24,Mocosita,,Tango,Instrumental,Víctor,78rpm,,,Gerardo Rodríguez,Víctor Soliño,,25-26 Duos,,,"Pedro Laurenz, Pedro Maffia",,2 Bandoneons,,,,
Pedro Laurenz,Pedro Laurenz y Pedro Maffia,1926-11-24,Negro,,Tango,Instrumental,Víctor,78rpm,,,Adolfo Mondino,Víctor Soliño,,25-26 Duos,,,"Pedro Laurenz, Pedro Maffia",,2 Bandoneons,,,,
Pedro Laurenz,Pedro Laurenz y Pedro Maffia,1926-11-24,Pato,,Tango,Instrumental,Víctor,78rpm,,,Ramón Collazo,Ramón Collazo,,25-26 Duos,,,"Pedro Laurenz, Pedro Maffia",,2 Bandoneons,,,,
Pedro Laurenz,Pedro Laurenz y Armando Blasco,1926,Lazos de Seda,,Tango,Instrumental,Víctor,78rpm,BAVE-1074,79792-A,Antonio Tanturi,,,25-26 Duos,,,"Pedro Laurenz, Armando Blasco",,,,,,
Pedro Laurenz,Pedro Laurenz y Armando Blasco,1926,Guardia Vieja,,Tango,Instrumental,Víctor,78rpm,BAVE-1075,79792-A,Julio De Caro,,,25-26 Duos,,,"Pedro Laurenz, Armando Blasco",,,,,,
Pedro Laurenz,Pedro Laurenz,1937-07-14,Milonga de Mis Amores,,Milonga,Héctor Farrel,Víctor,78rpm,93815,38236-A,Pedro Laurenz,José Contursi,Héctor Grané,37-43 Víctor,Héctor Grané,Alberto Celenza,"Pedro Laurenz, Armando Blasco, Miguel Jurado, Rolando Gavioli","Mauricio Misé, Milo Dojman, Francisco Oréfice","Piano, Bass, 4 Bandoneons, 3 Violins",LP,Pedro Laurenz Interpreta a Pedro Laurenz,B,Pedro Laurenz Interpreta a Pedro Laurenz
Pedro Laurenz,Pedro Laurenz,1937-07-14,Enamorado,,Tango,Héctor Farrel,Víctor,78rpm,93814,38236-B,Pedro Laurenz,Pedro Laurenz,Héctor Grané,37-43 Víctor,Héctor Grané,Alberto Celenza,"Pedro Laurenz, Armando Blasco, Miguel Jurado, Rolando Gavioli","Mauricio Misé, Milo Dojman, Francisco Oréfice","Piano, Bass, 4 Bandoneons, 3 Violins",LP,Pedro Laurenz Interpreta a Pedro Laurenz,B,Pedro Laurenz Interpreta a Pedro Laurenz
Pedro Laurenz,Pedro Laurenz,1937-09-24,Arrabal,,Tango,Instrumental,Víctor,78rpm,93913,38284-A,José Pascual,,Héctor Grané,37-43 Víctor,Héctor Grané,Alberto Celenza,"Pedro Laurenz, Armando Blasco, Miguel Jurado, Rolando Gavioli","Mauricio Misé, Miguel Jurado, Francisco Oréfice","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Pedro Laurenz,Pedro Laurenz,1937-09-24,Abandono,Amarguras,Tango,Héctor Farrel,Víctor,78rpm,93914,38284-B,Pedro Maffía,Homero Manzi,Héctor Grané,37-43 Víctor,Héctor Grané,Alberto Celenza,"Pedro Laurenz, Armando Blasco, Miguel Jurado, Rolando Gavioli","Mauricio Misé, Miguel Jurado, Francisco Oréfice","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Pedro Laurenz,Pedro Laurenz,1938-05-12,Vieja Amiga,,Tango,Juan Carlos Casas,Víctor,78rpm,12272,38460-A,Pedro Laurenz,José Contursi,Héctor Grané,37-43 Víctor,Héctor Grané,Alberto Celenza,"Pedro Laurenz, Armando Blasco, Miguel Jurado, Rolando Gavioli","Mauricio Misé, Miguel Jurado, Francisco Oréfice","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Pedro Laurenz,Pedro Laurenz,1938-05-12,Milonga Compadre,,Milonga,Juan Carlos Casas,Víctor,78rpm,12273,38460-B,José Mastro,Carlos Bahr,Héctor Grané,37-43 Víctor,Héctor Grané,Alberto Celenza,"Pedro Laurenz, Armando Blasco, Miguel Jurado, Rolando Gavioli","Mauricio Misé, Miguel Jurado, Francisco Oréfice","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Pedro Laurenz,Pedro Laurenz,1940-01-25,De Puro Guapo,,Tango,Juan Carlos Casas,Víctor,78rpm,39190,38917-A,Pedro Laurenz,Manuel Meaños,Héctor Grané,37-43 Víctor,Héctor Grané,Alberto Celenza,"Pedro Laurenz, Ángel Domínguez, Armando Brunini, Rolando Gavioli","Mauricio Misé, Milo Dojman, Francisco Oréfice","Piano, Bass, 4 Bandoneons, 3 Violins",LP,Pedro Laurenz Interpreta a Pedro Laurenz,B,Pedro Laurenz Interpreta a Pedro Laurenz
Pedro Laurenz,Pedro Laurenz,1940-01-25,No Me Extraña,,Tango,Juan Carlos Casas,Víctor,78rpm,39189,38917-B,"Alberto Celenza, Antonio Romano",Carlos Bahr,Héctor Grané,37-43 Víctor,Héctor Grané,Alberto Celenza,"Pedro Laurenz, Ángel Domínguez, Armando Brunini, Rolando Gavioli","Mauricio Misé, Milo Dojman, Francisco Oréfice","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Pedro Laurenz,Pedro Laurenz,1940-02-21,Desconsuelo,,Tango,Juan Carlos Casas,Víctor,78rpm,39222,38927-A,Héctor Artola,Carlos Bahr,Héctor Grané,37-43 Víctor,Héctor Grané,Alberto Celenza,"Pedro Laurenz, Ángel Domínguez, Armando Brunini, Rolando Gavioli","Mauricio Misé, Milo Dojman, Francisco Oréfice","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Pedro Laurenz,Pedro Laurenz,1940-02-21,Mascarita,,Vals,Juan Carlos Casas,Víctor,78rpm,39221,38927-B,Pedro Laurenz,Enrique Cadícamo,Héctor Grané,37-43 Víctor,Héctor Grané,Alberto Celenza,"Pedro Laurenz, Ángel Domínguez, Armando Brunini, Rolando Gavioli","Mauricio Misé, Milo Dojman, Francisco Oréfice","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Pedro Laurenz,Pedro Laurenz,1940-06-28,Como Dos Extraños,,Tango,Juan Carlos Casas,Víctor,78rpm,39342,39016-A,Pedro Laurenz,José Contursi,Héctor Grané,37-43 Víctor,Héctor Grané,Alberto Celenza,"Pedro Laurenz, Ángel Domínguez, Armando Brunini, Rolando Gavioli","Mauricio Misé, Milo Dojman, Francisco Oréfice","Piano, Bass, 4 Bandoneons, 3 Violins",LP,Pedro Laurenz Interpreta a Pedro Laurenz,A,Pedro Laurenz Interpreta a Pedro Laurenz
Pedro Laurenz,Pedro Laurenz,1940-06-28,Milonga de Mi Flor,,Milonga,Juan Carlos Casas,Víctor,78rpm,39341,39016-B,Feliciano Brunelli,Carlos Bahr,Héctor Grané,37-43 Víctor,Héctor Grané,Alberto Celenza,"Pedro Laurenz, Ángel Domínguez, Armando Brunini, Rolando Gavioli","Mauricio Misé, Milo Dojman, Francisco Oréfice","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Pedro Laurenz,Pedro Laurenz,1940-07-29,Amurado,,Tango,Juan Carlos Casas,Víctor,78rpm,39411,39045-A,"Pedro Maffía, Pedro Laurenz",José De Grandis,Héctor Grané,37-43 Víctor,Héctor Grané,Alberto Celenza,"Pedro Laurenz, Ángel Domínguez, Armando Brunini, Rolando Gavioli","Mauricio Misé, Milo Dojman, Francisco Oréfice","Piano, Bass, 4 Bandoneons, 3 Violins",LP,Pedro Laurenz Interpreta a Pedro Laurenz,B,Pedro Laurenz Interpreta a Pedro Laurenz
Pedro Laurenz,Pedro Laurenz,1940-07-29,Improvisando,,Milonga,Juan Carlos Casas,Víctor,78rpm,39412,39045-B,Pedro Laurenz,Enrique Cadícamo,Héctor Grané,37-43 Víctor,Héctor Grané,Alberto Celenza,"Pedro Laurenz, Ángel Domínguez, Armando Brunini, Rolando Gavioli","Mauricio Misé, Milo Dojman, Francisco Oréfice","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Pedro Laurenz,Pedro Laurenz,1941-09-05,Orgullo Criollo,,Tango,Instrumental,Víctor,78rpm,59760,39401-A,"Pedro Laurenz, Julio De Caro",,Héctor Grané,37-43 Víctor,Héctor Grané,Alberto Celenza,"Pedro Laurenz, Ángel Domínguez, Armando Brunini, Rolando Gavioli","Mauricio Misé, Milo Dojman, Francisco Oréfice","Piano, Bass, 4 Bandoneons, 3 Violins",LP,Pedro Laurenz Interpreta a Pedro Laurenz,A,Pedro Laurenz Interpreta a Pedro Laurenz
Pedro Laurenz,Pedro Laurenz,1941-09-05,La Vida Es una Milonga,,Milonga,Martín Podestá,Víctor,78rpm,59761,39401-B,Fernando Montoni,Rodolfo Sciammarella,Héctor Grané,37-43 Víctor,Héctor Grané,Alberto Celenza,"Pedro Laurenz, Ángel Domínguez, Armando Brunini, Rolando Gavioli","Mauricio Misé, Milo Dojman, Francisco Oréfice","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Pedro Laurenz,Pedro Laurenz,1941-12-02,Quedate Tranquilo,,Tango,Martín Podestá,Víctor,78rpm,59900,39480-A,Luis Rubistein,Luis Rubistein,Héctor Grané,37-43 Víctor,Héctor Grané,Alberto Celenza,"Pedro Laurenz, Ángel Domínguez, Armando Brunini, Rolando Gavioli","Mauricio Misé, Milo Dojman, Francisco Oréfice","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Pedro Laurenz,Pedro Laurenz,1941-12-02,Poca Suerte,,Tango,Instrumental,Víctor,78rpm,59901,39480-B,Vicente Demarco,,Héctor Grané,37-43 Víctor,Héctor Grané,Alberto Celenza,"Pedro Laurenz, Ángel Domínguez, Armando Brunini, Rolando Gavioli","Mauricio Misé, Milo Dojman, Francisco Oréfice","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Pedro Laurenz,Pedro Laurenz,1942-01-07,Al Verla Pasar,,Tango,Martín Podestá,Víctor,78rpm,59986,39493-A,Joaquín Mora,José Contursi,Héctor Grané,37-43 Víctor,Héctor Grané,Alberto Celenza,"Pedro Laurenz, Ángel Domínguez, Armando Brunini, Rolando Gavioli","Mauricio Misé, Milo Dojman, Francisco Oréfice","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Pedro Laurenz,Pedro Laurenz,1942-01-07,Flores del Alma,,Vals,Martín Podestá,Víctor,78rpm,59971,39493-B,Juan Larenza,"Alfredo Palacios, Lito Bayardo",Héctor Grané,37-43 Víctor,Héctor Grané,Alberto Celenza,"Pedro Laurenz, Ángel Domínguez, Armando Brunini, Rolando Gavioli","Mauricio Misé, Milo Dojman, Francisco Oréfice","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Pedro Laurenz,Pedro Laurenz,1942-03-31,Es Mejor Perdonar,,Tango,Alberto Del Campo,Víctor,78rpm,69637,39566-A,Pedro Laurenz,José Contursi,Héctor Grané,37-43 Víctor,Héctor Grané,Alberto Celenza,"Pedro Laurenz, Ángel Domínguez, Armando Brunini, Rolando Gavioli","Mauricio Misé, Milo Dojman, Francisco Oréfice","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Pedro Laurenz,Pedro Laurenz,1942-03-31,Caserón de Tejas,,Vals,Alberto Del Campo,Víctor,78rpm,69638,39566-B,Sebastián Piana,Cátulo Castillo,Héctor Grané,37-43 Víctor,Héctor Grané,Alberto Celenza,"Pedro Laurenz, Ángel Domínguez, Armando Brunini, Rolando Gavioli","Mauricio Misé, Milo Dojman, Francisco Oréfice","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Pedro Laurenz,Pedro Laurenz,1942-06-16,Corazón Encadenado,,Tango,Juan Carlos Casas,Víctor,78rpm,69763,39635-A,Francisco Canaro,Ivo Pelay,Héctor Grané,37-43 Víctor,Héctor Grané,Alberto Celenza,"Pedro Laurenz, Ángel Domínguez, Armando Brunini, Rolando Gavioli","Mauricio Misé, Milo Dojman, Francisco Oréfice","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Pedro Laurenz,Pedro Laurenz,1942-06-16,Taconeando,,Tango,Juan Carlos Casas,Víctor,78rpm,69764,39635-B,Pedro Maffía,José Staffolani,Héctor Grané,37-43 Víctor,Héctor Grané,Alberto Celenza,"Pedro Laurenz, Ángel Domínguez, Armando Brunini, Rolando Gavioli","Mauricio Misé, Milo Dojman, Francisco Oréfice","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Pedro Laurenz,Pedro Laurenz,1942-10-20,A Mí Dejáme en Mi Barrio,,Tango,Juan Carlos Casas,Víctor,78rpm,84011,39765-A,Francisco Amor,Francisco Amor,Héctor Grané,37-43 Víctor,Héctor Grané,Alberto Celenza,"Pedro Laurenz, Ángel Domínguez, Armando Brunini, Rolando Gavioli","Mauricio Misé, Milo Dojman, Francisco Oréfice","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
Pedro Laurenz,Pedro Laurenz,1942-10-20,Chatero de Aquel Entonces,,Milonga,Juan Carlos Casas,Víctor,78rpm,84012,39765-B,Julián Ortiz,Luis Mejías,Héctor Grané,37-43 Víctor,Héctor Grané,Alberto Celenza,"Pedro Laurenz, Ángel Domínguez, Armando Brunini, Rolando Gavioli","Mauricio Misé, Milo Dojman, Francisco Oréfice","Piano, Bass, 4 Bandoneons, 3 Violins",,,,
