Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup
Pedro Maffia,Pedro Maffia y De Franco,1917-11-15,Cotorrita de la Suerte,,Tango,Instrumental,,,,,Alfredo De Franco,José De Grandis,,17-27 Duo,,,"Pedro Maffia, Alfredo De Franco",,2 Bandoneons
Pedro Maffia,Pedro Maffia y De Franco,1927-07-20,Amurado,,Tango,Instrumental,,,,,"Pedro Maffía, Pedro Laurenz",José De Grandis,,17-27 Duo,,,"Pedro Maffia, Alfredo De Franco",,2 Bandoneons
Pedro Maffia,Pedro Maffia y De Franco,1927-07-20,Diablito,,Tango,Instrumental,,,,,Pedro Maffía,"Ismael Aguilar, Gerónimo Massa",,17-27 Duo,,,"Pedro Maffia, Alfredo De Franco",,2 Bandoneons
Pedro Maffia,Orquesta Pedro Maffia,1929,Adiós Amigo,,Tango,Instrumental,Brunswick,78rpm,414,1412-A,Genaro Gatto,Genaro Barthe,,29-30 Pugliese Piano,Osvaldo Pugliese,Francisco De Lorenzo,"Pedro Maffia, Alfredo De Franco","Elvino Vardaro, Emilio Puglisi, Carlos Campanone, Nerón Ferrazano (Cello)","Piano, Bass, 2 Bandoneons, 3 Violins, Cello"
Pedro Maffia,Orquesta Pedro Maffia,1929,Carpincho,,Tango,Instrumental,Brunswick,78rpm,417,1413-A,José Cousani,Jose Cousani,,29-30 Pugliese Piano,Osvaldo Pugliese,Francisco De Lorenzo,"Pedro Maffia, Alfredo De Franco","Elvino Vardaro, Emilio Puglisi, Carlos Campanone, Nerón Ferrazano (Cello)","Piano, Bass, 2 Bandoneons, 3 Violins, Cello"
Pedro Maffia,Orquesta Pedro Maffia,1929-06-22,El Rechifle,,Tango,Instrumental,Brunswick,78rpm,47,1402-A,Alfredo De Franco,Alfredo De Franco,,29-30 Pugliese Piano,Osvaldo Pugliese,Francisco De Lorenzo,"Pedro Maffia, Alfredo De Franco","Elvino Vardaro, Emilio Puglisi, J. Campagnonio","Piano, Bass, 2 Bandoneons, 3 Violins"
Pedro Maffia,Orquesta Pedro Maffia,1929-06-22,Juventud,,Tango,Instrumental,Brunswick,78rpm,44,1402-B,Osvaldo Pugliese,Eduardo Moreno,,29-30 Pugliese Piano,Osvaldo Pugliese,Francisco De Lorenzo,"Pedro Maffia, Alfredo De Franco","Elvino Vardaro, Emilio Puglisi, J. Campagnonio","Piano, Bass, 2 Bandoneons, 3 Violins"
Pedro Maffia,Orquesta Pedro Maffia,1929-06-22,Piba Boba,,Tango,Instrumental,Brunswick,78rpm,42,1401-A,Pedro Maffía,José Staffolani,,29-30 Pugliese Piano,Osvaldo Pugliese,Francisco De Lorenzo,"Pedro Maffia, Alfredo De Franco","Elvino Vardaro, Emilio Puglisi, J. Campagnonio","Piano, Bass, 2 Bandoneons, 3 Violins"
Pedro Maffia,Orquesta Pedro Maffia,1929-06-22,Por Qué Llorás Mujer,,Vals,Instrumental,Brunswick,78rpm,46,1401-B,Alfredo De Franco,Alberto De Franco,,29-30 Pugliese Piano,Osvaldo Pugliese,Francisco De Lorenzo,"Pedro Maffia, Alfredo De Franco","Elvino Vardaro, Emilio Puglisi, J. Campagnonio","Piano, Bass, 2 Bandoneons, 3 Violins"
Pedro Maffia,Orquesta Pedro Maffia,1929-08-05,Consejo de Amigo,,Tango,Instrumental,Brunswick,78rpm,128,1403-B,Luis Bernstein,Luis Bernstein,,29-30 Pugliese Piano,Osvaldo Pugliese,Francisco De Lorenzo,"Pedro Maffia, Alfredo De Franco","Elvino Vardaro, Emilio Puglisi, J. Campagnonio","Piano, Bass, 2 Bandoneons, 3 Violins"
