Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Quinteto Criollo Carelli,"Quinteto Criollo ""Carelli""",1913,Besos de Fuego,,Vals,Instrumental,Atlanta,Acoustic,,762,Silvestre Arturo Carelli,,,,,,,,,,,,
Quinteto Criollo Carelli,"Quinteto Criollo ""Carelli""",1913,Comadrona,,Polca,Instrumental,Atlanta,Acoustic,710z,761,Silvestre Arturo Carelli,,,,,,,,,,,,
Quinteto Criollo Carelli,"Quinteto Criollo ""Carelli""",1913,El Camote,,Tango,Instrumental,Atlanta,Acoustic,,762,Silvestre Arturo Carelli,,,,,,,,,,,,
Quinteto Criollo Carelli,"Quinteto Criollo ""Carelli""",1913,El Guapo,,Tango,Instrumental,Atlanta,Acoustic,718z,755,Silvestre Arturo Carelli,,,,,,,,,,,,
Quinteto Criollo Carelli,"Quinteto Criollo ""Carelli""",1913,El Julepe,,Tango,Instrumental,Atlanta,Acoustic,700z,761,Silvestre Arturo Carelli,,,,,,,,,,,,
Quinteto Criollo Carelli,"Quinteto Criollo ""Carelli""",1913,El Matungo,,Tango,Instrumental,Atlanta,Acoustic,,758,Silvestre Arturo Carelli,,,,,,,,,,,,
Quinteto Criollo Carelli,"Quinteto Criollo ""Carelli""",1913,El Oso Blanco,,Tango,Instrumental,Atlanta,Acoustic,,754,Silvestre Arturo Carelli,,,,,,,,,,,,
Quinteto Criollo Carelli,"Quinteto Criollo ""Carelli""",1913,El Satiro,,Tango,Instrumental,Atlanta,Acoustic,772z,759,Silvestre Arturo Carelli,,,,,,,,,,,,
Quinteto Criollo Carelli,"Quinteto Criollo ""Carelli""",1913,El Si,,Schottisch,Instrumental,Atlanta,Acoustic,,754,Silvestre Arturo Carelli,,,,,,,,,,,,
Quinteto Criollo Carelli,"Quinteto Criollo ""Carelli""",1913,El Veterano,,Polca Marcha,Instrumental,Atlanta,Acoustic,,756,Silvestre Arturo Carelli,,,,,,,,,,,,
Quinteto Criollo Carelli,"Quinteto Criollo ""Carelli""",1913,Flor Argentina,,Schottisch,Instrumental,Atlanta,Acoustic,705z,760,Silvestre Arturo Carelli,,,,,,,,,,,,
Quinteto Criollo Carelli,"Quinteto Criollo ""Carelli""",1913,Flor y Truco,,Tango,Instrumental,Atlanta,Acoustic,,757,Silvestre Arturo Carelli,,,,,,,,,,,,
Quinteto Criollo Carelli,"Quinteto Criollo ""Carelli""",1913,Hasta Luego,,Tango,Instrumental,Atlanta,Acoustic,714z,756,Silvestre Arturo Carelli,,,,,,,,,,,,
Quinteto Criollo Carelli,"Quinteto Criollo ""Carelli""",1913,Irigoyen,,Tango,Instrumental,Atlanta,Acoustic,,753,Silvestre Arturo Carelli,,,,,,,,,,,,
Quinteto Criollo Carelli,"Quinteto Criollo ""Carelli""",1913,Ismene,,Mazurca,Instrumental,Atlanta,Acoustic,,757,Silvestre Arturo Carelli,,,,,,,,,,,,
Quinteto Criollo Carelli,"Quinteto Criollo ""Carelli""",1913,Juventud Democratica,,Polca,Instrumental,Atlanta,Acoustic,,759,Silvestre Arturo Carelli,,,,,,,,,,,,
Quinteto Criollo Carelli,"Quinteto Criollo ""Carelli""",1913,Nelida,,Mazurca,Instrumental,Atlanta,Acoustic,712z,753,Silvestre Arturo Carelli,,,,,,,,,,,,
Quinteto Criollo Carelli,"Quinteto Criollo ""Carelli""",1913,Pensamiento Argentino,,Vals,Instrumental,Atlanta,Acoustic,719z,755,Silvestre Arturo Carelli,,,,,,,,,,,,
Quinteto Criollo Carelli,"Quinteto Criollo ""Carelli""",1913,Rasca Rabia,,Tango,Instrumental,Atlanta,Acoustic,704z,760,Silvestre Arturo Carelli,,,,,,,,,,,,
Quinteto Criollo Carelli,"Quinteto Criollo ""Carelli""",1913,Triunfo de Amor,,Vals,Instrumental,Atlanta,Acoustic,702z,758,Silvestre Arturo Carelli,,,,,,,,,,,,
