Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Rafael Canaro,"Orquesta Típica Argentina ""Ambassador"" (dir. Rafael Canaro)",1928,Alhaja Falsa,,Tango,Rafael Canaro,Homocord,78rpm,TC 913,A 6616,Salvador Merico,Salvador Merico,,,,,,,,,,,
Rafael Canaro,"Orquesta Típica Argentina ""Ambassador"" (dir. Rafael Canaro)",1928,El Carrerito,,Tango,Luis Mandarino,Homocord,78rpm,TC 936,4-3103,Raúl Joaquín de los Hoyos,,,,,,,,,,,,
Rafael Canaro,"Orquesta Típica Argentina ""Ambassador"" (dir. Rafael Canaro)",1928,Fierro Chifle,,Tango,Instrumental,Homocord,78rpm,TC 917,A 6615,César De Pardo,Benjamin Tagle Lara,,,,,,,,,,,
Rafael Canaro,"Orquesta Típica Argentina ""Ambassador"" (dir. Rafael Canaro)",1928,Lamento Criollo,,Tango,Instrumental,Homocord,78rpm,,,Fioravanti Di Cicco,,,,,,,,,,,,
Rafael Canaro,"Orquesta Típica Argentina ""Ambassador"" (dir. Rafael Canaro)",1928,Piedad,,Tango,Luis Mandarino,Homocord,78rpm,18980,4-3098,Carlos Percuoco,,,,,,,,,,,,
Rafael Canaro,"Orquesta Típica Argentina ""Ambassador"" (dir. Rafael Canaro)",1928,Pinta Brava,,Tango,Instrumental,Homocord,78rpm,TC 912,4-3098,Charlo,Mario Battistella,,,,,,,,,,,
Rafael Canaro,"Orquesta Típica Argentina ""Ambassador"" (dir. Rafael Canaro)",1928,Señor Comisario,,Tango,Rafael Canaro,Homocord,78rpm,TC 950,A 6615,Humberto Canaro,Juan Andrés Caruso,,,,,,,,,,,
Rafael Canaro,"Orquesta Típica Argentina ""Ambassador"" (dir. Rafael Canaro)",1928,Vieja Milonga,,Tango,Instrumental,Homocord,78rpm,TC 935,4-3103,Samuel Castriota,,,,,,,,,,,,
Rafael Canaro,Rafael Canaro y su Orquesta Argentina,1929,Alma en Pena,,Tango,Carlos Dante,Regal,78rpm,,,Anselmo Aieta,Francisco Garcia Jimenez,,,,,,,,,,,
Rafael Canaro,Rafael Canaro y su Orquesta Argentina,1929,Caminito,,Tango,"Rafael Canaro, Carlos Dante",Regal,78rpm,,,Juan de Dios Filiberto,Gabino Coria Peñaloza,,,,,,,,,,,
