Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Ramiro Boero,Ramiro Boero - Juan Pablo Gallardo - Manuel Gómez,2008,Quinquela,,Tango,Instrumental,EPSA Music,CD,,,,,,2008 Tangología,Juan Pablo Gallardo,Manuel Gómez,Ramiro Boero,,,,,,
Ramiro Boero,Ramiro Boero - Juan Pablo Gallardo - Manuel Gómez,2008,Fortunato,,Tango,Instrumental,EPSA Music,CD,,,,,,2008 Tangología,Juan Pablo Gallardo,Manuel Gómez,Ramiro Boero,,,,,,
Ramiro Boero,Ramiro Boero - Juan Pablo Gallardo - Manuel Gómez,2008,Desiderio,,Tango,Instrumental,EPSA Music,CD,,,,,,2008 Tangología,Juan Pablo Gallardo,Manuel Gómez,Ramiro Boero,,,,,,
Ramiro Boero,Ramiro Boero - Juan Pablo Gallardo - Manuel Gómez,2008,La Cachila,,Tango,Instrumental,EPSA Music,CD,,,Eduardo Arolas,,,2008 Tangología,Juan Pablo Gallardo,Manuel Gómez,Ramiro Boero,,,,,,
Ramiro Boero,Ramiro Boero - Juan Pablo Gallardo - Manuel Gómez,2008,Berretín,,Tango,Instrumental,EPSA Music,CD,,,Pedro Laurenz,,,2008 Tangología,Juan Pablo Gallardo,Manuel Gómez,Ramiro Boero,,,,,,
Ramiro Boero,Ramiro Boero - Juan Pablo Gallardo - Manuel Gómez,2008,Someday My Prince Will Come,,,Instrumental,EPSA Music,CD,,,Frank Churchill,Larry Morey,,2008 Tangología,Juan Pablo Gallardo,Manuel Gómez,Ramiro Boero,,,,,,
Ramiro Boero,Ramiro Boero - Juan Pablo Gallardo - Manuel Gómez,2008,Contrapopeando,,Tango,Instrumental,EPSA Music,CD,,,,,,2008 Tangología,Juan Pablo Gallardo,Manuel Gómez,Ramiro Boero,,,,,,
Ramiro Boero,Ramiro Boero - Juan Pablo Gallardo - Manuel Gómez,2008,Del Bajo Fondo,,Tango,Instrumental,EPSA Music,CD,,,,,,2008 Tangología,Juan Pablo Gallardo,Manuel Gómez,Ramiro Boero,,,,,,
Ramiro Boero,Ramiro Boero - Juan Pablo Gallardo - Manuel Gómez,2008,Tango a Hermeto,,Tango,Instrumental,EPSA Music,CD,,,,,,2008 Tangología,Juan Pablo Gallardo,Manuel Gómez,Ramiro Boero,,,,,,
Ramiro Boero,Ramiro Boero - Juan Pablo Gallardo - Manuel Gómez,2008,Amurado,,Tango,Instrumental,EPSA Music,CD,,,Pedro Maffia; Pedro Laurenz,José De Grandis,,2008 Tangología,Juan Pablo Gallardo,Manuel Gómez,Ramiro Boero,,,,,,
