Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup
Ricardo Malerba,Orquesta Ricardo Malerba,1941-09-25,Noches de Montmartre,,Tango,Orlando Medina,Odeón,,11454,5550-A,Manuel Pizarro,Carlos Lenzi,,41-45 Shellac,Dante Smurra,Francisco De Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,1941-09-25,Salí del Paso Manolo,,Milonga,Orlando Medina,Odeón,,11455,5550-B,Héctor Marcó,Héctor Marcó,,41-45 Shellac,Dante Smurra,Francisco De Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,1942-10-05,Gitana Rusa,,Tango,Orlando Medina,Odeón,,12274,5551-A,Juan Gorio,Horacio Sanguinetti,,41-45 Shellac,Dante Smurra,Francisco De Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,1942-10-05,Mariana,,Milonga,Orlando Medina,Odeón,,12275,5551-B,"Ricardo Malerba, Francisco Caso",Homero Manzi,,41-45 Shellac,Dante Smurra,Francisco De Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,1942-11-19,Ninguna,,Tango,Orlando Medina,Odeón,,12416,5552-B,Raúl Siro,Homero Manzi,,41-45 Shellac,Dante Smurra,Francisco De Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,1942-11-19,Oiga Mozo,,Tango,Orlando Medina,Odeón,,12415,5552-A,Héctor Varela,Alberto Nery,,41-45 Shellac,Dante Smurra,Francisco De Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,1943-01-18,Corazón de Artista,,Vals,Instrumental,Odeón,,12487,5553-B,Pascual De Gullo,Francisco Gullo,,41-45 Shellac,Dante Smurra,Francisco De Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,1943-01-18,La Piba de los Jazmines,,Tango,Orlando Medina,Odeón,,12488,5553-A,"Ricardo Malerba, Dante Smurra",Julio Navarrine,,41-45 Shellac,Dante Smurra,Francisco De Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,1943-02-12,Embrujamiento,,Tango,Orlando Medina,Odeón,,12579,5554-A,"Ricardo Malerba, Dante Smurra",Manuel Campos,,41-45 Shellac,Dante Smurra,Francisco De Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
Ricardo Malerba,Orquesta Ricardo Malerba,1943-02-12,Remembranza,Remembranzas,Tango,Orlando Medina,Odeón,,12578,5554-B,Mario Melfi,Mario Battistella,,41-45 Shellac,Dante Smurra,Francisco De Vivo,"Atilio Cresta, Ricardo Pedevilla, Carlos Carlomagno, Benito Calver","Alfredo Láttero, Ernesto Gianni, Francisco Sanmartino, José López","Piano, Bass, 4 Bandoneons, 4 Violins"
