Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Ricardo Pedevilla,Ricardo Pedevilla y su Orquesta Típica,1950-11-03,El Pollo Ricardo,,Tango,Instrumental,Pampa,,MAI-103,PS-5009,,,,,,,,,,,,,
Ricardo Pedevilla,Ricardo Pedevilla y su Orquesta Típica,1950-11-03,Y Mientes Todavía,,Tango,Oscar Serpa,Pampa,,MAI-104,PS-5009,Luciano Leocata,Abel Aznar,,,,,,,,,,,
Ricardo Pedevilla,Ricardo Pedevilla y su Orquesta Típica,1950-11-21,Cuidao con los 50,,Tango,Instrumental,Pampa,,MAI-123,PS-5017-B,Ángel Villoldo,"Carlos Pesce, Antonio Polito",,,,,,,,,,,
Ricardo Pedevilla,Ricardo Pedevilla y su Orquesta Típica,1950-11-21,Organito de la Tarde,,Tango,Instrumental,Pampa,,MAI-122,PS-5017-A,Cátulo Castillo,José González Castillo (Juan de León),,,,,,,,,,,
Ricardo Pedevilla,Ricardo Pedevilla y su Orquesta Típica,1950-11-28,El Amanecer,,Tango,Instrumental,Pampa,,MAI-124,PM-11019-B,Roberto Firpo,,,,,,,,,,,,
Ricardo Pedevilla,Ricardo Pedevilla y su Orquesta Típica,1950-11-28,Ventanita de Arrabal,,Tango,Oscar Serpa,Pampa,,MAI-125,PM-11019-A,Antonio Scatasso,Pascual Contursi,,,,,,,,,,,
Ricardo Pedevilla,Ricardo Pedevilla y su Orquesta Típica,1950-12-27,El Cachafaz,,Tango,Instrumental,Pampa,,MAI-174,11035-B,Manuel Gregorio Aróztegui,,,,,,,,,,,,
Ricardo Pedevilla,Ricardo Pedevilla y su Orquesta Típica,1950-12-27,El Estagiario,,Tango,Instrumental,Pampa,,MAI-172,PS-5012-B,Martín Lasala Álvarez,Martín Lasala Álvarez,,,,,,,,,,,
Ricardo Pedevilla,Ricardo Pedevilla y su Orquesta Típica,1950-12-27,Marianito,,Tango,Instrumental,Pampa,,MAI-173,PM-11044-B,Domingo Salerno,,,,,,,,,,,,
Ricardo Pedevilla,Ricardo Pedevilla y su Orquesta Típica,1950-12-27,Precio,,Tango,Oscar Serpa,Pampa,,MAI-175,PS-5012-A,,,,,,,,,,,,,
Ricardo Pedevilla,Ricardo Pedevilla y su Orquesta Típica,1951-09-03,Mascotita de Marfil,,Vals,Luis Omar Zunino,Pampa,,MAI-349,PM-11044-A,"Juan Pedro Castillo, Rafael Francisco Giovinazzo",Alfredo Faustino Roldán,,,,,,,,,,,
Ricardo Pedevilla,Ricardo Pedevilla y su Orquesta Típica,1951-09-03,Nueve Puntos,,Tango,Instrumental,Pampa,,MAI-346,14013,Francisco Canaro,,,,,,,,,,,,
Ricardo Pedevilla,Ricardo Pedevilla y su Orquesta Típica,1951-09-03,Tus Palabras y la Noche,,Tango,Mario D'Elía,Pampa,,MAI-348,11035-A,,,,,,,,,,,,,
Ricardo Pedevilla,Ricardo Pedevilla y su Orquesta Típica,1951-09-03,Y Siempre Pasa Igual,,Tango,Mario D'Elía,Pampa,,MAI-347,14013,Ricardo Pedevilla,,,,,,,,,,,,
Ricardo Pedevilla,Ricardo Pedevilla y su Orquesta Típica,1951-12-05,El Caburé,,Tango,Instrumental,Pampa,,MAI-514,PM-14023,Arturo De Bassi,,,,,,,,,,,,
Ricardo Pedevilla,Ricardo Pedevilla y su Orquesta Típica,1951-12-05,Para que Vivir Así,,Tango,Luis Omar Zunino,Pampa,,MAI-512,14029,Luciano Leocata,Reinaldo Yiso,,,,,,,,,,,
Ricardo Pedevilla,Ricardo Pedevilla y su Orquesta Típica,1951-12-05,Siete Palabras,,Tango,Instrumental,Pampa,,MAI-513,14029,Juan Félix Maglio,Alfredo Bigeschi,,,,,,,,,,,
Ricardo Pedevilla,Ricardo Pedevilla y su Orquesta Típica,1951-12-05,Vida Mía,,Tango,Mario D'Elía,Pampa,,MAI-511,PM-14023,Osvaldo Fresedo,Emilio Augusto Oscar Fresedo,,,,,,,,,,,
Ricardo Pedevilla,Ricardo Pedevilla y su Orquesta Típica,1952-06-05,A Bailarlo,,Tango,Instrumental,Pampa,,MAI-679,14035,,,,,,,,,,,,,
Ricardo Pedevilla,Ricardo Pedevilla y su Orquesta Típica,1952-06-05,Misa de Once,,Tango,Jorge Ortiz,Pampa,,MAI-680,14035,,,,,,,,,,,,,
Ricardo Pedevilla,Ricardo Pedevilla y su Orquesta Típica,1952-12-05,Para Ella,,Tango,Instrumental,Pampa,,MAI-929,14047,,,,,,,,,,,,,
Ricardo Pedevilla,Ricardo Pedevilla y su Orquesta Típica,1952-12-05,Patria,,Milonga,Hugo Del Valle,Pampa,,MAI-930,14047,Tradicional,,,,,,,,,,,,
Ricardo Pedevilla,Ricardo Pedevilla y su Orquesta Típica,1953-10-06,"Adiós, Adiós",,Vals,Hugo Del Valle,Pampa,,MAI-1257,5025,,,,,,,,,,,,,
Ricardo Pedevilla,Ricardo Pedevilla y su Orquesta Típica,1953-10-06,El Incendio,,Tango,Instrumental,Pampa,,MAI-1256,5025,Arturo De Bassi,,,,,,,,,,,,
