Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,1937-06-23,Tierrita,,Tango,Instrumental,Odeón,78rpm,9077,7130,Agustín Bardi,,,37-38 Odeón,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido","Piano, Bass, 5 Bandoneons, 4 Violins"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,1937-06-23,A la Luz del Candil,,Tango,Carlos Ortega,Odeón,78rpm,9078,7130,Carlos Flores,Julio Navarrine,,37-38 Odeón,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido","Piano, Bass, 5 Bandoneons, 4 Violins"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,1938-06-09,Gallo Ciego,,Tango,Instrumental,Odeón,78rpm,9443,7131,Agustín Bardi,,,37-38 Odeón,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido","Piano, Bass, 5 Bandoneons, 4 Violins"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,1938-06-09,Carrasco,,,Carlos Ortega,Odeón,78rpm,9442,7131,,,,37-38 Odeón,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido","Piano, Bass, 5 Bandoneons, 4 Violins"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,1940-11-18,La Cumparsita,Si Supieras,Tango,Instrumental,Víctor,78rpm,39643,39147,Gerardo Rodríguez,"Pascual Contursi, Enrique Maroni, Gerardo Rodríguez",,40-43 Castillo,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido","Piano, Bass, 5 Bandoneons, 4 Violins"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,1940-11-18,Argañaraz,Aquellas Farras,Tango,Instrumental,Víctor,78rpm,39644,39147,Roberto Firpo,Enrique Cadícamo,,40-43 Castillo,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido","Piano, Bass, 5 Bandoneons, 4 Violins"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,1941-01-08,El Buey Solo,,Tango,Instrumental,Víctor,78rpm,39738,39204,Agustín Bardi,,,40-43 Castillo,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido","Piano, Bass, 5 Bandoneons, 4 Violins"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,1941-01-08,Recuerdo,,Vals,Alberto Castillo,Víctor,78rpm,39739,39204,Alfredo Pelaia,Alfredo Pelaia,,40-43 Castillo,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido","Piano, Bass, 5 Bandoneons, 4 Violins"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,1941-02-19,La Vida Es Corta,,Tango,Alberto Castillo,Víctor,78rpm,39812,39228,Ricardo Tanturi,Francisco Gorrindo,,40-43 Castillo,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido","Piano, Bass, 5 Bandoneons, 4 Violins"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,1941-02-19,Mozo Guapo,,Milonga,Alberto Castillo,Víctor,78rpm,39813,39228,Ricardo Tanturi,Eusebio López,,40-43 Castillo,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido","Piano, Bass, 5 Bandoneons, 4 Violins"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,1941-02-06,Una Noche de Garufa,,Tango,Instrumental,Víctor,78rpm,39868,39285,Eduardo Arolas,Gabriel Clausi,,40-43 Castillo,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido","Piano, Bass, 5 Bandoneons, 4 Violins"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,1941-05-06,La Serenata,Mi Amor,Vals,Alberto Castillo,Víctor,78rpm,39869,39285,Vicente Salerno,Samuel Aguayo,,40-43 Castillo,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido","Piano, Bass, 5 Bandoneons, 4 Violins"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,1941-06-16,Comparsa Criolla,,Tango,Instrumental,Víctor,78rpm,59519,39316,Rafael Iriarte,,,40-43 Castillo,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido","Piano, Bass, 5 Bandoneons, 4 Violins"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,1941-06-16,Pocas Palabras,,Tango,Alberto Castillo,Víctor,78rpm,59520,39316,Ricardo Tanturi,Enrique Cadícamo,,40-43 Castillo,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido","Piano, Bass, 5 Bandoneons, 4 Violins"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,1941-07-07,Lágrimas,,Tango,Instrumental,Víctor,78rpm,59599,39338,Eduardo Arolas,Héctor Polito,,40-43 Castillo,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido","Piano, Bass, 5 Bandoneons, 4 Violins"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,1941-11-14,Mi Romance,,Vals,Alberto Castillo,Víctor,78rpm,59560,39338,José Iglesias,Juan Gatti,,40-43 Castillo,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido","Piano, Bass, 5 Bandoneons, 4 Violins"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,1941-08-14,Noches de Colón,,Tango,Alberto Castillo,Víctor,78rpm,59714,39377,Raúl Hoyos,Roberto Cayol,,40-43 Castillo,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido","Piano, Bass, 5 Bandoneons, 4 Violins"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,1941-08-14,Adiós Pueblo,,Tango,Instrumental,Víctor,78rpm,59715,39377,Agustín Bardi,José Grandis,,40-43 Castillo,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido","Piano, Bass, 5 Bandoneons, 4 Violins"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,1941-09-18,Di Di,,Tango,Instrumental,Víctor,78rpm,59788,39408,Roberto Firpo,,,40-43 Castillo,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido","Piano, Bass, 5 Bandoneons, 4 Violins"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,1941-09-18,Mi Morocha,,Milonga,Alberto Castillo,Víctor,78rpm,59789,39408,Emilio Aguirre,Enrique Dizeo,,40-43 Castillo,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido","Piano, Bass, 5 Bandoneons, 4 Violins"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,1941-11-27,La Huella,,Tango,Instrumental,Víctor,78rpm,59896,39476,Manuel Villanueva,Enrique Cadícamo,,40-43 Castillo,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido","Piano, Bass, 5 Bandoneons, 4 Violins"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,1941-11-27,El Moro,,Tango,Alberto Castillo,Víctor,78rpm,59897,39476,"Carlos Gardel, José Razzano","Carlos Gardel, José Razzano",,40-43 Castillo,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido","Piano, Bass, 5 Bandoneons, 4 Violins"
Ricardo Tanturi,Orquesta Típica Ricardo Tanturi,1941-12-23,Recuerdo Malevo,,Tango,Alberto Castillo,Víctor,78rpm,59961,39494,Carlos Gardel,Alfredo Pera,,40-43 Castillo,Armando Posada,Enzo Raschelli,"Francisco Ferraro, Raúl Iglesias, Héctor Gondre, Juan Saettone, Emilio Aguirre","Vicente Salerno, Armando Husso, Norberto Guzmán, Alberto Taido","Piano, Bass, 5 Bandoneons, 4 Violins"
