Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Roberto Caló,Orquesta Roberto Caló,1951,Cualquier Cosa,,Tango,Carlos Roldán,Orfeo,,,,"Herminia De Rossano, Juan Velich","Herminia De Rossano, Juan Velich",,,"Osvaldo Berlingieri, Osvaldo Tarantino",Enrique Marchetto,"Eduardo Rovira, Edelmiro D'Amario, Celso Amato, Eliseo Marchese, Ernesto Franco","Leo Lipesker, Raúl Garcés, Alberto Besprován, Szymsia Bajour, Simón Broitman","Piano, Bass, 5 Bandoneons, 5 Violins",,,,
Roberto Caló,Orquesta Roberto Caló,1951,El Metejón,,Tango,Oscar Larroca,Orfeo,,,,Roberto Goyeneche,Florencio Chiarello,,,"Osvaldo Berlingieri, Osvaldo Tarantino",Enrique Marchetto,"Eduardo Rovira, Edelmiro D'Amario, Celso Amato, Eliseo Marchese, Ernesto Franco","Leo Lipesker, Raúl Garcés, Alberto Besprován, Szymsia Bajour, Simón Broitman","Piano, Bass, 5 Bandoneons, 5 Violins",,,,
Roberto Caló,Orquesta Roberto Caló,1951,La Catrera,,Tango,Instrumental,Orfeo,,,,Arturo De Bassi,,,,"Osvaldo Berlingieri, Osvaldo Tarantino",Enrique Marchetto,"Eduardo Rovira, Edelmiro D'Amario, Celso Amato, Eliseo Marchese, Ernesto Franco","Leo Lipesker, Raúl Garcés, Alberto Besprován, Szymsia Bajour, Simón Broitman","Piano, Bass, 5 Bandoneons, 5 Violins",,,,
Roberto Caló,Orquesta Roberto Caló,1951,La Cumparsita,Si Supieras,Tango,Instrumental,Orfeo,,,,Gerardo Rodríguez,"Pascual Contursi, Enrique Maroni, Gerardo Rodríguez",,,"Osvaldo Berlingieri, Osvaldo Tarantino",Enrique Marchetto,"Eduardo Rovira, Edelmiro D'Amario, Celso Amato, Eliseo Marchese, Ernesto Franco","Leo Lipesker, Raúl Garcés, Alberto Besprován, Szymsia Bajour, Simón Broitman","Piano, Bass, 5 Bandoneons, 5 Violins",,,,
Roberto Caló,Orquesta Roberto Caló,1951,La Tablada,,Tango,Instrumental,Orfeo,,,,Francisco Canaro,,,,"Osvaldo Berlingieri, Osvaldo Tarantino",Enrique Marchetto,"Eduardo Rovira, Edelmiro D'Amario, Celso Amato, Eliseo Marchese, Ernesto Franco","Leo Lipesker, Raúl Garcés, Alberto Besprován, Szymsia Bajour, Simón Broitman","Piano, Bass, 5 Bandoneons, 5 Violins",,,,
Roberto Caló,Orquesta Roberto Caló,1951,Selección de Tangos de Aníbal Troilo,,Tango,Instrumental,Orfeo,,,,,,,,"Osvaldo Berlingieri, Osvaldo Tarantino",Enrique Marchetto,"Eduardo Rovira, Edelmiro D'Amario, Celso Amato, Eliseo Marchese, Ernesto Franco","Leo Lipesker, Raúl Garcés, Alberto Besprován, Szymsia Bajour, Simón Broitman","Piano, Bass, 5 Bandoneons, 5 Violins",,,,
Roberto Caló,Orquesta Roberto Caló,1951,Victoria,,Tango,Carlos Roldán,Orfeo,,,,Enrique Discépolo,Enrique Discépolo,,,"Osvaldo Berlingieri, Osvaldo Tarantino",Enrique Marchetto,"Eduardo Rovira, Edelmiro D'Amario, Celso Amato, Eliseo Marchese, Ernesto Franco","Leo Lipesker, Raúl Garcés, Alberto Besprován, Szymsia Bajour, Simón Broitman","Piano, Bass, 5 Bandoneons, 5 Violins",,,,
Roberto Caló,Orquesta Roberto Caló,1951,Zorro Gris,,Tango,Carlos Rivera,Orfeo,,,,Rafael Tuegols,Francisco Jiménez,,,"Osvaldo Berlingieri, Osvaldo Tarantino",Enrique Marchetto,"Eduardo Rovira, Edelmiro D'Amario, Celso Amato, Eliseo Marchese, Ernesto Franco","Leo Lipesker, Raúl Garcés, Alberto Besprován, Szymsia Bajour, Simón Broitman","Piano, Bass, 5 Bandoneons, 5 Violins",,,,
Roberto Caló,Orquesta Roberto Caló,1952,Después que Te Perdí,,Tango,Alberto Santillán,Orfeo,,,,"Roberto Caló, Ernesto Franco",Horacio Sanguinetti,,,"Osvaldo Berlingieri, Osvaldo Tarantino",Enrique Marchetto,"Eduardo Rovira, Edelmiro D'Amario, Celso Amato, Eliseo Marchese, Ernesto Franco","Leo Lipesker, Raúl Garcés, Alberto Besprován, Szymsia Bajour, Simón Broitman","Piano, Bass, 5 Bandoneons, 5 Violins",,,,
Roberto Caló,Orquesta Roberto Caló,1952,La Cachila,,Tango,Instrumental,Orfeo,,,,Eduardo Arolas,Héctor Polito,,,"Osvaldo Berlingieri, Osvaldo Tarantino",Enrique Marchetto,"Eduardo Rovira, Edelmiro D'Amario, Celso Amato, Eliseo Marchese, Ernesto Franco","Leo Lipesker, Raúl Garcés, Alberto Besprován, Szymsia Bajour, Simón Broitman","Piano, Bass, 5 Bandoneons, 5 Violins",,,,
