Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup
Roberto Firpo,Orquesta Argentina Roberto Firpo,1914,Alma de Bohemio,,Tango,Instrumental,,Acoustic,,,Roberto Firpo,Juan Caruso,,14-25 Acoustic,Roberto Firpo,Leopoldo Thompson,"Eduardo Arolas, Bachicha","Tito Roccatagliata, Agesilao Ferrazzano","Piano, Bass, 2 Bandoneons, 2 Violins"
Roberto Firpo,Orquesta Típica Criolla,1914,Argañaraz,Aquellas Farras,Tango,Orquesta Típica Criolla,,Acoustic,,,Roberto Firpo,Enrique Cadícamo,,14-25 Acoustic,Roberto Firpo,Leopoldo Thompson,"Eduardo Arolas, Bachicha","Tito Roccatagliata, Agesilao Ferrazzano","Piano, Bass, 2 Bandoneons, 2 Violins"
Roberto Firpo,Orquesta Roberto Firpo,1914,Champagne Tango,,Tango,Instrumental,,Acoustic,,,Manuel Aróztegui,,,14-25 Acoustic,Roberto Firpo,Leopoldo Thompson,"Eduardo Arolas, Bachicha","Tito Roccatagliata, Agesilao Ferrazzano","Piano, Bass, 2 Bandoneons, 2 Violins"
Roberto Firpo,Orquesta Típica Criolla,1914,Curda Completa,,Tango,Orquesta Típica Criolla,,Acoustic,,,Roberto Firpo,,,14-25 Acoustic,Roberto Firpo,Leopoldo Thompson,"Eduardo Arolas, Bachicha","Tito Roccatagliata, Agesilao Ferrazzano","Piano, Bass, 2 Bandoneons, 2 Violins"
Roberto Firpo,Orquesta Típica Criolla,1914,El Flete,,Tango,Orquesta Típica Criolla,,Acoustic,,,Vicente Greco,Gerónimo Gradito,,14-25 Acoustic,Roberto Firpo,Leopoldo Thompson,"Eduardo Arolas, Bachicha","Tito Roccatagliata, Agesilao Ferrazzano","Piano, Bass, 2 Bandoneons, 2 Violins"
Roberto Firpo,Orquesta Roberto Firpo,1914,Los Guevara,,Tango,Instrumental,,Acoustic,,,Roberto Firpo,,,14-25 Acoustic,Roberto Firpo,Leopoldo Thompson,"Eduardo Arolas, Bachicha","Tito Roccatagliata, Agesilao Ferrazzano","Piano, Bass, 2 Bandoneons, 2 Violins"
Roberto Firpo,Roberto Firpo Solo,1914,Marejada,,Tango,Instrumental,,Acoustic,,,Roberto Firpo,Daniel Barreto,,14-25 Acoustic,Roberto Firpo,,,,Piano
Roberto Firpo,Orquesta Roberto Firpo,1916,Ando Pato,,Tango,Instrumental,,Acoustic,,,Juan Maglio,Eugenio Cárdenas,,14-25 Acoustic,Roberto Firpo,Leopoldo Thompson,"Eduardo Arolas, Bachicha","Tito Roccatagliata, Agesilao Ferrazzano, Pedro Festa","Piano, Bass, 2 Bandoneons, 3 Violins"
Roberto Firpo,Orquesta Roberto Firpo,1916,Barógrafo,,Tango,Instrumental,,Acoustic,,,Roberto Firpo,,,14-25 Acoustic,Roberto Firpo,Leopoldo Thompson,"Eduardo Arolas, Bachicha","Tito Roccatagliata, Agesilao Ferrazzano, Pedro Festa","Piano, Bass, 2 Bandoneons, 3 Violins"
Roberto Firpo,Orquesta Roberto Firpo,1916,De Mi Flor,,Tango,Instrumental,,Acoustic,,,Roberto Firpo,,,14-25 Acoustic,Roberto Firpo,Leopoldo Thompson,"Eduardo Arolas, Bachicha","Tito Roccatagliata, Agesilao Ferrazzano, Pedro Festa","Piano, Bass, 2 Bandoneons, 3 Violins"
