Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Rodolfo Biagi,,8/22/1927,El Carretón,,Estilo,Instrumental,Víctor,,1398,79917,José Servidio,,,27 Solo,Rodolfo Biagi,,,,,,,,
Rodolfo Biagi,Rodolfo Biagi,8/22/1927,Cruz Diablo,,Tango,Instrumental,Víctor,78rpm,1397,79917,Rodolfo Biagi,,,27 Solo,Rodolfo Biagi,,,,Piano,,,,
Rodolfo Biagi,Rodolfo Biagi y su Orquesta Típica,8/15/1938,Gólgota,,Tango,Teófilo Ibáñez,Odeón,78rpm,9585,5600,Rodolfo Biagi,Francisco Gorrindo,,38-43 Ibanez Falgas Ortiz Lago,Rodolfo Biagi,Donato Calabrese,"Alfredo Attadía, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio González, Oscar De La Fuente","Piano, Bass, 3 Bandoneons, 3 Violins",LP,En El Recuedo,B,En El Recuedo
Rodolfo Biagi,Rodolfo Biagi y su Orquesta Típica,8/15/1938,El Incendio,,Tango,Instrumental,Odeón,78rpm,9586,5600,Arturo De Bassi,,,38-43 Ibanez Falgas Ortiz Lago,Rodolfo Biagi,Donato Calabrese,"Alfredo Attadía, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio González, Oscar De La Fuente","Piano, Bass, 3 Bandoneons, 3 Violins",,,,
Rodolfo Biagi,Rodolfo Biagi y su Orquesta Típica,10/17/1938,Unión Cívica,,Tango,Instrumental,Odeón,78rpm,9672,5601,Domingo Cruz,,,38-43 Ibanez Falgas Ortiz Lago,Rodolfo Biagi,Donato Calabrese,"Alfredo Attadía, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio González, Oscar De La Fuente","Piano, Bass, 3 Bandoneons, 3 Violins",LP,D'Arienzo - Biagi - (1936-1938),B,D'Arienzo - Biagi - (1936-1938)
Rodolfo Biagi,Rodolfo Biagi y su Orquesta Típica,10/17/1938,Viejo Portón,,Vals,Teófilo Ibáñez,Odeón,78rpm,9673,5601,Héctor Palacios,Máximo Orsi,,38-43 Ibanez Falgas Ortiz Lago,Rodolfo Biagi,Donato Calabrese,"Alfredo Attadía, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio González, Oscar De La Fuente","Piano, Bass, 3 Bandoneons, 3 Violins",LP,Canción De Rango,A,Canción De Rango
Rodolfo Biagi,Rodolfo Biagi y su Orquesta Típica,11/15/1938,El Trece,El 13,Tango,Instrumental,Odeón,78rpm,9713,5602-A,Alberico Spátola,Ángel Villoldo,,38-43 Ibanez Falgas Ortiz Lago,Rodolfo Biagi,Donato Calabrese,"Alfredo Attadía, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio González, Oscar De La Fuente","Piano, Bass, 3 Bandoneons, 3 Violins",,,,
Rodolfo Biagi,Rodolfo Biagi y su Orquesta Típica,11/15/1938,Loca de Amor,,Vals,Teófilo Ibáñez,Odeón,78rpm,9714,5602,Enrique Caviglia,Ricardo Podestá,,38-43 Ibanez Falgas Ortiz Lago,Rodolfo Biagi,Donato Calabrese,"Alfredo Attadía, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio González, Oscar De La Fuente","Piano, Bass, 3 Bandoneons, 3 Violins",LP,El Inconfundible Ritmo De... Rodolfo Biagi,A,El Inconfundible Ritmo De... Rodolfo Biagi
Rodolfo Biagi,Rodolfo Biagi y su Orquesta Típica,12/2/1938,Una Pena,,Tango,Teófilo Ibáñez,Odeón,78rpm,9745,5603,Adolfo Rosquellas,Arturo Albert,,38-43 Ibanez Falgas Ortiz Lago,Rodolfo Biagi,Donato Calabrese,"Alfredo Attadía, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio González, Oscar De La Fuente","Piano, Bass, 3 Bandoneons, 3 Violins",LP,Los Cantores De Rodolfo Biagi Vol. 5,A,Los Cantores De Rodolfo Biagi Vol. 5
Rodolfo Biagi,Rodolfo Biagi y su Orquesta Típica,12/2/1938,Lejos de Ti,,Vals,Teófilo Ibáñez,Odeón,78rpm,9744,5603,Mauricio Saiovich,Manuel Meaños,,38-43 Ibanez Falgas Ortiz Lago,Rodolfo Biagi,Donato Calabrese,"Alfredo Attadía, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio González, Oscar De La Fuente","Piano, Bass, 3 Bandoneons, 3 Violins",,,,
Rodolfo Biagi,Rodolfo Biagi y su Orquesta Típica,3/24/1939,La Maleva,La Mala,Tango,Instrumental,Odeón,78rpm,9834,5604,Antonio Buglione,Mario Pardo,,38-43 Ibanez Falgas Ortiz Lago,Rodolfo Biagi,Donato Calabrese,"Alfredo Attadía, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio González, Oscar De La Fuente","Piano, Bass, 3 Bandoneons, 3 Violins",,,,
Rodolfo Biagi,Rodolfo Biagi y su Orquesta Típica,3/24/1939,Alma de Bohemio,,Tango,Teófilo Ibáñez,Odeón,78rpm,9833,5604,Roberto Firpo,Juan Caruso,,38-43 Ibanez Falgas Ortiz Lago,Rodolfo Biagi,Donato Calabrese,"Alfredo Attadía, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio González, Oscar De La Fuente","Piano, Bass, 3 Bandoneons, 3 Violins",LP,Los Indispensables De Biagi,A,Los Indispensables De Biagi
Rodolfo Biagi,Rodolfo Biagi y su Orquesta Típica,4/27/1939,Campo Afuera,,Milonga,Teófilo Ibáñez,Odeón,78rpm,9913,5605,Rodolfo Biagi,Homero Manzi,,38-43 Ibanez Falgas Ortiz Lago,Rodolfo Biagi,Donato Calabrese,"Alfredo Attadía, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio González, Oscar De La Fuente","Piano, Bass, 3 Bandoneons, 3 Violins",LP,En El Recuedo,A,En El Recuedo
Rodolfo Biagi,Rodolfo Biagi y su Orquesta Típica,4/27/1939,La Novena,,Tango,Teófilo Ibáñez,Odeón,78rpm,9914,5605,Miguel Bonano,Alfredo Bigeschi,,38-43 Ibanez Falgas Ortiz Lago,Rodolfo Biagi,Donato Calabrese,"Alfredo Attadía, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio González, Oscar De La Fuente","Piano, Bass, 3 Bandoneons, 3 Violins",LP,Los Indispensables De Biagi,B,Los Indispensables De Biagi
Rodolfo Biagi,Rodolfo Biagi y su Orquesta Típica,7/13/1939,Pura Clase,,Tango,Instrumental,Odeón,78rpm,10008,5606,Adolfo Rosquellas,,,38-43 Ibanez Falgas Ortiz Lago,Rodolfo Biagi,Donato Calabrese,"Alfredo Attadía, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio González, Oscar De La Fuente","Piano, Bass, 3 Bandoneons, 3 Violins",,,,
Rodolfo Biagi,Rodolfo Biagi y su Orquesta Típica,7/13/1939,Dichas Que Viví,,Vals,Andrés Falgás,Odeón,78rpm,10007,5606,José Lupi,Luis Lupi,,38-43 Ibanez Falgas Ortiz Lago,Rodolfo Biagi,Donato Calabrese,"Alfredo Attadía, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio González, Oscar De La Fuente","Piano, Bass, 3 Bandoneons, 3 Violins",LP,Canta Andres Falgas,B,Canta Andres Falgas
Rodolfo Biagi,Rodolfo Biagi y su Orquesta Típica,9/18/1939,El Rápido,,Tango,Instrumental,Odeón,78rpm,10092,5607,Roberto Firpo,,,38-43 Ibanez Falgas Ortiz Lago,Rodolfo Biagi,Donato Calabrese,"Alfredo Attadía, Miguel Bonano, Ricardo Pedevilla","Marcos Larrosa, Claudio González, Oscar De La Fuente","Piano, Bass, 3 Bandoneons, 3 Violins",,,,
