Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Rosita Quiroga,Guitarras,,Decime que Me Queres,,,Rosita Quiroga,,,,,>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>,,,,,,,,,,,,
Rosita Quiroga,Orquesta Típica Victor,,El Afilador,,,Rosita Quiroga,,,,,>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>,,,,,,,,,,,,
Rosita Quiroga,Orquesta Típica Victor,,El Pulpo,,,Rosita Quiroga,,,,,>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>,,,,,,,,,,,,
Rosita Quiroga,Orquesta Típica Victor,,La Confesion de Rosita,,,Rosita Quiroga,,,,,>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>,,,,,,,,,,,,
Rosita Quiroga,Orquesta Típica Victor,,Marieta,,,Rosita Quiroga,,,,,>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>,,,,,,,,,,,,
Rosita Quiroga,Orquesta Típica Victor,,Por un Cariño,,Tango,Rosita Quiroga,Víctor,,,1488,Lorenzo Torres Min,Gerardo Coll Jarque,,,,,,,,,,,
Rosita Quiroga,Orquesta Típica Victor,,Pum...garibaldi,,,Rosita Quiroga,,,,,>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>,,,,,,,,,,,,
Rosita Quiroga,Orquesta Típica Victor,,Radioescucha Numero Dos,,,Rosita Quiroga,,,,,>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>,,,,,,,,,,,,
Rosita Quiroga,Orquesta Típica Victor,,Radioescucha Numero Uno,,,Rosita Quiroga,,,,,>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>,,,,,,,,,,,,
Rosita Quiroga,Guitarras,1922-08-14,Siempre Criolla,,Estilo,Rosita Quiroga,Víctor,Acoustic,BA 114-1,73554-A,Clemente Guiol,Alfredo Villar Saenz Peña,,,,,,,,,,,
Rosita Quiroga,Guitarras,1922-11-06,Echando Buena,,Milonga,Rosita Quiroga,Víctor,Acoustic,BA 160-3,73706-B,Celedonio Esteban Flores,Celedonio Flores,,,,,,,,,,,
Rosita Quiroga,Guitarras,1922-11-06,Sentimiento Criollo,,Estilo,Rosita Quiroga,Víctor,Acoustic,BA 159-4,73706-A,Rosita Quiroga,,,,,,,,,,,,
Rosita Quiroga,Guitarras,1923,Desavenencia,,Vals,"Rosa del Carril, Rosita Quiroga",Víctor,Acoustic,,73917,Jose Maria Aguilar,,,,,,,,,,,,
Rosita Quiroga,Guitarras,1923,Paloma Mia,,Tango,"Rosa del Carril, Rosita Quiroga",Víctor,Acoustic,,73992,Sachi-J.M.Velich,,,,,,,,,,,,
Rosita Quiroga,,1923-01-15,La Tipa,,Tango,Rosita Quiroga,Víctor,Acoustic,BA 198-1,73771-A,Enrique Maciel,Enrique Pedro Maroni,,,,,,,,,,,
Rosita Quiroga,Guitarras,1923-01-15,Matrera,,Zamba,"Rosita Quiroga, Rosa del Carril",Víctor,Acoustic,BA 193-3,73771-B,Rosita Quiroga,Clemente Guiol,,,,,,,"Enrique Maciel (guitar), José María Aguilar (guitar)",,,,
Rosita Quiroga,Guitarras,1923-01-15,Me Abandonaste,,Canción,Rosita Quiroga,Víctor,Acoustic,BA 199-1,73857-A,Jose Maria Aguilar,Clemente Guiol,,,,,,,"Enrique Maciel (guitar), José María Aguilar (guitar)",,,,
Rosita Quiroga,Guitarras,1923-01-22,El Biguá,,Zamba,"Rosita Quiroga, Rosa del Carril",Víctor,Acoustic,BA 194-4,73785-A,Jose Maria Aguilar,,,,,,,,"José María Aguilar (guitar), Enrique Maciel (guitar)",,,,
Rosita Quiroga,Guitarras,1923-03-14,Añorando,,Tango,Rosita Quiroga,Víctor,Acoustic,BA 243-1,73917-A,Eduardo Pereyra,Benjamin Tagle Lara,,,,,,,"Enrique Maciel (guitar), José María Aguilar (guitar)",,,,
Rosita Quiroga,Guitarras,1923-03-14,Recordando,,Gato,Rosita Quiroga,Víctor,Acoustic,BA 244-1,77098-A,Jose Maria Aguilar,Domingo Nocera Netto,,,,,,,"José María Aguilar (guitar), Enrique Maciel (guitar)",,,,
Rosita Quiroga,Guitarras,1923-03-21,El Viejo Gladiador,,Canción,"Rosita Quiroga, Rosa del Carril",Víctor,Acoustic,BA 242-4,73857-B,Rosita Quiroga,Alcides de Maria,,,,,,,,,,,
Rosita Quiroga,Guitarras,1923-03-21,La Retrechera,,Zamba,"Rosita Quiroga, Rosa del Carril",Víctor,Acoustic,BA 247-2,77160-A,Enrique Maciel,,,,,,,,,,,,
