Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Sexteto Cristal,Sexteto Cristal,2018,Viento Norte,,Tango,Instrumental,,CD,,,,,,2018 Viento Del Norte,,,,,,,,,
Sexteto Cristal,Sexteto Cristal,2018,El Adiós,,Tango,Guillermo Rozenthuler,,CD,,,Maruja Pacheco Huergo,Virgilio San Clemente,,2018 Viento Del Norte,,,,,,,,,
Sexteto Cristal,Sexteto Cristal,2018,S.O.S.,,Tango,Guillermo Rozenthuler,,CD,,,,,,2018 Viento Del Norte,,,,,,,,,
Sexteto Cristal,Sexteto Cristal,2018,Después del Carnaval,,Tango,Guillermo Rozenthuler,,CD,,,,,,2018 Viento Del Norte,,,,,,,,,
Sexteto Cristal,Sexteto Cristal,2018,Cuando Florezcan los Rosales,Cuando Florescan los Rosales,Vals,Guillermo Rozenthuler,,CD,,,,,,2018 Viento Del Norte,,,,,,,,,
Sexteto Cristal,Sexteto Cristal,2018,Noches de Invierno,,Vals,Guillermo Rozenthuler,,CD,,,,,,2018 Viento Del Norte,,,,,,,,,
Sexteto Cristal,Sexteto Cristal,2018,Vals del Recuerdo,,Vals,Guillermo Rozenthuler,,CD,,,,,,2018 Viento Del Norte,,,,,,,,,
Sexteto Cristal,Sexteto Cristal,2018,Caricias,,Tango,Guillermo Rozenthuler,,CD,,,Juan Martí,Alfredo Bigeschi,,2018 Viento Del Norte,,,,,,,,,
Sexteto Cristal,Sexteto Cristal,2018,Mentira,,Tango,Guillermo Rozenthuler,,CD,,,Francisco Pracánico,Celedonio Flores,,2018 Viento Del Norte,,,,,,,,,
Sexteto Cristal,Sexteto Cristal,2018,El Recodo,,Tango,Instrumental,,CD,,,,,,2018 Viento Del Norte,,,,,,,,,
Sexteto Cristal,Sexteto Cristal,2018,Mi Vieja Linda,,Milonga,Guillermo Rozenthuler,,CD,,,,,,2018 Viento Del Norte,,,,,,,,,
Sexteto Cristal,Sexteto Cristal,2018,Flor de Montserrat,Flor de Monserrat,Milonga,Guillermo Rozenthuler,,CD,,,,,,2018 Viento Del Norte,,,,,,,,,
Sexteto Cristal,Sexteto Cristal,2019-12-01,No Te Apures Carablanca,,Tango,Guillermo Rozenthuler,recordJet,Digital,,,Roberto Garza,Carlos Bahr,,2019 Loca de Amor,,,,,,,,,
Sexteto Cristal,Sexteto Cristal,2019-12-01,Dos Fracasos,,Tango,Guillermo Rozenthuler,recordJet,Digital,,,,,,2019 Loca de Amor,,,,,,,,,
Sexteto Cristal,Sexteto Cristal,2019-12-01,Pavadita,,Tango,Instrumental,recordJet,Digital,,,Atilio Baliotti,,,2019 Loca de Amor,,,,,,,,,
Sexteto Cristal,Sexteto Cristal,2019-12-01,Ríe Payaso,,Tango,Guillermo Rozenthuler,recordJet,Digital,,,Virgilio Carmona,Emilio Falero,,2019 Loca de Amor,,,,,,,,,
Sexteto Cristal,Sexteto Cristal,2019-12-01,La Tapera,,,Guillermo Rozenthuler,recordJet,Digital,,,,,,2019 Loca de Amor,,,,,,,,,
Sexteto Cristal,Sexteto Cristal,2019-12-01,Lágrimas y Sonrisas,,Vals,Instrumental,recordJet,Digital,,,Pascual De Gullo,,,2019 Loca de Amor,,,,,,,,,
Sexteto Cristal,Sexteto Cristal,2019-12-01,La Loca de Amor,,,Instrumental,recordJet,Digital,,,,,,2019 Loca de Amor,,,,,,,,,
Sexteto Cristal,Sexteto Cristal,2019-12-01,Quién Será,,,Guillermo Rozenthuler,recordJet,Digital,,,,,,2019 Loca de Amor,,,,,,,,,
Sexteto Cristal,Sexteto Cristal,2019-12-01,El Amanecer,El Amanacer,Tango,Instrumental,recordJet,Digital,,,Roberto Firpo,,,2019 Loca de Amor,,,,,,,,,
Sexteto Cristal,Sexteto Cristal,2019-12-01,Siete Palabras,,Tango,Instrumental,recordJet,Digital,,,Juan Maglio,,,2019 Loca de Amor,,,,,,,,,
Sexteto Cristal,Sexteto Cristal,2019-12-01,Shusheta,,Tango,Instrumental,recordJet,Digital,,,Juan Carlos Cobián,Enrique Cadícamo,,2019 Loca de Amor,,,,,,,,,
Sexteto Cristal,Sexteto Cristal,2019-12-01,Cacareando,,Milonga,Instrumental,recordJet,Digital,,,,,,2019 Loca de Amor,,,,,,,,,
Sexteto Cristal,Sexteto Cristal,2019-12-01,La Vida Es una Milonga,,Milonga,Guillermo Rozenthuler,recordJet,Digital,,,Fernando Montoni,Rodolfo Sciammarella,,2019 Loca de Amor,,,,,,,,,
Sexteto Cristal,Sexteto Cristal,2019-12-01,La Milonga Que Hacía Falta,,Milonga,Instrumental,recordJet,Digital,,,,,,2019 Loca de Amor,,,,,,,,,
