Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Sexteto Mayor,Sexteto Mayor,1991,Adiós Nonino,,Tango,Instrumental,Network Medien,CD,,,Astor Piazzolla,,,1991 Quejas de Bandoneón,,,,,,,,,
Sexteto Mayor,Sexteto Mayor,1991,Canaro en París,,Tango,Instrumental,Network Medien,CD,,,Alejandro Scarpino; Juan Caldarella,,,1991 Quejas de Bandoneón,,,,,,,,,
Sexteto Mayor,Sexteto Mayor,1991,El Choclo,,Tango,Instrumental,Network Medien,CD,,,Ángel Villoldo,,,1991 Quejas de Bandoneón,,,,,,,,,
Sexteto Mayor,Sexteto Mayor,1991,El Firulete,,Milonga,Instrumental,Network Medien,CD,,,Mariano Mores,Rodolfo Taboada,,1991 Quejas de Bandoneón,,,,,,,,,
Sexteto Mayor,Sexteto Mayor,1991,Halcón Negro,,Tango,Instrumental,Network Medien,CD,,,,,,1991 Quejas de Bandoneón,,,,,,,,,
Sexteto Mayor,Sexteto Mayor,1991,La Cumparsita,,Tango,Instrumental,Network Medien,CD,,,Gerardo Matos Rodríguez,Pascual Contursi; Enrique Maroni,,1991 Quejas de Bandoneón,,,,,,,,,
Sexteto Mayor,Sexteto Mayor,1991,La Peregrinación,,,Instrumental,Network Medien,CD,,,Ariel Ramírez,Félix Luna,,1991 Quejas de Bandoneón,,,,,,,,,
Sexteto Mayor,Sexteto Mayor,1991,Lluvia de Estrellas,,Tango,Instrumental,Network Medien,CD,,,Osmar Maderna,,,1991 Quejas de Bandoneón,,,,,,,,,
Sexteto Mayor,Sexteto Mayor,1991,Melodía Oriental,,Tango,Instrumental,Network Medien,CD,,,,,,1991 Quejas de Bandoneón,,,,,,,,,
Sexteto Mayor,Sexteto Mayor,1991,Nostalgias,,Tango,Instrumental,Network Medien,CD,,,Juan Carlos Cobián,Enrique Cadícamo,,1991 Quejas de Bandoneón,,,,,,,,,
Sexteto Mayor,Sexteto Mayor,1991,Orgullo Criollo,,Tango,Instrumental,Network Medien,CD,,,Julio De Caro; Pedro Laurenz,,,1991 Quejas de Bandoneón,,,,,,,,,
Sexteto Mayor,Sexteto Mayor,1991,Payadora,,Milonga,Instrumental,Network Medien,CD,,,Julián Plaza,,,1991 Quejas de Bandoneón,,,,,,,,,
Sexteto Mayor,Sexteto Mayor,1991,Quejas de Bandoneón,,Tango,Instrumental,Network Medien,CD,,,Juan de Dios Filiberto,,,1991 Quejas de Bandoneón,,,,,,,,,
Sexteto Mayor,Sexteto Mayor,1991,Recuerdo,,Tango,Instrumental,Network Medien,CD,,,Osvaldo Pugliese,Eduardo Moreno,,1991 Quejas de Bandoneón,,,,,,,,,
Sexteto Mayor,Sexteto Mayor,1991,Selección de Temas de Gardel,,Tango,Instrumental,Network Medien,CD,,,Carlos Gardel,,,1991 Quejas de Bandoneón,,,,,,,,,
Sexteto Mayor,Sexteto Mayor,1991,Selección de Temas de Piazzolla,,Tango,Instrumental,Network Medien,CD,,,Astor Piazzolla,,,1991 Quejas de Bandoneón,,,,,,,,,
Sexteto Mayor,Sexteto Mayor,1991,Selección de Milongas,,Milonga,Instrumental,Network Medien,CD,,,,,,1991 Quejas de Bandoneón,,,,,,,,,
Sexteto Mayor,Sexteto Mayor,1991,Silbando,,Tango,Instrumental,Network Medien,CD,,,Sebastián Piana; Cátulo Castillo,José González Castillo,,1991 Quejas de Bandoneón,,,,,,,,,
Sexteto Mayor,Sexteto Mayor,1992,París Otoñal,,Tango,Instrumental,7 Productions,CD,,,,,,1992 París Otoñal,,,,,,,,,
Sexteto Mayor,Sexteto Mayor,1992,Adiós Nonino,,Tango,Instrumental,7 Productions,CD,,,Astor Piazzolla,,,1992 París Otoñal,,,,,,,,,
Sexteto Mayor,Sexteto Mayor,1992,Lluvia de Estrellas,,Tango,Instrumental,7 Productions,CD,,,Osmar Maderna,,,1992 París Otoñal,,,,,,,,,
Sexteto Mayor,Sexteto Mayor,1992,Silbando,,Tango,Instrumental,7 Productions,CD,,,Sebastián Piana; Cátulo Castillo,José González Castillo,,1992 París Otoñal,,,,,,,,,
Sexteto Mayor,Sexteto Mayor,1992,El Firulete,,Milonga,Instrumental,7 Productions,CD,,,Mariano Mores,Rodolfo Taboada,,1992 París Otoñal,,,,,,,,,
Sexteto Mayor,Sexteto Mayor,1992,La Cumparsita,,Tango,Instrumental,7 Productions,CD,,,Gerardo Matos Rodríguez,Pascual Contursi; Enrique Maroni,,1992 París Otoñal,,,,,,,,,
Sexteto Mayor,Sexteto Mayor,1992,Orgullo Criollo,,Tango,Instrumental,7 Productions,CD,,,Julio De Caro; Pedro Laurenz,,,1992 París Otoñal,,,,,,,,,
Sexteto Mayor,Sexteto Mayor,1992,Selección de Milongas,,Milonga,Instrumental,7 Productions,CD,,,,,,1992 París Otoñal,,,,,,,,,
Sexteto Mayor,Sexteto Mayor,1992,Payadora,,Milonga,Instrumental,7 Productions,CD,,,Julián Plaza,,,1992 París Otoñal,,,,,,,,,
Sexteto Mayor,Sexteto Mayor,1992,Melodía Oriental,,Tango,Instrumental,7 Productions,CD,,,,,,1992 París Otoñal,,,,,,,,,
