Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Javier Di Ciriaco,Sexteto Milonguero,2007,Tres Esquinas,,Tango,Javier Di Ciriaco,,Digital,,,Ángel D'Agostino; Alfredo Attadía,Enrique Cadícamo,,2007 Pa' Que Bailen,,,,,,,,,
Javier Di Ciriaco,Sexteto Milonguero,2007,Yo Soy el Tango,,Tango,Javier Di Ciriaco,,Digital,,,Domingo Federico,Homero Expósito,,2007 Pa' Que Bailen,,,,,,,,,
Javier Di Ciriaco,Sexteto Milonguero,2007,Romance de Barrio,,Vals,Javier Di Ciriaco,,Digital,,,Aníbal Troilo,Homero Manzi,,2007 Pa' Que Bailen,,,,,,,,,
Javier Di Ciriaco,Sexteto Milonguero,2007,Mañana Iré Temprano,,Tango,Javier Di Ciriaco,,Digital,,,,,,2007 Pa' Que Bailen,,,,,,,,,
Javier Di Ciriaco,Sexteto Milonguero,2007,Yo Soy de San Telmo,,,Javier Di Ciriaco,,Digital,,,,,,2007 Pa' Que Bailen,,,,,,,,,
Javier Di Ciriaco,Sexteto Milonguero,2007,Café Domínguez,,Tango,Javier Di Ciriaco,,Digital,,,Ángel D'Agostino,Enrique Cadícamo,,2007 Pa' Que Bailen,,,,,,,,,
Javier Di Ciriaco,Sexteto Milonguero,2007,Una Emoción,,Tango,Javier Di Ciriaco,,Digital,,,Raúl Kaplún,José María Suñé,,2007 Pa' Que Bailen,,,,,,,,,
Javier Di Ciriaco,Sexteto Milonguero,2007,Dichas Que Viví,,Tango,Javier Di Ciriaco,,Digital,,,,,,2007 Pa' Que Bailen,,,,,,,,,
Javier Di Ciriaco,Sexteto Milonguero,2007,Tú... el Cielo y Tú,,Tango,Javier Di Ciriaco,,Digital,,,Mario Canaro,Héctor Marcó,,2007 Pa' Que Bailen,,,,,,,,,
Javier Di Ciriaco,Sexteto Milonguero,2007,Cada Día Te Extraño Más,,Tango,Javier Di Ciriaco,,Digital,,,,,,2007 Pa' Que Bailen,,,,,,,,,
Javier Di Ciriaco,Sexteto Milonguero,2007,El Yacaré,,Tango,Javier Di Ciriaco,,Digital,,,,,,2007 Pa' Que Bailen,,,,,,,,,
Javier Di Ciriaco,Sexteto Milonguero,2007,La Mulateada,,Milonga,Javier Di Ciriaco,,Digital,,,,,,2007 Pa' Que Bailen,,,,,,,,,
Javier Di Ciriaco,Sexteto Milonguero,2010,Embrujamiento,,Tango,Javier Di Ciriaco,,Digital,,,,,,2010 7,,,,,,,,,
Javier Di Ciriaco,Sexteto Milonguero,2010,Oigo Tu Voz,,Tango,Javier Di Ciriaco,,Digital,,,Mario Canaro,Francisco García Jiménez,,2010 7,,,,,,,,,
Javier Di Ciriaco,Sexteto Milonguero,2010,Cachirulo,,Tango,Instrumental,,Digital,,,,,,2010 7,,,,,,,,,
Javier Di Ciriaco,Sexteto Milonguero,2010,Llorar por una Mujer,,Tango,Javier Di Ciriaco,,Digital,,,,,,2010 7,,,,,,,,,
Javier Di Ciriaco,Sexteto Milonguero,2010,Solo de Bandoneón,,,Instrumental,,Digital,,,,,,2010 7,,,,,,,,,
Javier Di Ciriaco,Sexteto Milonguero,2010,Flor de Lino,,Vals,Javier Di Ciriaco,,Digital,,,Héctor Stamponi,Homero Expósito,,2010 7,,,,,,,,,
Javier Di Ciriaco,Sexteto Milonguero,2010,Paisaje,,Vals,Javier Di Ciriaco,,Digital,,,Sebastián Piana,Homero Manzi,,2010 7,,,,,,,,,
Javier Di Ciriaco,Sexteto Milonguero,2010,Bajo un Cielo de Estrellas,,Vals,Javier Di Ciriaco,,Digital,,,Enrique Mario Francini; Héctor Stamponi,José María Contursi,,2010 7,,,,,,,,,
Javier Di Ciriaco,Sexteto Milonguero,2010,Al Pasar,,Tango,Javier Di Ciriaco,,Digital,,,,,,2010 7,,,,,,,,,
Javier Di Ciriaco,Sexteto Milonguero,2010,Solo de Contrabajo,,,Instrumental,,Digital,,,,,,2010 7,,,,,,,,,
Javier Di Ciriaco,Sexteto Milonguero,2010,El Recodo,,Tango,Javier Di Ciriaco,,Digital,,,,,,2010 7,,,,,,,,,
Javier Di Ciriaco,Sexteto Milonguero,2010,Noches del Colón,,,Javier Di Ciriaco,,Digital,,,,,,2010 7,,,,,,,,,
Javier Di Ciriaco,Sexteto Milonguero,2010,Guapeando,,Tango,Instrumental,,Digital,,,,,,2010 7,,,,,,,,,
Javier Di Ciriaco,Sexteto Milonguero,2010,Junto a Tu Corazón,,Tango,Javier Di Ciriaco,,Digital,,,José Dames,José María Contursi,,2010 7,,,,,,,,,
Javier Di Ciriaco,Sexteto Milonguero,2010,Reliquias Porteñas,,Vals,Javier Di Ciriaco,,Digital,,,Graciano De Leone,,,2010 7,,,,,,,,,
Javier Di Ciriaco,Sexteto Milonguero,2010,La Milonga de Buenos Aires,,Milonga,Javier Di Ciriaco,,Digital,,,Francisco Canaro,Ivo Pelay,,2010 7,,,,,,,,,
Javier Di Ciriaco,Sexteto Milonguero,2010,No Hay Tierra Como la Mía,,Milonga,Javier Di Ciriaco,,Digital,,,Francisco Canaro,Ivo Pelay,,2010 7,,,,,,,,,
Javier Di Ciriaco,Sexteto Milonguero,2010,La Algarrobera,,,Javier Di Ciriaco,,Digital,,,,,,2010 7,,,,,,,,,
Javier Di Ciriaco,Sexteto Milonguero,2010,Chacarera de las Piedras,,Chacarera,Javier Di Ciriaco,,Digital,,,Atahualpa Yupanqui,Pablo del Cerro,,2010 7,,,,,,,,,
Javier Di Ciriaco,Sexteto Milonguero,2010,Como Le Digo,,Tango,Javier Di Ciriaco,,Digital,,,,,,2010 7,,,,,,,,,
Javier Di Ciriaco,Sexteto Milonguero,2010,Yerba Mala,,Tango,Javier Di Ciriaco,,Digital,,,,,,2010 7,,,,,,,,,
Javier Di Ciriaco,Sexteto Milonguero,2013,Buscándote,,Tango,Javier Di Ciriaco,,Digital,,,Lalo Scalise,Lalo Scalise,,2013 Doble o Nada (Disco 1),,,,,,,,,
Javier Di Ciriaco,Sexteto Milonguero,2013,Pocas Palabras,,Tango,Javier Di Ciriaco,,Digital,,,Ricardo Tanturi,Enrique Cadícamo,,2013 Doble o Nada (Disco 1),,,,,,,,,
Javier Di Ciriaco,Sexteto Milonguero,2013,Arrabalera,,Tango,Javier Di Ciriaco,,Digital,,,Sebastián Piana,Cátulo Castillo,,2013 Doble o Nada (Disco 1),,,,,,,,,
Javier Di Ciriaco,Sexteto Milonguero,2013,El Adiós,,Tango,Javier Di Ciriaco,,Digital,,,Maruja Pacheco Huergo,Virgilio San Clemente,,2013 Doble o Nada (Disco 1),,,,,,,,,
Javier Di Ciriaco,Sexteto Milonguero,2013,Humillación,,Tango,Javier Di Ciriaco,,Digital,,,Rodolfo Biagi,Carlos Bahr,,2013 Doble o Nada (Disco 1),,,,,,,,,
Javier Di Ciriaco,Sexteto Milonguero,2013,Viejo Portón,,Vals,Javier Di Ciriaco,,Digital,,,,,,2013 Doble o Nada (Disco 1),,,,,,,,,
Javier Di Ciriaco,Sexteto Milonguero,2013,Fueron Tres Años,,Tango,Javier Di Ciriaco,,Digital,,,Juan Pablo Marín,Juan Pablo Marín,,2013 Doble o Nada (Disco 1),,,,,,,,,
Javier Di Ciriaco,Sexteto Milonguero,2013,Ella Es Así,,Milonga,Javier Di Ciriaco,,Digital,,,,,,2013 Doble o Nada (Disco 1),,,,,,,,,
Javier Di Ciriaco,Sexteto Milonguero,2013,Todo,,Tango,Javier Di Ciriaco,,Digital,,,Hugo Gutiérrez,Homero Expósito,,2013 Doble o Nada (Disco 1),,,,,,,,,
Javier Di Ciriaco,Sexteto Milonguero,2013,Pensalo Bien,,Tango,Javier Di Ciriaco,,Digital,,,,,,2013 Doble o Nada (Disco 1),,,,,,,,,
Javier Di Ciriaco,Sexteto Milonguero,2013,Campo Afuera,,Milonga,Javier Di Ciriaco,,Digital,,,Rodolfo Biagi,Homero Manzi,,2013 Doble o Nada (Disco 1),,,,,,,,,
Javier Di Ciriaco,Sexteto Milonguero,2013,Sabrás,,Tango,Javier Di Ciriaco,,Digital,,,,,,2013 Doble o Nada (Disco 2),,,,,,,,,
Javier Di Ciriaco,Sexteto Milonguero,2013,En Cada Mirada,,Tango,Javier Di Ciriaco,,Digital,,,,,,2013 Doble o Nada (Disco 2),,,,,,,,,
Javier Di Ciriaco,Sexteto Milonguero,2013,Andá a Saber,,Tango,Javier Di Ciriaco,,Digital,,,,,,2013 Doble o Nada (Disco 2),,,,,,,,,
