Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Solo Tango Orquesta,Solo Tango Orquesta,2017-01-01,Canaro en París (Special Version),,Tango,Instrumental,,Digital,,,Alejandro Scarpino; Juan Caldarella,,,2017 Nuestro,,,,,,,,,
Solo Tango Orquesta,Solo Tango Orquesta,2017-01-01,Jimmy,,Tango,Instrumental,,Digital,,,,,,2017 Nuestro,,,,,,,,,
Solo Tango Orquesta,Solo Tango Orquesta,2017-01-01,Don Juan,,Tango,Instrumental,,Digital,,,Ernesto Ponzio,Ricardo Podestá,,2017 Nuestro,,,,,,,,,
Solo Tango Orquesta,Solo Tango Orquesta,2017-01-01,Yapeyú,,Tango,Instrumental,,Digital,,,,,,2017 Nuestro,,,,,,,,,
Solo Tango Orquesta,Solo Tango Orquesta,2017-01-01,Loca,,Tango,Instrumental,,Digital,,,Manuel Jovés,Antonio Martínez Viérgol,,2017 Nuestro,,,,,,,,,
Solo Tango Orquesta,Solo Tango Orquesta,2017-01-01,Si Bekar,,Tango,Instrumental,,Digital,,,,,,2017 Nuestro,,,,,,,,,
Solo Tango Orquesta,Solo Tango Orquesta,2017-01-01,Buena Compañía,,Tango,Instrumental,,Digital,,,,,,2017 Nuestro,,,,,,,,,
Solo Tango Orquesta,Solo Tango Orquesta,2017-01-01,Vals de Invierno,,Vals,Instrumental,,Digital,,,Alexander Riazanov,,,2017 Nuestro,,,,,,,,,
Solo Tango Orquesta,Solo Tango Orquesta,2017-01-01,Gallo Ciego,,Tango,Instrumental,,Digital,,,Agustín Bardi,,,2017 Nuestro,,,,,,,,,
Solo Tango Orquesta,Solo Tango Orquesta,2017-01-01,Derecho Viejo,,Tango,Instrumental,,Digital,,,Eduardo Arolas,,,2017 Nuestro,,,,,,,,,
Solo Tango Orquesta,Solo Tango Orquesta,2020-01-04,Qué Importa,,Tango,Chino Laborde,,Digital,,,,,,2020 Tanda de Energía,,,,,,,,,
