Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Tita Merello,Tita Merello con Orquesta,1927-08-03,Te Acordás Reo,,Tango,Tita Merello,Odeón,78rpm,,,Emilio Fresedo,Emilio Fresedo,,,,,,,,,,,
Tita Merello,Tita Merello con Orquesta,1927-08-03,Volvé Mi Negra,,Tango,Tita Merello,Odeón,78rpm,,,José Rizzuti,José Gómez,,,,,,,,,,,
Tita Merello,Tita Merello con Orquesta,1929,Che Bacana,,Tango,Tita Merello,Víctor,78rpm,44800-2,47243,Guillermo Cavazza,Reynaldo Pignataro,,,,,,,,,,,
Tita Merello,Tita Merello con Guitarras y Violín,1929,La Viuda Misteriosa,,Tango,Tita Merello,Víctor,78rpm,44862-1,47219,Pascual Clausi,A. Sierra,,,,,,,,,,,
Tita Merello,Tita Merello con Orquesta,1929,Mi Papito,,Tango,Tita Merello,Víctor,78rpm,44673-2,47145,D. Estevez Martín,"Víctor Soliño, Roberto Fontaina",,,,,,,,,,,
Tita Merello,Tita Merello con Orquesta,1929,¡Quién Te Ve!,,Tango,Tita Merello,Víctor,78rpm,44938-1,47243,Juan Rodríguez,Enrique Cadícamo,,,,,,,,,,,
Tita Merello,Tita Merello con Orquesta,1929,Tata Llevame Pa'l Centro,,Tango,Tita Merello,Víctor,78rpm,44674-2,47145,F. S. Almeida,Enrique Maroni,,,,,,,,,,,
Tita Merello,Orquesta dir. Adolfo Carabelli,1929-05-27,Qué Careta,,Tango,Tita Merello,Víctor,78rpm,44568-2,47094,Ascanio Donato,"Roberto Fontaina, Celedonio Flores",,,,,,,,,,,
Tita Merello,Orquesta dir. Adolfo Carabelli,1929-05-27,Sos una Fiera,,Tango,Tita Merello,Víctor,78rpm,44569-1,47094,José Laina,"Roberto Fontaina, Víctor Soliño",,,,,,,,,,,
Tita Merello,Tita Merello con Guitarras y Violín,1929-10-18,No Es por Hablar Mal,,Tango,Tita Merello,Víctor,78rpm,44861-4,47219,Enrique Delfino,Julio Romero,,,,,,,,,,,
