Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Vicente Greco,Orquesta Típica Criolla Greco,1909,Ahi No Mas,Hay No Mas,Tango,Instrumental,Columbia,Acoustic,55409-1,T 219,Manuel O. Campoamor,,,,,,,,,,,,
Vicente Greco,Orquesta Típica Criolla Greco,1909,Amar Es Vivir,,Polca,Instrumental,Columbia,Acoustic,55417-1,T 224,,,,,,,,,,,,,
Vicente Greco,Orquesta Típica Criolla Greco,1909,Caradura,,Tango,Instrumental,Columbia,Acoustic,55406-1,T 218,Ernesto Ponzio,,,,,,,,,,,,
Vicente Greco,Orquesta Típica Criolla Greco,1909,Don Juan,,Tango,Instrumental,Columbia,Acoustic,55401-1,T 215,Ernesto Ponzio,,,,,,,,,,,,
Vicente Greco,Orquesta Típica Criolla Greco,1909,El Incendio,,Tango,Instrumental,Columbia,Acoustic,55408-1,T 219,Arturo Vicente de Bassi,,,,,,,,,,,,
Vicente Greco,Orquesta Típica Criolla Greco,1909,El Morochito,,Tango,Instrumental,Columbia,Acoustic,55402-1,T 216,Vicente Greco,,,,,,,,,,,,
Vicente Greco,Orquesta Típica Criolla Greco,1909,El Otario,,Tango,Instrumental,Columbia,Acoustic,55411-1,T 220,Gerardo Metallo,,,,,,,,,,,,
Vicente Greco,Orquesta Típica Criolla Greco,1909,El Pibe,El Pive,Tango,Instrumental,Columbia,Acoustic,55403-1,T 216,Vicente Greco,,,,,,,,,,,,
Vicente Greco,Orquesta Típica Criolla Greco,1909,El Talar,,Tango,Instrumental,Columbia,Acoustic,55414-1,T 222,Prudencio Aragon,,,,,,,,,,,,
Vicente Greco,Orquesta Típica Criolla Greco,1909,Francia,,Vals,Instrumental,Columbia,Acoustic,55418-1,T 223,Octavio Barbero,,,,,,,,,,,,
Vicente Greco,Orquesta Típica Criolla Greco,1909,Hotel Victoria,,Tango,Instrumental,Columbia,Acoustic,55405-1,T 217,Feliciano Latasa,,,,,,,,,,,,
Vicente Greco,Orquesta Típica Criolla Greco,1909,Invernal,,Vals,Instrumental,Columbia,Acoustic,55419-1,T 224,Pedro Marti,,,,,,,,,,,,
Vicente Greco,Orquesta Típica Criolla Greco,1909,Joaquina,,Tango,Instrumental,Columbia,Acoustic,55413-1,T 221,Juan Bergamino,,,,,,,,,,,,
Vicente Greco,Orquesta Típica Criolla Greco,1909,Joaquina,,Tango,Instrumental,Columbia,Acoustic,55413,T 279,Juan Bergamino,,,,,,,,,,,,
Vicente Greco,Orquesta Típica Criolla Greco,1909,La C... Ara de la Luna,,Tango,Instrumental,Columbia,Acoustic,55407-1,T 218,Manuel O. Campoamor,,,,,,,,,,,,
Vicente Greco,Orquesta Típica Criolla Greco,1909,La Mascota,,Tango,Instrumental,Columbia,Acoustic,55410-1,T 220,Gerardo Metallo,,,,,,,,,,,,
Vicente Greco,Orquesta Típica Criolla Greco,1909,La Paloma,,Tango,Instrumental,Columbia,Acoustic,55415-1,T 222,Jose Guardo,,,,,,,,,,,,
Vicente Greco,Orquesta Típica Criolla Greco,1909,Polilla,,Tango,Instrumental,Columbia,Acoustic,55420-1,T 225,Rosendo Mendizabal,,,,,,,,,,,,
Vicente Greco,Orquesta Típica Criolla Greco,1909,Que Haces a la Noche?,,Tango,Instrumental,Columbia,Acoustic,55404-1,T 217,Nicolas E. Braun,,,,,,,,,,,,
Vicente Greco,Orquesta Típica Criolla Greco,1909,Queca,,Tango,Instrumental,Columbia,Acoustic,55412-1,T 221,Modesto Ocampo,,,,,,,,,,,,
Vicente Greco,Orquesta Típica Criolla Greco,1909,Rosendo,,Tango,Instrumental,Columbia,Acoustic,55400-1,T 215,Genaro Luis Vazquez,,,,,,,,,,,,
Vicente Greco,Orquesta Típica Criolla Greco,1909,Tamburin,,Polca,Instrumental,Columbia,Acoustic,55416-1,T 223,,,,,,,,,,,,,
Vicente Greco,Orquesta Típica Greco,1912,Buruchu,,Tango,Instrumental,Columbia,Acoustic,57020-1,T 619,Vicente Greco,,,,,,,,,,,,
Vicente Greco,Orquesta Típica Greco,1912,Chochita,,Tango,Instrumental,Columbia,Acoustic,57026-1,T 685,Vicente Greco,,,,,,,,,,,,
Vicente Greco,Orquesta Típica Greco,1912,Don Pedrito,,Tango,Instrumental,Columbia,Acoustic,57029-1,T 687,Domingo Greco,,,,,,,,,,,,
Vicente Greco,Orquesta Típica Greco,1912,El Estribo,,Tango,Instrumental,Columbia,Acoustic,57017-1,T 618,Vicente Greco,,,,,,,,,,,,
Vicente Greco,"Quinteto Criollo ""Garrote""",1912,El Estribo,,Tango,Instrumental,Atlanta,Acoustic,58z,172,Vicente Greco,,,,,,,,,,,,
Vicente Greco,Orquesta Típica Greco,1912,El Garrotazo,,Tango,Instrumental,Columbia,Acoustic,57018-1,T 618,Vicente Greco,,,,,,,,,,,,
Vicente Greco,"Quinteto Criollo ""Garrote""",1912,El Maldonado,,Tango,Instrumental,Atlanta,Acoustic,426z,178,Carlos Macchi,,,,,,,,,,,,
Vicente Greco,"Quinteto Criollo ""Garrote""",1912,El Perverso,,Tango,Instrumental,Atlanta,Acoustic,57z,174,Vicente Greco,,,,,,,,,,,,
Vicente Greco,Orquesta Típica Greco,1912,Estoy Penando,,Tango,Instrumental,Columbia,Acoustic,57023-1,S 2017,Vicente Greco,,,,,,,,,,,,
Vicente Greco,"Quinteto Criollo ""Garrote""",1912,Estoy Penando,,Tango,Instrumental,Atlanta,Acoustic,59z,175,Vicente Greco,,,,,,,,,,,,
Vicente Greco,"Quinteto Criollo ""Garrote""",1912,Esultanza,,Mazurca,Instrumental,Atlanta,Acoustic,427z,180,N. N.,,,,,,,,,,,,
Vicente Greco,"Quinteto Criollo ""Garrote""",1912,Hospital San Roque,,Tango,Instrumental,Atlanta,Acoustic,67z,176,Vicente Greco,,,,,,,,,,,,
Vicente Greco,"Quinteto Criollo ""Garrote""",1912,La Barra Fuerte,,Tango,Instrumental,Atlanta,Acoustic,425z,179,Francisco Canaro,,,,,,,,,,,,
Vicente Greco,"Quinteto Criollo ""Garrote""",1912,La Clavada,,Tango,Instrumental,Atlanta,Acoustic,,172,Ernesto F. Zambonini,,,,,,,,,,,,
Vicente Greco,"Quinteto Criollo ""Garrote""",1912,La Flor del Pago,,Tango,Instrumental,Atlanta,Acoustic,421z,177,Francisco Canaro,,,,,,,,,,,,
Vicente Greco,Orquesta Típica Greco,1912,La Muela Careada,,Tango,Instrumental,Columbia,Acoustic,57022-1,T 688,Vicente Greco,,,,,,,,,,,,
