Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Vicente Loduca,Orquesta Argentina Loduca,1914-01-07,Alfredo y Juanito,,,Instrumental,Victor,Acoustic,B-14285,,,,,,,,,,,,,,
Vicente Loduca,Orquesta Argentina Loduca,1914-01-07,Don Severo,,,Instrumental,Victor,Acoustic,B-14288,,,,,,,,,,,,,,
Vicente Loduca,Orquesta Argentina Loduca,1914-01-07,El Argentino,,,Instrumental,Victor,Acoustic,B-14292,,,,,,,,,,,,,,
Vicente Loduca,Orquesta Argentina Loduca,1914-01-07,El Chiquito,,,Instrumental,Victor,Acoustic,B-14296,,,,,,,,,,,,,,
Vicente Loduca,Orquesta Argentina Loduca,1914-01-07,El Entrerriano,,,Instrumental,Victor,Acoustic,B-14290,,,,,,,,,,,,,,
Vicente Loduca,Orquesta Argentina Loduca,1914-01-07,El Gaitero,,,Instrumental,Victor,Acoustic,B-14286,,,,,,,,,,,,,,
Vicente Loduca,Orquesta Argentina Loduca,1914-01-07,El Zorzal,,,Instrumental,Victor,Acoustic,B-14294,,,,,,,,,,,,,,
Vicente Loduca,Orquesta Argentina Loduca,1914-01-07,Independencia,,,Instrumental,Victor,Acoustic,B-14289,,,,,,,,,,,,,,
Vicente Loduca,Orquesta Argentina Loduca,1914-01-07,La Viruta,,,Instrumental,Victor,Acoustic,B-14295,,,,,,,,,,,,,,
Vicente Loduca,Orquesta Típica Loduca,1914-01-07,Mate Amargo,,,Instrumental,Victor,Acoustic,B-14282,,,,,,,,,,,,,,
Vicente Loduca,Orquesta Argentina Loduca,1914-01-07,Pitito,,,Instrumental,Victor,Acoustic,B-14284,,,,,,,,,,,,,,
Vicente Loduca,Orquesta Argentina Loduca,1914-01-07,Polilla,,,Instrumental,Victor,Acoustic,B-14283,,,,,,,,,,,,,,
Vicente Loduca,Orquesta Argentina Loduca,1914-01-07,Poupée,,,Instrumental,Victor,Acoustic,B-14287,,,,,,,,,,,,,,
Vicente Loduca,Orquesta Argentina Loduca,1914-01-07,Puas Bravas,,,Instrumental,Victor,Acoustic,B-14291,,,,,,,,,,,,,,
Vicente Loduca,Orquesta Argentina Loduca,1914-01-07,Sacúdeme la Persiana,,,Instrumental,Victor,Acoustic,B-14293,,,,,,,,,,,,,,
Vicente Loduca,Orquesta Típica Loduca,1917-04-30,Alma Atravesada,,,Instrumental,Victor,Acoustic,G-1909,,,,,,,,,,,,,,
Vicente Loduca,Orquesta Típica Loduca,1917-04-30,La Huella,,,Instrumental,Victor,Acoustic,G-1907,,,,,,,,,,,,,,
Vicente Loduca,Orquesta Típica Loduca,1917-04-30,La Revoltosa,,,Instrumental,Victor,Acoustic,G-1908,,,,,,,,,,,,,,
Vicente Loduca,Orquesta Típica Loduca,1917-05-02,El Moro,,,Instrumental,Victor,Acoustic,G-1926,,,,,,,,,,,,,,
Vicente Loduca,Orquesta Típica Loduca,1917-05-02,La Gallinita,,,Instrumental,Victor,Acoustic,G-1925,,,,,,,,,,,,,,
Vicente Loduca,Orquesta Típica Loduca,1917-05-02,Se Acabo la Jetta,,,Instrumental,Victor,Acoustic,G-1924,,,,,,,,,,,,,,
Vicente Loduca,Orquesta Típica Loduca,1917-05-04,Buril,,,Instrumental,Victor,Acoustic,G-1959,,,,,,,,,,,,,,
Vicente Loduca,Orquesta Típica Loduca,1917-05-04,Chacarita,,,Instrumental,Victor,Acoustic,G-1957,,,,,,,,,,,,,,
Vicente Loduca,Orquesta Típica Loduca,1917-05-04,El Rastro,,,Instrumental,Victor,Acoustic,G-1960,,,,,,,,,,,,,,
Vicente Loduca,Orquesta Típica Loduca,1917-05-04,Lágrimas y Sonrisas,,Vals,Instrumental,Victor,Acoustic,G-1958,,,,,,,,,,,,,,
Vicente Loduca,Orquesta Típica Loduca,1917-05-11,Amoniaco,,,Instrumental,Victor,Acoustic,G-1997,,,,,,,,,,,,,,
Vicente Loduca,Orquesta Típica Loduca,1917-05-11,El Comisionado,,,Instrumental,Victor,Acoustic,G-2001,,,,,,,,,,,,,,
Vicente Loduca,Orquesta Típica Loduca,1917-05-11,El Consultorio,,,Instrumental,Victor,Acoustic,G-1998,,,,,,,,,,,,,,
Vicente Loduca,Orquesta Típica Loduca,1917-05-11,La Percanta,,,Instrumental,Victor,Acoustic,G-2000,,,,,,,,,,,,,,
Vicente Loduca,Orquesta Típica Loduca,1917-05-11,Meneguina,,,Instrumental,Victor,Acoustic,G-1999,,,,,,,,,,,,,,
Vicente Loduca,Orquesta Típica Loduca,1917-05-11,Para Negros Solamente,,,Instrumental,Victor,Acoustic,G-2002,,,,,,,,,,,,,,
Vicente Loduca,Orquesta Tipica Loduca-Fresedo,1917-05-12,Amargura,,,Ignacio Riverol,Victor,Acoustic,G-2008,,,,,,,,,,,,,,
