LP_Folder,Type,Kind
Alma de Tango,Back,LP
Alma de Tango,Disk 1,LP
Alma de Tango,Front,LP
Alma de Tango,Inner,LP
Cada Dia Canta Mas,Back,LP
Cada Dia Canta Mas,Disk 1 A,LP
Cada Dia Canta Mas,Disk 1,LP
Cada Dia Canta Mas,Disk 2,LP
Con Permiso Soy el Tango,Front,LP
Los Tangos a mi Manera,Back,LP
Los Tangos a mi Manera,Disk 1,LP
Los Tangos a mi Manera,Disk 2,LP
Los Tangos a mi Manera,Front,LP
Pa La Muchachada,Back,LP
Pa La Muchachada,Disk 1,LP
Pa La Muchachada,Front,LP
Pa La Muchachada,Side 1,LP
Pa La Muchachada,Side 2,LP
Que Saben los Pitucos,Back,LP
Que Saben los Pitucos,Disk 1,LP
Que Saben los Pitucos,Disk 2,LP
Que Saben los Pitucos,Front,LP
Abuelita Dominga,Back,EP
Abuelita Dominga,Front,EP
Son Suenos,Back,EP
Son Suenos,Disk 1,EP
Son Suenos,Front,EP
Tangos por Alberto Castillo,Front,EP
Vol 4,Back,EP
Vol 4,Disk 1,EP
Vol 4,Disk 2,EP
Vol 4,Front,EP
Vol 9,Back,EP
Vol 9,Disk 1,EP
Vol 9,Disk 2,EP
Vol 9,Front,EP
