LP_Folder,LP_Catalog,LP_Title,Side,Track_No,Track_Title,Match_Status,Disc_Date,Disc_Title,Disc_AltTitle,Singer,Matrix,Kind
Que Saben los Pitucos,I-492,Que Saben los Pitucos,A,1,Asi Se Baila El Tango,exact,1974,Así Se Baila el Tango,,Alberto Castillo,,LP
Que Saben los Pitucos,I-492,Que Saben los Pitucos,A,2,Mi Piba,exact,1974,Mi Piba,Mi Piba Linda,Alberto Castillo,,LP
Que Saben los Pitucos,I-492,Que Saben los Pitucos,A,3,Violetas,exact,1974,Violetas,,Alberto Castillo,,LP
Que Saben los Pitucos,I-492,Que Saben los Pitucos,A,4,Ladrillo,exact,1974,Ladrillo,,Alberto Castillo,,LP
Que Saben los Pitucos,I-492,Que Saben los Pitucos,A,5,Garufa,exact,1974,Garufa,,Alberto Castillo,,LP
Que Saben los Pitucos,I-492,Que Saben los Pitucos,A,6,Siga El Baile,exact,1974,Siga el Baile,,Alberto Castillo,,LP
Que Saben los Pitucos,I-492,Que Saben los Pitucos,B,1,El Tango Es El Tango,exact,1974,El Tango Es el Tango,,Alberto Castillo,,LP
Que Saben los Pitucos,I-492,Que Saben los Pitucos,B,2,Buzon,exact,1974,Buzón,,Alberto Castillo,,LP
Que Saben los Pitucos,I-492,Que Saben los Pitucos,B,3,Tomo Y Olbligo,exact,1974,Tomo y Obligo,,Alberto Castillo,,LP
Que Saben los Pitucos,I-492,Que Saben los Pitucos,B,4,Recuerdos,exact,1974,Recuerdo,,Alberto Castillo,,LP
Que Saben los Pitucos,I-492,Que Saben los Pitucos,B,5,Flor De Fango,exact,1974,Flor de Fango,,Alberto Castillo,,LP
Que Saben los Pitucos,I-492,Que Saben los Pitucos,B,6,Ella,exact,1974,Ella,,Alberto Castillo,,LP
Alma de Tango,SE-579,Alma de Tango,A,1,Al Compas Del Tango,exact,1975,Al Compás de un Tango,,Alberto Castillo,,LP
Alma de Tango,SE-579,Alma de Tango,A,2,Vieja Serenata,exact,1975,La Vieja Serenata,,Alberto Castillo,,LP
Alma de Tango,SE-579,Alma de Tango,A,3,Todavia Hay Otarios,exact,1975,Todavía Hay Otarios,,Alberto Castillo,,LP
Alma de Tango,SE-579,Alma de Tango,A,4,Candombeando,exact,1975,Candombeando,,Alberto Castillo,,LP
Alma de Tango,SE-579,Alma de Tango,A,5,Ninguno,exact,1975,Ninguna,,Alberto Castillo,,LP
Alma de Tango,SE-579,Alma de Tango,A,6,El Beso,exact,1975,El Beso,,Alberto Castillo,,LP
Alma de Tango,SE-579,Alma de Tango,B,1,Se Acabo Tu Cuarto De Hora,exact,1975,Se Pasó Tu Cuarto de Hora,,Alberto Castillo,,LP
Alma de Tango,SE-579,Alma de Tango,B,2,Nubes De Humo,exact,1975,Nubes de Humo,,Alberto Castillo,,LP
Alma de Tango,SE-579,Alma de Tango,B,3,Muchachos Escuchen,exact,1975,Muchachos Escuchen,,Alberto Castillo,,LP
