LP_Folder,Type,Kind
Buenos Aires Tokio,Back,LP
Buenos Aires Tokio,Front,LP
Che Bandoneon,Back,LP
Che Bandoneon,Disk 1,LP
Che Bandoneon,Disk 2,LP
Che Bandoneon,Front,LP
Che Buenos Aires,Disk 2,LP
Che Buenos Aires,Front,LP
Esto es Tango,Back,LP
Esto es Tango,Disk 1,LP
Esto es Tango,Disk 2,LP
Esto es Tango,Front,LP
Nocturno a mi Barrio,Disk 1,LP
Nocturno a mi Barrio,Disk 2,LP
Nocturno a mi Barrio,Front,LP
Nuestro Buenos Aires,Back,LP
Nuestro Buenos Aires,Center A,LP
Nuestro Buenos Aires,Center B,LP
Nuestro Buenos Aires,Disk 1,LP
Nuestro Buenos Aires,Disk 2,LP
Nuestro Buenos Aires,Front,LP
Otra Vez Pichuco,Back,LP
Otra Vez Pichuco,Disk 1,LP
Otra Vez Pichuco,Disk 2,LP
Otra Vez Pichuco,Front,LP
Pichuco es Tango,Back,LP
Pichuco es Tango,Disk 1,LP
Pichuco es Tango,Disk 2,LP
Pichuco es Tango,Front,LP
Pichuqueando,Back,LP
Pichuqueando,Disk 1,LP
Pichuqueando,Disk 2,LP
Pichuqueando,Front,LP
Te Acordas Polaco,Back,LP
Te Acordas Polaco,Disk 1,LP
Te Acordas Polaco,Disk 2,LP
Te Acordas Polaco,Front,LP
Troilo en la Falda,Back,LP
Troilo en la Falda,Front,LP
Troilo for Export,Back,LP
Troilo for Export,Disk 1,LP
Troilo for Export,Disk 2,LP
Troilo for Export,Front,LP
Troilo for Export Vol 2,Back,LP
Troilo for Export Vol 2,Disk 1,LP
Troilo for Export Vol 2,Disk 2,LP
Troilo for Export Vol 2,Front,LP
Troilo for Export Vol 3,Back,LP
Troilo for Export Vol 3,Disk 1,LP
Troilo for Export Vol 3,Disk 2,LP
Troilo for Export Vol 3,Front,LP
Troilo Grela,Back,LP
Troilo Grela,Disk 1,LP
Troilo Grela,Disk 2,LP
Troilo Grela,Front,LP
Barrio de Tango,Back,EP
Barrio de Tango,Disk 1,EP
Barrio de Tango,Disk 2,EP
Barrio de Tango,Front,EP
El Conventillo,Back,EP
El Conventillo,Disk 1,EP
El Conventillo,Disk 2,EP
El Conventillo,Front,EP
Pichuco,Back,EP
Pichuco,Disk 1,EP
Pichuco,Disk 2,EP
Pichuco,Front,EP
Vik,Disk 1,EP
Vik,Disk 2,EP
