LP_Folder,Type,Kind
Bahia Blanca,Back,LP
Bahia Blanca,Front,LP
Di Sarli En Estereo,Back,LP
Di Sarli En Estereo,Front,LP
Di Sarli En Estereo,Image 3,LP
Di Sarli En Estereo,Image 4,LP
El Señor Del Tango,Back,LP
El Señor Del Tango,Front,LP
El Señor Del Tango,Image 3,LP
El Señor Del Tango,Image 4,LP
Nubes de Humo,Back,LP
Nubes de Humo,Disk 1 V2,LP
Nubes de Humo,Disk 1,LP
Nubes de Humo,Disk 2 V2,LP
Nubes de Humo,Disk 2,LP
Nubes de Humo,Front,LP
Para Siempre,Back,LP
Para Siempre,Front,LP
Para Siempre,Image 3,LP
Para Siempre,Image 4,LP
Bahia Blanca,Front,EP
Edmundo Rivero,Back,EP
Edmundo Rivero,Disk 1,EP
Edmundo Rivero,Disk 2,EP
Edmundo Rivero,Front,EP
El Señor Del Tango,Front,EP
EP 12,Disk 1,EP
EP 12,Disk 2,EP
Exitos De Carlos Di Sarli,Back,EP
Exitos De Carlos Di Sarli,Front,EP
Exitos De Carlos Di Sarli,Image 3,EP
Exitos De Carlos Di Sarli,Image 4,EP
Exitos De Carlos Di Sarli - Volumen 4,Front,EP
Exitos de Carlos Di Sarli 1022,Back,EP
Exitos de Carlos Di Sarli 1022,Disk 1,EP
Exitos de Carlos Di Sarli 1022,Disk 2,EP
Exitos de Carlos Di Sarli 1022,Front,EP
Exitos De Carlos Di Sarli En Discos Music-Hall,Back,EP
Exitos De Carlos Di Sarli En Discos Music-Hall,Front,EP
Exitos De Carlos Di Sarli En Discos Music-Hall,Image 3,EP
MH-1,A la Gran Muneca 78,EP
MH-1,Back,EP
MH-1,Disk 1 V2,EP
MH-1,Disk 1,EP
MH-1,Disk 2 V2,EP
MH-1,Disk 2,EP
MH-1,El-Incendio_78,EP
MH-1,Front,EP
MH-10,Disk 1,EP
MH-10,Disk 2,EP
MH-12,Disk 1,EP
MH-12,Disk 2,EP
MH-15,Disk 1,EP
MH-15,Disk 2,EP
MH-15,Front,EP
MH-2,Disk 1,EP
MH-2,Disk 2,EP
MH-2,Front,EP
MH-22,Back,EP
MH-22,Disk 1,EP
MH-22,Disk 2,EP
MH-22,Front,EP
MH-23,Back,EP
MH-23,Disk 1,EP
MH-23,Disk 2,EP
MH-23,Front,EP
MH-25,Disk 1,EP
MH-25,Disk 2,EP
MH-25,Front,EP
MH-26,Disk 1,EP
MH-26,Disk 2,EP
MH-3,Back,EP
MH-3,Disk 1,EP
MH-3,Disk 2,EP
MH-3,El Amanecer 78,EP
MH-3,Front,EP
MH-4,Back,EP
MH-4,Disk 1,EP
MH-4,Disk 2,EP
MH-4,Front,EP
MH-42,Disk 1,EP
MH-42,Disk 2,EP
MH-5,Back,EP
MH-5,Disk 1,EP
MH-5,Disk 2,EP
MH-5,Front,EP
MH-50,Disk 1,EP
MH-50,Disk 2 Question,EP
MH-50,Disk 2,EP
MH-6,Back,EP
MH-6,Disk 1,EP
MH-6,Disk 2,EP
MH-6,Front,EP
MH-7,Disk 1,EP
MH-7,Disk 2,EP
MH-79,Disk 1,EP
MH-79,Disk 2,EP
MH-8,Disk 1,EP
MH-8,Disk 2,EP
MH-9,Back,EP
MH-9,Disk 1,EP
MH-9,Disk 2,EP
MH-9,Front,EP
Mi Refugio Champagne Tango Pimienta Bar Exposicion,Back,EP
Mi Refugio Champagne Tango Pimienta Bar Exposicion,Front,EP
Milongueando,Back,EP
Milongueando,Front,EP
Milongueando,Image 3,EP
Siete Palabras,Back,EP
Siete Palabras,Front,EP
Éxitos De Carlos Di Sarli,Back,EP
Éxitos De Carlos Di Sarli,Front,EP
Éxitos De Carlos Di Sarli,Image 3,EP
Éxitos De Carlos Di Sarli,Image 4,EP
