LP_Folder,Type,Kind
Adios Chantecler,Back,LP
Adios Chantecler,Disk 1,LP
Adios Chantecler,Disk 2,LP
Adios Chantecler,Front,LP
Armenonville,Back,LP
Armenonville,Front,LP
Armenonville,Side 1,LP
Armenonville,Side 2,LP
Bailarin Compadrito,Back,LP
Bailarin Compadrito,Disk 1,LP
Bailarin Compadrito,Disk 2,LP
Bailarin Compadrito,Front,LP
Bailate un Tango Ricardo,Back,LP
Bailate un Tango Ricardo,Disk 1,LP
Bailate un Tango Ricardo,Disk 2,LP
Bailate un Tango Ricardo,Front,LP
Barrio Reo,Back,LP
Barrio Reo,Disk 1,LP
Barrio Reo,Disk 2,LP
Barrio Reo,Front,LP
Che Timbero,Back,LP
Che Timbero,Front,LP
Con Alma y Nervio,Back,LP
Con Alma y Nervio,Disk 1,LP
Con Alma y Nervio,Disk 2,LP
Con Alma y Nervio,Front,LP
Con tu Compas,Back,LP
Con tu Compas,Disk 1,LP
Con tu Compas,Disk 2,LP
Con tu Compas,Front,LP
Cumpleanos de Mi Esposa,Back,LP
Cumpleanos de Mi Esposa,Disk 1,LP
Cumpleanos de Mi Esposa,Disk 2,LP
Cumpleanos de Mi Esposa,Front,LP
DArienzo for Export Vol 1,Back,LP
DArienzo for Export Vol 1,Disk 1 Sleeve,LP
DArienzo for Export Vol 1,Disk 1,LP
DArienzo for Export Vol 1,Disk 2,LP
DArienzo for Export Vol 1,Front,LP
DArienzo for Export Vol 2,Back,LP
DArienzo for Export Vol 2,Disk 1,LP
DArienzo for Export Vol 2,Disk 2,LP
DArienzo for Export Vol 2,Front,LP
DArienzo for Export Vol 3,Back,LP
DArienzo for Export Vol 3,Disk 1,LP
DArienzo for Export Vol 3,Disk 2,LP
DArienzo for Export Vol 3,Front,LP
DArienzo for Export Vol 4,Back,LP
DArienzo for Export Vol 4,Disk 1,LP
DArienzo for Export Vol 4,Disk 2,LP
DArienzo for Export Vol 4,Front,LP
DArienzo Interpreta a Canaro,Back,LP
DArienzo Interpreta a Canaro,Disk 1,LP
DArienzo Interpreta a Canaro,Disk 2,LP
DArienzo Interpreta a Canaro,Front,LP
DArienzo Interpreta a Lomuto,Back,LP
DArienzo Interpreta a Lomuto,Disk 1,LP
DArienzo Interpreta a Lomuto,Disk 2,LP
DArienzo Interpreta a Lomuto,Front,LP
De Ayer y Hoy,Back,LP
De Ayer y Hoy,Disk 1,LP
De Ayer y Hoy,Disk 2,LP
De Ayer y Hoy,Front,LP
El Bar de Rosendo,Back,LP
El Bar de Rosendo,Disk 1,LP
El Bar de Rosendo,Disk 2,LP
El Bar de Rosendo,Front,LP
El Vals de 15 Anos,Back,LP
El Vals de 15 Anos,Disk 1,LP
El Vals de 15 Anos,Disk 2,LP
El Vals de 15 Anos,Front,LP
Estampas de Antano,Back,LP
Estampas de Antano,Disk 1,LP
Estampas de Antano,Disk 2,LP
Estampas de Antano,Front,LP
Juan de Dios Filiberto,Back,LP
Juan de Dios Filiberto,Disk 1,LP
Juan de Dios Filiberto,Disk 2,LP
Juan de Dios Filiberto,Front,LP
Mi Japon,Back,LP
Mi Japon,Disk 1,LP
Mi Japon,Disk 2,LP
Mi Japon,Front,LP
Mi Noche Triste,Back,LP
Mi Noche Triste,Disk 1 Alt,LP
Mi Noche Triste,Disk 1,LP
Mi Noche Triste,Disk 2,LP
Mi Noche Triste,Front,LP
Morocho y Cantor,Back,LP
Morocho y Cantor,Disk 1,LP
Morocho y Cantor,Disk 2,LP
Morocho y Cantor,Front,LP
