LP_Folder,LP_Catalog,LP_Title,Side,Track_No,Track_Title,Track_Year,Match_Status,Disc_Date,Disc_Title,Disc_AltTitle,Singer,Master,Matrix,Note
Armonville,AVL-3989,Armenonville,A,1,Retintín,1969,matched,1969-10-20,Retintín,,Instrumental,Tape-S,9566,
Armonville,AVL-3989,Armenonville,A,2,Dulce Novia,1969,matched,1969-08-01,Dulce Novia,,Osvaldo Ramos,Tape-S,9175,
Armonville,AVL-3989,Armenonville,A,3,Catamarca,1969,matched,1969-10-20,Catamarca,Estocada a Fondo,Instrumental,Tape-S,9565,
Armonville,AVL-3989,Armenonville,A,4,Requiem Para Una Luca,1970,matched,1970-08-13,Réquiem Para una Luca,,Armando Laborde,Tape-S,10502,
Armonville,AVL-3989,Armenonville,A,5,Armenonville,1970,matched,1970-08-21,Armenonville,,Instrumental,Tape-S,10516,
Armonville,AVL-3989,Armenonville,B,1,Falso,1969,matched,1969-10-20,Falso,,Osvaldo Ramos,Tape-S,9571,
Armonville,AVL-3989,Armenonville,B,2,Porteñísimo,1970,matched_variant,1970-08-13,Porteñismo,,Instrumental,Tape-S,10500,fuzzy 0.95 of 'Porteñismo'
Armonville,AVL-3989,Armenonville,B,3,Dos Dedos,1970,matched,1970-09-15,Dos Dedos,,Alberto Echagüe,Tape-S,10555,
Armonville,AVL-3989,Armenonville,B,4,Recuerdo La Casa,1970,matched_variant,1970-08-13,Recuerdo de la Casa,,Osvaldo Ramos,Tape-S,10503,fuzzy 0.91 of 'Recuerdo de la Casa'
Armonville,AVL-3989,Armenonville,B,5,El Pimpollo,1969,matched,1969-10-20,El Pimpollo,,Armando Laborde,Tape-S,9576,
Armonville,AVL-3989,Armenonville,B,6,El Africano,1969,matched,1969-08-01,El Africano,,Instrumental,Tape-S,9179,
Armonville,AVL-3989,Armenonville,B,7,Senda Florida,1970,matched,1970-08-21,Senda Florida,,Osvaldo Ramos,Tape-S,10518,
Bailarin Compadrito,AVS-4579,Bailarin Compadrito,A,1,Rio Bamba,1975,matched,1975-01-30,Rio Bamba,,Instrumental,Tape-S,16815,
Bailarin Compadrito,AVS-4579,Bailarin Compadrito,A,2,Bailarín Compadrito,1973,matched,1973-12-14,Bailarín Compadrito,,Armando Laborde,Tape-S,15316,
Bailarin Compadrito,AVS-4579,Bailarin Compadrito,A,3,Para Vos Querida Pebeta,1975,matched_variant,1975-01-30,Para Vos Mi Querida Pebeta,,Osvaldo Ramos,Tape-S,16808,fuzzy 0.94 of 'Para Vos Mi Querida Pebeta'
Bailarin Compadrito,AVS-4579,Bailarin Compadrito,A,4,El 13,1969,matched,1969-10-20,El Trece,El 13,Instrumental,Tape-S,9569,
Bailarin Compadrito,AVS-4579,Bailarin Compadrito,A,5,Tremolina,1970,matched,1970-12-16,Tremolina,,Instrumental,Tape-S,11127,
Bailarin Compadrito,AVS-4579,Bailarin Compadrito,A,6,Tuve Que Llorar,1970,matched,1970-12-16,Tuve Que Llorar,,Osvaldo Ramos,Tape-S,11130,
Bailarin Compadrito,AVS-4579,Bailarin Compadrito,B,1,Tengo Miedo,1970,matched,1970-09-15,Tengo Miedo,,Alberto Echagüe,Tape-S,10550,
Bailarin Compadrito,AVS-4579,Bailarin Compadrito,B,2,Siempre Primero,1970,matched,1970-12-16,Siempre Primero,,Instrumental,Tape-S,11134,
Bailarin Compadrito,AVS-4579,Bailarin Compadrito,B,3,El Látigo,1970,matched,1970-09-15,El Látigo,,Instrumental,Tape-S,,
Bailarin Compadrito,AVS-4579,Bailarin Compadrito,B,4,Madame Julie,1971,matched,1971-11-26,Madame Julié,,Armando Laborde,Tape-S,12243,
Bailarin Compadrito,AVS-4579,Bailarin Compadrito,B,5,Ay Aurora,1973,matched,1973-12-14,Ay Aurora,,Alberto Echagüe,Tape-S,15318,
Bailarin Compadrito,AVS-4579,Bailarin Compadrito,B,6,Mimí Pinsón,1973,matched,1973-12-14,Mimí Pinsón,,Osvaldo Ramos,Tape-S,15319,
Bailate un Tango,AVL-3730,"Bailate un Tango, Ricardo",A,1,"Bailate Un Tango, Ricardo",1966,matched,1966-11-10,Bailate un Tango Ricardo,,Osvaldo Ramos,Tape-S,6500,
Bailate un Tango,AVL-3730,"Bailate un Tango, Ricardo",A,2,Me Diste Un Beso,1966,matched,1966-11-22,Me Diste un Beso,,Osvaldo Ramos,Tape-S,6665,
Bailate un Tango,AVL-3730,"Bailate un Tango, Ricardo",A,3,Al Gran Maestro D'Arienzo,1966,matched,1966-11-17,Al Gran Maestro D'Arienzo,,Instrumental,Tape-S,6521,
Bailate un Tango,AVL-3730,"Bailate un Tango, Ricardo",A,4,Un Trabajo Flor Y Flor,1966,matched,1966-11-10,Un Trabajo Flor y Flor,,Armando Laborde,Tape-S,6497,
Bailate un Tango,AVL-3730,"Bailate un Tango, Ricardo",A,5,Argañaráz,1966,matched,1966-11-10,Argañaraz,Aquellas Farras,Armando Laborde,Tape-S,6499,
Bailate un Tango,AVL-3730,"Bailate un Tango, Ricardo",A,6,Virgen De La Serrania,1966,matched,1966-11-17,Virgen de la Serranía,,Ramos y Laborde,Tape-S,6519,
Bailate un Tango,AVL-3730,"Bailate un Tango, Ricardo",B,1,Para Siempre,1966,matched,1966-11-10,Para Siempre,,Osvaldo Ramos,Tape-S,6492,
Bailate un Tango,AVL-3730,"Bailate un Tango, Ricardo",B,2,Presente Barra Querida,1966,matched,1966-11-10,Presente Barra Querida,,Osvaldo Ramos,Tape-S,6498,
Bailate un Tango,AVL-3730,"Bailate un Tango, Ricardo",B,3,Amor De Fortinera,1966,matched,1966-11-17,Amor de Fortinera,,Ramos y Laborde,Tape-S,6516,
Bailate un Tango,AVL-3730,"Bailate un Tango, Ricardo",B,4,Arrorro Nené,1966,matched_variant,1966-11-17,Arroró Nene,,Armando Laborde,Tape-S,6517,fuzzy 0.96 of 'Arroró Nene'
Bailate un Tango,AVL-3730,"Bailate un Tango, Ricardo",B,5,"Azul, Siempre Azul",1966,matched,1966-11-17,Azul Siempre Azul,,Osvaldo Ramos,Tape-S,6518,
Bailate un Tango,AVL-3730,"Bailate un Tango, Ricardo",B,6,Orlando Goñi,1966,matched,1966-11-17,Orlando Goñi,,Instrumental,Tape-S,6520,
Barrio Reo,AVL/AVS-3854,Barrio Reo,A,1,El Opio,1967,matched,1967-11-14,El Opio,,Instrumental,Tape-S,7525,
Barrio Reo,AVL/AVS-3854,Barrio Reo,A,2,"Portero, Suba Y Díga",1967,matched,1967-11-28,Portero Suba y Diga,,Armando Laborde,Tape-S,7544,
Barrio Reo,AVL/AVS-3854,Barrio Reo,A,3,C.T.V.,1967,matched_variant,1967-11-28,Ctv,,Instrumental,Tape-S,,variant of 'Ctv'
Barrio Reo,AVL/AVS-3854,Barrio Reo,A,4,Cuéntame Tu Pena,1967,matched,1967-11-14,Cuéntame Tu Pena,,Osvaldo Ramos,Tape-S,7527,
Barrio Reo,AVL/AVS-3854,Barrio Reo,A,5,Milagro De Tango,1967,matched,1967-11-14,Milagro de Tango,,Armando Laborde,Tape-S,7528,
Barrio Reo,AVL/AVS-3854,Barrio Reo,A,6,La Trilla,1967,matched,1967-11-14,La Trilla,,Instrumental,Tape-S,7531,
Barrio Reo,AVL/AVS-3854,Barrio Reo,B,1,Barrio Reo,1967,matched,1967-11-14,Barrio Reo,,Armando Laborde,Tape-S,7526,
Barrio Reo,AVL/AVS-3854,Barrio Reo,B,2,Canaro en París,1967,matched,1967-11-28,Canaro en París,,Instrumental,Tape-S,7542,
Barrio Reo,AVL/AVS-3854,Barrio Reo,B,3,La Mariposa,1967,matched,1967-11-14,La Mariposa,,Osvaldo Ramos,Tape-S,,
Barrio Reo,AVL/AVS-3854,Barrio Reo,B,4,Tinta Verde,1967,matched,1967-11-14,Tinta Verde,,Instrumental,Tape-S,7532,
Barrio Reo,AVL/AVS-3854,Barrio Reo,B,5,Me Vio Tu Barrio,1967,matched,1967-11-14,Me Vio Tu Barrio,,Osvaldo Ramos,Tape-S,7529,
Barrio Reo,AVL/AVS-3854,Barrio Reo,B,6,Adiós Bardi,1967,matched,1967-11-14,Adiós Bardi,,Instrumental,Tape-S,7530,
Che Timbero,AVL-3688,Che Timbero,A,1,Che Timbero,1965,matched,1965-09-27,Che Timbero,,Armando Laborde,Tape-S,5376,
Che Timbero,AVL-3688,Che Timbero,A,2,"Nada, Nada Más Que Amor",1965,matched,1965-11-18,Nada Nada Más Que Amor,,Osvaldo Ramos,Tape-S,5478,
