LP_Folder,Type,Kind
A Mí Me Llaman Juan Tango,Back,LP
A Mí Me Llaman Juan Tango,Front,LP
En El Recuedo,Back,LP
En El Recuedo,Front,LP
En El Recuedo,Image 3,LP
En El Recuedo,Image 4,LP
Frente A Frente,Back,LP
Frente A Frente,Front,LP
Frente A Frente,Image 3,LP
Frente A Frente,Image 4,LP
La Boca,Back,LP
La Boca,Front,LP
La Boca,Image 3,LP
La Boca,Image 4,LP
La Orquesta De Las Estrellas Vol. 3,Back,LP
La Orquesta De Las Estrellas Vol. 3,Front,LP
La Orquesta De Las Estrellas Vol. 3,Image 3,LP
La Orquesta De Las Estrellas Vol. 3,Image 4,LP
La Orquesta De Las Estrellas Vol.1,Back,LP
La Orquesta De Las Estrellas Vol.1,Front,LP
La Orquesta De Las Estrellas Vol.1,Image 3,LP
La Orquesta De Las Estrellas Vol.1,Image 4,LP
La Orquesta De Las Estrellas Vol.2,Back,LP
La Orquesta De Las Estrellas Vol.2,Front,LP
La Orquesta De Las Estrellas Vol.2,Image 3,LP
La Orquesta De Las Estrellas Vol.2,Image 4,LP
La Orquesta De Las Estrellas Vol.3,Back,LP
La Orquesta De Las Estrellas Vol.3,Front,LP
La Orquesta De Las Estrellas Vol.3,Image 3,LP
La Orquesta De Las Estrellas Vol.3,Image 4,LP
La Orquesta De Las Estrellas Vol.4,Back,LP
La Orquesta De Las Estrellas Vol.4,Front,LP
La Orquesta De Las Estrellas Vol.4,Image 3,LP
La Orquesta De Las Estrellas Vol.4,Image 4,LP
La Orquesta De Las Estrellas Vol.4,Image 5,LP
La Orquesta De Las Estrellas Vol.4,Image 6,LP
La Orquesta De Las Estrellas Vol.4,Image 7,LP
La Orquesta De Las Estrellas Vol.4,Image 8,LP
Las Mejores Orquestas De Tango AsÍ Es El Tango,Back,LP
Las Mejores Orquestas De Tango AsÍ Es El Tango,Front,LP
Las Mejores Orquestas De Tango AsÍ Es El Tango,Image 3,LP
Las Mejores Orquestas De Tango AsÍ Es El Tango,Image 4,LP
Los Cantores De Miguel Calo,Back,LP
Los Cantores De Miguel Calo,Front,LP
Los Cantores De Miguel Calo,Image 3,LP
Los Cantores De Miguel Calo,Image 4,LP
Los Tres Ases Del Tango,Back,LP
Los Tres Ases Del Tango,Front,LP
Los Tres Ases Del Tango,Image 3,LP
Los Tres Ases Del Tango,Image 4,LP
Miguel Calo ... Para Siempre,Back,LP
Miguel Calo ... Para Siempre,Front,LP
Miguel Calo ... Para Siempre,Image 3,LP
Miguel Calo ... Para Siempre,Image 4,LP
Patio De Tango,Front,LP
Samba Em Tempo De Tango - Miguel Calo Visita Sao Paulo,Back,LP
Samba Em Tempo De Tango - Miguel Calo Visita Sao Paulo,Front,LP
Siempre Miguel Calo,Back,LP
Siempre Miguel Calo,Front,LP
Siempre Miguel Calo,Image 3,LP
Siempre Miguel Calo,Image 4,LP
Tangos Por El Mundo,Back,LP
Tangos Por El Mundo,Front,LP
Tangos Por El Mundo,Image 3,LP
Yo Soy El Tango,Front,LP
¿Te Acuerdas ... Que Tangos Aquellos! - Vol. 1,Back,LP
¿Te Acuerdas ... Que Tangos Aquellos! - Vol. 1,Front,LP
