LP_Folder,Type,Kind
50 Años,Back,LP
50 Años,Front,LP
A Mis Amigos,Back,LP
A Mis Amigos,Disk 1,LP
A Mis Amigos,Disk 2,LP
A Mis Amigos,Front,LP
A Mis Compañeros,Back,LP
A Mis Compañeros,Front,LP
Amigos,Back,LP
Amigos,Front,LP
Bandoneon Arrabalero,Disk 1,LP
Bandoneon Arrabalero,Front,LP
Caminito,Back,LP
Caminito,Disk 1,LP
Caminito,Disk 2,LP
Caminito,Front,LP
Desde El Alma,Back,LP
Desde El Alma,Disk 1,LP
Desde El Alma,Disk 2,LP
Desde El Alma,Front,LP
El Andariego,Back,LP
El Andariego,Disk 1,LP
El Andariego,Disk 2,LP
El Andariego,Front,LP
El Gran Osvaldo Pugliese,Back,LP
El Gran Osvaldo Pugliese,Disk 1,LP
El Gran Osvaldo Pugliese,Front,LP
El Tango Se Llama Osvaldo Pugliese,Back,LP
El Tango Se Llama Osvaldo Pugliese,Disk 1,LP
El Tango Se Llama Osvaldo Pugliese,Disk 2,LP
El Tango Se Llama Osvaldo Pugliese,Front,LP
En El Teatro Colon De Buenos Aires Volumen 1,Back,LP
En El Teatro Colon De Buenos Aires Volumen 1,Front,LP
En El Teatro Colon De Buenos Aires Volumen 1,Image 3,LP
En El Teatro Colon De Buenos Aires Volumen 1,Image 4,LP
En El Teatro Colon De Buenos Aires Volumen 2,Disk 1,LP
En El Teatro Colon De Buenos Aires Volumen 2,Front,LP
Finally Together Vol 1,Back,LP
Finally Together Vol 1,Front,LP
Finally Together Vol 2,Back,LP
Finally Together Vol 2,Front,LP
Futuro,Back,LP
Futuro,Front,LP
La Biandunga,Disk 1,LP
La Biandunga,Front,LP
La Cena Del Tango,Back,LP
La Cena Del Tango,Disk 1,LP
La Cena Del Tango,Disk 2,LP
La Cena Del Tango,Front,LP
Mato y Voy,Back,LP
Mato y Voy,Disk 1,LP
Mato y Voy,Front,LP
Noches de San Telmo,Back,LP
Noches de San Telmo,Disk 1,LP
Noches de San Telmo,Disk 2,LP
Noches de San Telmo,Front,LP
Osvaldo Pugliese y su Nuevo Repertorio,Disk 1,LP
Osvaldo Pugliese y su Nuevo Repertorio,Disk 2,LP
Osvaldo Pugliese y su Nuevo Repertorio,Front,LP
Pa` Los Medicos,Disk 1,LP
Pa` Los Medicos,Front,LP
Recuerdo,Disk 1,LP
Recuerdo,Disk 2,LP
Recuerdo,Front,LP
Sentimental y Cayengue,Disk 1,LP
Sentimental y Cayengue,Front,LP
Soy Bien Porteño,Back,LP
Soy Bien Porteño,Disk 1,LP
Soy Bien Porteño,Disk 2,LP
Soy Bien Porteño,Front,LP
Tangos en Estereo,Front,LP
Tangueando,Back,LP
Tangueando,Front,LP
Escuchando A Osvaldo Pugliese,Back,EP
Escuchando A Osvaldo Pugliese,Front,EP
Volumen Nº 22 - Alma De Bohemio,Back,EP
Volumen Nº 22 - Alma De Bohemio,Front,EP
Volumen Nº 22 - Alma De Bohemio,Image 3,EP
Volumen Nº 22 - Alma De Bohemio,Image 4,EP
