LP_Folder,Type,Kind
Cafetín De Buenos Aires,Back,LP
Cafetín De Buenos Aires,Front,LP
Discos De Gardel,Back,LP
Discos De Gardel,Front,LP
El Tango Es El Tango,Back,LP
El Tango Es El Tango,Front,LP
Encuentro,Back,LP
Encuentro,Front,LP
Encuentro,Image 3,LP
Encuentro,Image 4,LP
Esto Es El Tango,Back,LP
Esto Es El Tango,Front,LP
Esto Es El Tango,Image 3,LP
Esto Es El Tango,Image 4,LP
Esto Es El Tango,Image 5,LP
Esto Es El Tango,Image 6,LP
Esto Es El Tango,Image 7,LP
Esto Es El Tango,Image 8,LP
Los grandes exitos,Back,LP
Los grandes exitos,Front,LP
Los grandes exitos,Image 3,LP
Más Tanturi Castilllo,Back,LP
Más Tanturi Castilllo,Front,LP
Sollozo De Bandoneon,Back,LP
Sollozo De Bandoneon,Front,LP
Madre Con Los Cabellos de Plata,Front,EP
